Temperature,Simulations,Return,Discounted Return,Map
1,87,0,1.0,0.9733217421754432,"['SFFF', 'HFFF', 'HHFF', 'HHFG']"
1,42,0,1.0,0.9193151828650342,"['SFHH', 'HFFH', 'HFFF', 'FFHG']"
1,86,0,1.0,0.9138075656044898,"['SFHH', 'FHFH', 'FFHF', 'HFFG']"
1,86,0,1.0,0.9821344612135428,"['SHHH', 'FHHF', 'FHHH', 'FFFG']"
1,38,0,1.0,0.9445131481500655,"['SFHF', 'HFFF', 'HFFF', 'FFHG']"
1,23,0,0.0,0.0,"['SFFH', 'FFHH', 'HFFH', 'HHFG']"
1,90,0,1.0,0.9791880578299021,"['SFFF', 'HHFF', 'FFHF', 'FFFG']"
1,56,0,1.0,0.9762504936564125,"['SFFF', 'FFFF', 'HFHF', 'FHFG']"
1,34,0,0.0,0.0,"['SFHH', 'FHHF', 'FFHF', 'HFFG']"
1,2,0,0.0,0.0,"['SHHH', 'FFHH', 'FFFH', 'FHFG']"
1,45,0,0.0,0.0,"['SFHH', 'FFFF', 'FFFH', 'FHFG']"
1,79,0,1.0,0.9276389118674717,"['SFFF', 'HHFH', 'FFFH', 'HHFG']"
1,79,0,1.0,0.9821344612135428,"['SFFF', 'FHHF', 'FFFF', 'HHFG']"
1,96,0,1.0,0.9445131481500655,"['SFHF', 'HFFF', 'FFHF', 'HFFG']"
1,69,0,1.0,0.7863441585589971,"['SFHH', 'HFFF', 'HHHF', 'HHFG']"
1,21,0,0.0,0.0,"['SHHH', 'FFFF', 'FHFH', 'HHFG']"
1,84,0,1.0,0.985089730404757,"['SFFH', 'HFFF', 'FHFF', 'FHFG']"
1,86,0,1.0,0.9821344612135428,"['SFFF', 'HHHF', 'FFHF', 'HHFG']"
1,80,0,1.0,0.985089730404757,"['SFFF', 'FHFF', 'FHFF', 'FHHG']"
1,88,0,1.0,0.9588092525966956,"['SFHF', 'FFHF', 'FFFF', 'HHFG']"
1,59,0,1.0,0.8325391341551359,"['SHHH', 'FFHF', 'HFHH', 'FFFG']"
1,8,0,0.0,0.0,"['SFFH', 'FHFH', 'HHFH', 'FHFG']"
1,88,0,1.0,0.9704017769489168,"['SHFF', 'FFFH', 'FFFH', 'HHFG']"
1,39,0,0.0,0.0,"['SFHH', 'HFHH', 'HFFF', 'HHHG']"
1,52,0,1.0,0.9616943356035061,"['SFHF', 'FHFH', 'FHHF', 'FFFG']"
1,92,0,1.0,0.985089730404757,"['SHFF', 'FHFH', 'FFFH', 'FFFG']"
1,33,0,1.0,0.9791880578299021,"['SFFF', 'FHFH', 'FFFH', 'HFFG']"
1,66,0,1.0,0.9332298921513504,"['SFFH', 'HFFH', 'HHFF', 'HHHG']"
1,71,0,1.0,0.985089730404757,"['SFFF', 'FFHF', 'FHHF', 'FFFG']"
1,93,0,1.0,0.9559328248389055,"['SFFH', 'FFHH', 'HFFF', 'HFHG']"
1,63,0,1.0,0.9445131481500655,"['SFFF', 'FFHF', 'HFHF', 'FHHG']"
1,14,0,0.0,0.0,"['SFFH', 'HHFF', 'HHHF', 'HFHG']"
1,24,0,0.0,0.0,"['SHFF', 'FHFH', 'FFFH', 'HFFG']"
1,90,0,1.0,0.9530650263643888,"['SFFF', 'HFFH', 'FHFH', 'HHFG']"
1,89,0,1.0,0.8921050870283477,"['SFHF', 'HFFF', 'FHHF', 'FHHG']"
1,60,0,1.0,0.9616943356035061,"['SFFH', 'FHFF', 'HHHF', 'HFFG']"
1,51,0,1.0,0.9388545698794984,"['SHHF', 'FFFF', 'HFHF', 'HFHG']"
1,7,0,1.0,0.9762504936564125,"['SFFF', 'FFFF', 'HHFF', 'FHFG']"
1,35,0,1.0,0.9791880578299021,"['SHHH', 'FFHH', 'FFHH', 'FFFG']"
1,25,0,0.0,0.0,"['SHHF', 'FFFF', 'FHFH', 'FHFG']"
1,57,0,1.0,0.9645880999032158,"['SFFH', 'FHFH', 'HHFH', 'FFFG']"
1,40,0,1.0,0.8921050870283477,"['SFFF', 'HFFF', 'HFFH', 'FHFG']"
1,100,0,1.0,0.985089730404757,"['SFFF', 'HFHF', 'FFHF', 'HHFG']"
1,39,0,1.0,0.9821344612135428,"['SHHH', 'FHHF', 'FFFF', 'FFFG']"
1,43,0,1.0,0.9445131481500655,"['SHHH', 'FHHF', 'FFFF', 'FFHG']"
1,19,0,0.0,0.0,"['SFFH', 'HHFH', 'HFFH', 'HFFG']"
1,41,0,1.0,0.9733217421754432,"['SFFF', 'HHHF', 'HHFF', 'FFFG']"
1,35,0,0.0,0.0,"['SFHH', 'FHFF', 'FFHF', 'HFFG']"
1,95,0,1.0,0.9791880578299021,"['SFFF', 'HHFH', 'HHFF', 'HHFG']"
1,28,0,0.0,0.0,"['SFHF', 'HFFF', 'FHFH', 'FHFG']"
1,80,0,1.0,0.9674905716180701,"['SFFF', 'HFFF', 'HHFH', 'FHFG']"
1,36,0,1.0,0.9056079456455165,"['SFFH', 'HHFH', 'HFFF', 'HFHG']"
1,57,0,1.0,0.9791880578299021,"['SFHF', 'FFFF', 'HFHF', 'HFFG']"
1,17,0,0.0,0.0,"['SFFF', 'FHHH', 'FFHH', 'HFFG']"
1,97,0,1.0,0.9733217421754432,"['SFFH', 'HFHH', 'HFFF', 'FFFG']"
1,51,0,1.0,0.9165572373164391,"['SFFH', 'HHFH', 'HFFF', 'HFHG']"
1,9,0,0.0,0.0,"['SHFF', 'FFFH', 'HFFH', 'FHFG']"
1,40,0,0.0,0.0,"['SFFH', 'HFHH', 'FFFF', 'FFHG']"
1,21,0,1.0,0.9276389118674717,"['SHFH', 'FFFH', 'FHFH', 'FFFG']"
1,26,0,1.0,0.7584982177744161,"['SFFH', 'FHFF', 'HHFH', 'HHFG']"
1,56,0,1.0,0.9821344612135428,"['SHFF', 'FFFF', 'HFFF', 'HHFG']"
1,52,0,1.0,0.9416796087056153,"['SFHF', 'HFFF', 'FFHF', 'HFFG']"
1,40,0,0.0,0.0,"['SHHH', 'FFFH', 'HHFH', 'FFFG']"
1,77,0,1.0,0.9821344612135428,"['SHFH', 'FFHH', 'FFFF', 'HFFG']"
1,75,0,1.0,0.9445131481500655,"['SFFF', 'FHHF', 'FHHH', 'FFFG']"
1,84,0,1.0,0.9821344612135428,"['SFHH', 'FFFF', 'HFFF', 'FFHG']"
1,79,0,1.0,0.90289112180858,"['SFHH', 'HFHH', 'FFFF', 'HHHG']"
1,45,0,0.0,0.0,"['SHFH', 'FFFH', 'HFFH', 'HFFG']"
1,97,0,0.0,0.0,"['SHHH', 'FFFF', 'FHHF', 'FFHG']"
1,69,0,1.0,0.9110661429076764,"['SFHF', 'FHHH', 'FFHH', 'HFFG']"
1,42,0,1.0,0.860513950810667,"['SFFH', 'HFFH', 'FHFF', 'FFHG']"
