Temperature,Simulations,Return,Discounted Return,Map
1,16,0,0.0,0.0,"['SFFH', 'FHFF', 'HHHF', 'HFHG']"
1,6,0,0.0,0.0,"['SFHF', 'FFHH', 'FFFH', 'FFFG']"
1,50,0,1.0,0.9733217421754432,"['SFFF', 'FHHF', 'FFHF', 'HFFG']"
1,84,0,1.0,0.9791880578299021,"['SHFH', 'FHFH', 'FFFH', 'FFFG']"
1,58,0,1.0,0.9530650263643888,"['SFFH', 'FHFF', 'HFHF', 'FHFG']"
1,48,0,1.0,0.985089730404757,"['SFFH', 'FFHH', 'FFFF', 'FFFG']"
1,85,0,1.0,0.9762504936564125,"['SFFF', 'HHFH', 'HFFH', 'HFFG']"
1,42,0,0.0,0.0,"['SHHF', 'FFFH', 'FFFH', 'FHFG']"
1,60,0,1.0,0.7792882711929549,"['SFFF', 'HFFF', 'FFHH', 'HFFG']"
1,21,0,0.0,0.0,"['SFHH', 'HFHH', 'HFFF', 'HHFG']"
1,17,0,0.0,0.0,"['SHHF', 'FFFF', 'HHFF', 'HFFG']"
1,74,0,1.0,0.9645880999032158,"['SHFH', 'FFFF', 'FHFF', 'FFHG']"
1,80,0,1.0,0.8947894553945313,"['SHHH', 'FHFH', 'FFFF', 'FHHG']"
1,53,0,1.0,0.9083329444789534,"['SFFH', 'HFHF', 'HFFF', 'FHHG']"
1,43,0,1.0,0.9616943356035061,"['SFHH', 'FFHH', 'HFFF', 'FFFG']"
1,18,0,1.0,0.90289112180858,"['SFFH', 'HFHH', 'FFFF', 'HFFG']"
1,90,0,1.0,0.9821344612135428,"['SFHF', 'HFFH', 'FHFF', 'HHFG']"
1,7,0,1.0,0.8735386475474635,"['SFFF', 'HFFF', 'FFHF', 'FHHG']"
1,8,0,0.0,0.0,"['SHHF', 'FHFH', 'FHFH', 'FFFG']"
1,34,0,1.0,0.9616943356035061,"['SFFF', 'FFFF', 'HHFF', 'FFHG']"
1,33,0,0.0,0.0,"['SHFF', 'FFHF', 'HFFF', 'HHHG']"
1,34,0,0.0,0.0,"['SHFF', 'FFFF', 'HHHF', 'HFFG']"
1,97,0,1.0,0.9821344612135428,"['SFHH', 'HFFH', 'FFHF', 'HFFG']"
1,97,0,1.0,0.9821344612135428,"['SFFF', 'HFHF', 'HHFF', 'HFFG']"
1,98,0,1.0,0.9762504936564125,"['SFFF', 'HHFF', 'FHFF', 'FFHG']"
1,37,0,1.0,0.767668872977057,"['SFFF', 'FHFH', 'FHFH', 'HHFG']"
1,95,0,1.0,0.9645880999032158,"['SFFF', 'HFFH', 'FFHF', 'FFFG']"
1,58,0,1.0,0.9821344612135428,"['SHFH', 'FFFF', 'FHFH', 'FFFG']"
1,72,0,1.0,0.9821344612135428,"['SHHH', 'FFHH', 'FFFF', 'HFFG']"
1,73,0,1.0,0.9083329444789534,"['SFHH', 'HFHH', 'FFFF', 'HFHG']"
1,51,0,1.0,0.860513950810667,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,55,0,1.0,0.9821344612135428,"['SHFF', 'FFFH', 'FFHF', 'HFFG']"
1,42,0,1.0,0.9704017769489168,"['SFFH', 'FFHF', 'FFFF', 'FFFG']"
1,22,0,1.0,0.9416796087056153,"['SFFF', 'HHHF', 'FHHF', 'FHHG']"
1,3,0,0.0,0.0,"['SFHF', 'HFFH', 'FFHF', 'FFFG']"
1,91,0,1.0,0.9674905716180701,"['SFHF', 'FFFF', 'HHFF', 'HHHG']"
1,29,0,1.0,0.9588092525966956,"['SFFH', 'FHFF', 'HFHF', 'HHFG']"
1,71,0,1.0,0.9588092525966956,"['SFFF', 'HFFH', 'FFFH', 'FHFG']"
1,24,0,0.0,0.0,"['SFHH', 'FHFF', 'FFFH', 'HHFG']"
1,71,0,1.0,0.985089730404757,"['SFFH', 'FFFF', 'FFFF', 'HFHG']"
1,85,0,1.0,0.9821344612135428,"['SFHF', 'FFFH', 'FFFF', 'FFHG']"
1,37,0,1.0,0.9762504936564125,"['SFFF', 'FHFF', 'HHHF', 'HHHG']"
1,73,0,1.0,0.9616943356035061,"['SFFH', 'HFFF', 'FFHF', 'FHHG']"
1,100,0,1.0,0.9791880578299021,"['SHHF', 'FFHF', 'HFFF', 'FFFG']"
1,76,0,1.0,0.9733217421754432,"['SFHH', 'FFFH', 'HFFF', 'HFFG']"
1,16,0,1.0,0.90289112180858,"['SFFF', 'FFFH', 'HHFH', 'FHFG']"
1,44,0,1.0,0.93603800616986,"['SFFH', 'HHFF', 'HHFF', 'FHHG']"
1,81,0,1.0,0.9138075656044898,"['SFHF', 'FFHH', 'HFFF', 'HHFG']"
1,77,0,1.0,0.9674905716180701,"['SHHH', 'FFFF', 'HFFF', 'FHHG']"
1,50,0,1.0,0.9704017769489168,"['SFFF', 'FHHF', 'HFFF', 'FHFG']"
1,56,0,1.0,0.985089730404757,"['SFHH', 'FFFF', 'FHFF', 'FFFG']"
1,23,0,0.0,0.0,"['SHHH', 'FFFF', 'FHFF', 'FFHG']"
1,92,0,1.0,0.985089730404757,"['SHFF', 'FFFF', 'FHFF', 'FHHG']"
1,51,0,1.0,0.803057341509771,"['SFFH', 'FHFF', 'HFHF', 'HHFG']"
1,37,0,0.0,0.0,"['SFHF', 'FFFF', 'HHFH', 'FHFG']"
1,72,0,1.0,0.985089730404757,"['SFFF', 'FFHH', 'FFHH', 'FFFG']"
1,76,0,0.0,0.0,"['SHFF', 'FFFH', 'HFHH', 'FFFG']"
1,7,0,0.0,0.0,"['SFFH', 'FFFH', 'FFHF', 'HFFG']"
1,13,0,0.0,0.0,"['SFFH', 'HHFF', 'HFHF', 'FFHG']"
1,86,0,0.0,0.0,"['SHHF', 'FFFH', 'HFHF', 'HFFG']"
1,28,0,0.0,0.0,"['SHFF', 'FHFF', 'FHHH', 'FFFG']"
1,54,0,1.0,0.9762504936564125,"['SFHF', 'HFFH', 'HFHH', 'FFFG']"
1,38,0,1.0,0.9645880999032158,"['SFFF', 'FFHH', 'FFFF', 'HHFG']"
1,21,0,0.0,0.0,"['SFFH', 'FFHH', 'HFHH', 'HFFG']"
1,56,0,1.0,0.9674905716180701,"['SFFH', 'FHHF', 'FFFF', 'FFFG']"
1,83,0,1.0,0.9762504936564125,"['SFHH', 'HFFH', 'HFFF', 'FFFG']"
1,81,0,1.0,0.884100203995605,"['SFFF', 'HFHH', 'HFHH', 'HFFG']"
1,95,0,1.0,0.9821344612135428,"['SFHH', 'HFFF', 'HFFF', 'FFFG']"
1,4,0,0.0,0.0,"['SFFH', 'FFFH', 'FFFF', 'FHHG']"
1,65,0,0.0,0.0,"['SHFF', 'FFHF', 'HFHF', 'FFFG']"
1,76,0,1.0,0.9416796087056153,"['SHFF', 'FHHF', 'FHHH', 'FFFG']"
1,43,0,1.0,0.9645880999032158,"['SFFF', 'FFHF', 'FHFF', 'FFHG']"
1,26,0,0.0,0.0,"['SFFF', 'HFHF', 'HFFH', 'HHFG']"
1,44,0,1.0,0.9821344612135428,"['SHHH', 'FFFH', 'FFFF', 'HFFG']"
1,85,0,1.0,0.9791880578299021,"['SFHH', 'FHFF', 'FFHH', 'FFFG']"
1,70,0,1.0,0.9388545698794984,"['SFFH', 'HHFF', 'HHHF', 'HHHG']"
1,49,0,0.0,0.0,"['SHHF', 'FHFF', 'FFFH', 'HHFG']"
1,42,0,1.0,0.9165572373164391,"['SHHF', 'FFFH', 'FHFF', 'FFFG']"
1,72,0,0.0,0.0,"['SHHF', 'FFHH', 'HFFF', 'FHHG']"
1,94,0,1.0,0.9530650263643888,"['SHFF', 'FFFF', 'FHFF', 'HFHG']"
1,35,0,1.0,0.7816331707050701,"['SFFH', 'HFFH', 'HHFH', 'HHFG']"
1,35,0,1.0,0.9821344612135428,"['SHHH', 'FFHH', 'HFFF', 'FFFG']"
1,10,0,1.0,0.8400771692771434,"['SHFF', 'FHHH', 'FFFH', 'FFFG']"
1,87,0,1.0,0.9762504936564125,"['SFHH', 'FFFH', 'FFFH', 'FHFG']"
