Temperature,Simulations,Return,Discounted Return,Map
1,60,0,1.0,0.9588092525966956,"['SFFF', 'FHFF', 'FFHF', 'FFHG']"
1,90,0,1.0,0.9502058312852957,"['SFHH', 'FFFH', 'HHFF', 'HFFG']"
1,89,0,1.0,0.9530650263643888,"['SFFF', 'FHHF', 'HFHF', 'HHFG']"
1,84,0,1.0,0.9821344612135428,"['SFFF', 'FFFF', 'HHHF', 'HFFG']"
1,90,0,1.0,0.9821344612135428,"['SFFH', 'HFFF', 'HFFF', 'HHFG']"
1,53,0,1.0,0.9416796087056153,"['SFFH', 'FHFH', 'FHFF', 'FHHG']"
1,22,0,1.0,0.9821344612135428,"['SFFF', 'HFFF', 'HFFF', 'HHHG']"
1,75,0,1.0,0.9616943356035061,"['SFHF', 'HFFH', 'FFFF', 'FFHG']"
1,2,0,0.0,0.0,"['SFFF', 'FHHF', 'FFHF', 'HHFG']"
1,60,0,1.0,0.9674905716180701,"['SFFF', 'FFFF', 'FFHF', 'FFFG']"
1,33,0,1.0,0.90289112180858,"['SFFH', 'HFFH', 'FFHH', 'FFFG']"
1,54,0,1.0,0.9821344612135428,"['SFFH', 'HFFF', 'FHFF', 'FFHG']"
1,95,0,1.0,0.8709180316048211,"['SHFH', 'FHHF', 'FFFF', 'FHHG']"
1,4,0,0.0,0.0,"['SHHH', 'FFHH', 'FFFF', 'FFFG']"
1,16,0,1.0,0.9645880999032158,"['SFFF', 'HFFF', 'FFFF', 'HHFG']"
1,6,0,0.0,0.0,"['SFHH', 'HFFF', 'FHFF', 'FFFG']"
1,44,0,1.0,0.9304302024748964,"['SHFH', 'FHHF', 'FFFF', 'FHHG']"
1,98,0,1.0,0.9704017769489168,"['SFFF', 'FFHF', 'FHHF', 'HFHG']"
1,4,0,0.0,0.0,"['SFHH', 'FHFH', 'FFFH', 'FFFG']"
1,13,0,1.0,0.9588092525966956,"['SFFF', 'FHFF', 'FHFF', 'HHFG']"
1,1,0,0.0,0.0,"['SHFF', 'FHFH', 'FFFF', 'HHFG']"
1,52,0,1.0,0.9559328248389055,"['SFFF', 'HFHF', 'FFFH', 'FFFG']"
1,43,0,0.0,0.0,"['SFFH', 'HFHH', 'HFFH', 'FHFG']"
1,23,0,0.0,0.0,"['SHFH', 'FFHH', 'FFFF', 'HFFG']"
1,14,0,1.0,0.9473552137914398,"['SFFH', 'HHFF', 'HFFF', 'HFFG']"
1,68,0,1.0,0.9248559951318693,"['SHHH', 'FFFF', 'HHFF', 'FHHG']"
1,83,0,0.0,0.0,"['SHFF', 'FFFH', 'HFHH', 'HFFG']"
1,71,0,0.0,0.0,"['SHFF', 'FFHH', 'HFFF', 'FFHG']"
1,5,0,0.0,0.0,"['SHFF', 'FHHF', 'FFFH', 'FHFG']"
1,53,0,1.0,0.767668872977057,"['SFFH', 'FFHF', 'HFFF', 'FFHG']"
1,5,0,0.0,0.0,"['SHFH', 'FHFH', 'FHHF', 'FFFG']"
1,90,0,1.0,0.9704017769489168,"['SFHH', 'FFFH', 'FHFF', 'FHFG']"
1,49,0,1.0,0.9165572373164391,"['SFFF', 'HFFH', 'HFFF', 'FHHG']"
1,33,0,1.0,0.9821344612135428,"['SFFF', 'HFFF', 'HFHF', 'FHHG']"
1,13,0,0.0,0.0,"['SHFH', 'FFHH', 'HFFH', 'FFFG']"
1,94,0,1.0,0.9704017769489168,"['SHHF', 'FFFH', 'FFFF', 'FFHG']"
1,9,0,1.0,0.8709180316048211,"['SFFH', 'HFFF', 'FFFH', 'FFFG']"
1,96,0,1.0,0.9674905716180701,"['SFFH', 'HFFF', 'FFHF', 'HHFG']"
1,52,0,0.0,0.0,"['SHHF', 'FFFH', 'HFHH', 'FFFG']"
1,41,0,1.0,0.9276389118674717,"['SHFF', 'FFHH', 'FHFF', 'FFFG']"
1,84,0,1.0,0.9821344612135428,"['SFHH', 'FFFF', 'HHFF', 'FFHG']"
1,10,0,0.0,0.0,"['SFHF', 'FFFH', 'FHFF', 'FFHG']"
1,47,0,1.0,0.9588092525966956,"['SFFF', 'FHFF', 'FFHF', 'FFHG']"
1,43,0,1.0,0.9821344612135428,"['SFFH', 'HFFF', 'HHFF', 'HHHG']"
1,63,0,1.0,0.9559328248389055,"['SFFH', 'FFFH', 'HFFF', 'FFHG']"
1,63,0,1.0,0.9530650263643888,"['SFFH', 'HFHH', 'FFFF', 'FFHG']"
1,1,0,0.0,0.0,"['SFHF', 'HFHF', 'FFFF', 'FFFG']"
1,21,0,1.0,0.9588092525966956,"['SFHF', 'FFFF', 'HFFF', 'HHHG']"
1,80,0,1.0,0.985089730404757,"['SFHH', 'HFFF', 'HFFF', 'HHFG']"
1,97,0,1.0,0.9674905716180701,"['SFHH', 'FFFF', 'FHFF', 'FFFG']"
1,36,0,1.0,0.7607805594527743,"['SFHH', 'HFFH', 'FHFF', 'FFHG']"
1,65,0,1.0,0.9704017769489168,"['SFFF', 'FFFF', 'FFFF', 'FHFG']"
1,83,0,1.0,0.985089730404757,"['SFFF', 'HFFF', 'HFHF', 'FHHG']"
1,30,0,1.0,0.9473552137914398,"['SHHH', 'FFFF', 'HFFF', 'HFHG']"
1,35,0,1.0,0.8527925358961662,"['SFFH', 'HFHH', 'FFFH', 'HFFG']"
1,13,0,1.0,0.9733217421754432,"['SFHH', 'FFFH', 'HFFF', 'HHFG']"
1,8,0,1.0,0.857932408958235,"['SFHF', 'HFFF', 'HHFF', 'FFHG']"
1,98,0,0.0,0.0,"['SHHF', 'FFFF', 'HFFH', 'FFFG']"
1,91,0,1.0,0.9762504936564125,"['SFFH', 'FFHH', 'HFHH', 'HFFG']"
1,40,0,1.0,0.9388545698794984,"['SFFF', 'HHFH', 'HFFF', 'HHHG']"
1,81,0,1.0,0.985089730404757,"['SFFF', 'FHFF', 'HHHF', 'HFFG']"
1,95,0,1.0,0.8894287717672626,"['SFFH', 'HFHH', 'FFFF', 'FFHG']"
1,63,0,1.0,0.9791880578299021,"['SFHF', 'FFFF', 'HFHF', 'HFFG']"
1,1,0,0.0,0.0,"['SFHF', 'FHFH', 'FFFF', 'HFFG']"
1,22,0,1.0,0.9559328248389055,"['SFFF', 'HHFH', 'HFFF', 'HHHG']"
1,65,0,1.0,0.9001824484431542,"['SHFF', 'FFHH', 'HFFH', 'HHFG']"
1,32,0,1.0,0.9588092525966956,"['SFFH', 'HHFF', 'HFHF', 'FHFG']"
1,36,0,0.0,0.0,"['SFFF', 'HFHH', 'HFFF', 'HFHG']"
1,14,0,1.0,0.9704017769489168,"['SHHF', 'FFHH', 'FFFF', 'FFFG']"
1,3,0,0.0,0.0,"['SFFH', 'FHFF', 'HFHF', 'FFHG']"
1,75,0,1.0,0.9332298921513504,"['SHHF', 'FHFH', 'FHHH', 'FFFG']"
1,19,0,0.0,0.0,"['SHFF', 'FHHF', 'FFFF', 'HHFG']"
1,10,0,0.0,0.0,"['SFHF', 'FFFH', 'HHFF', 'FHHG']"
1,51,0,1.0,0.9248559951318693,"['SFFH', 'HFHF', 'FFFF', 'FFHG']"
1,52,0,1.0,0.9138075656044898,"['SFFF', 'HFHF', 'HFHH', 'FFFG']"
1,25,0,1.0,0.9083329444789534,"['SFHH', 'FHFH', 'FHFF', 'FFFG']"
1,75,0,1.0,0.8683052775100066,"['SFFH', 'FFHF', 'HFFH', 'HHFG']"
1,41,0,1.0,0.9704017769489168,"['SFFF', 'FHFF', 'HHFF', 'HHFG']"
1,80,0,1.0,0.9762504936564125,"['SHFF', 'FFFF', 'HHFF', 'FFHG']"
1,97,0,1.0,0.9762504936564125,"['SFHF', 'HFFF', 'HHFF', 'FFHG']"
1,17,0,0.0,0.0,"['SFFH', 'FFFF', 'HHHF', 'FHHG']"
1,96,0,1.0,0.9704017769489168,"['SFHH', 'FFFF', 'FHFF', 'HFHG']"
1,34,0,0.0,0.0,"['SHFF', 'FFFF', 'FHFH', 'HFFG']"
1,38,0,1.0,0.9616943356035061,"['SFFH', 'HHFH', 'FHFF', 'HHFG']"
1,65,0,1.0,0.9821344612135428,"['SFFF', 'FHFF', 'HFFF', 'FHHG']"
1,88,0,1.0,0.985089730404757,"['SFFH', 'HHFF', 'FFFF', 'HFFG']"
1,99,0,1.0,0.9445131481500655,"['SHFF', 'FHFH', 'FFFF', 'HFHG']"
1,13,0,1.0,0.9220814271464737,"['SFHH', 'HFFH', 'FFFF', 'HFFG']"
1,85,0,1.0,0.9762504936564125,"['SFFF', 'FFHH', 'FFFF', 'FFFG']"
1,33,0,1.0,0.9674905716180701,"['SFFF', 'HFFH', 'HFFF', 'HFFG']"
1,43,0,1.0,0.9791880578299021,"['SFFF', 'FHFF', 'HFFF', 'HFHG']"
1,33,0,1.0,0.985089730404757,"['SFFH', 'FFHH', 'FFHF', 'HFFG']"
1,30,0,1.0,0.9645880999032158,"['SFFH', 'FHFF', 'FFHF', 'FFFG']"
1,1,0,0.0,0.0,"['SFHH', 'HFHH', 'HFFF', 'FHFG']"
1,33,0,0.0,0.0,"['SFHF', 'HFFF', 'HHFH', 'HFFG']"
1,70,0,1.0,0.9616943356035061,"['SHFH', 'FFFF', 'HHFF', 'FHHG']"
1,1,0,0.0,0.0,"['SFFF', 'HFHH', 'HFHF', 'FFFG']"
1,41,0,0.0,0.0,"['SHHF', 'FHHF', 'FFHH', 'HFFG']"
1,68,0,1.0,0.9674905716180701,"['SFHH', 'HFFF', 'HFHF', 'HFHG']"
1,39,0,1.0,0.9616943356035061,"['SFHH', 'FFFH', 'HFHF', 'HFFG']"
1,60,0,1.0,0.985089730404757,"['SHFH', 'FFFF', 'HFFF', 'FHFG']"
1,78,0,1.0,0.985089730404757,"['SHFF', 'FHHF', 'FHHF', 'FFFG']"
1,70,0,1.0,0.9502058312852957,"['SFFH', 'FFHH', 'HFHH', 'HFFG']"
