Temperature,Simulations,Return,Discounted Return,Map
1,76,0,1.0,0.9704017769489168,"['SFFF', 'HFFH', 'HFFF', 'FFFG']"
1,10,0,0.0,0.0,"['SFFH', 'FHHH', 'FFFF', 'HFFG']"
1,39,0,1.0,0.9616943356035061,"['SFHF', 'HFFH', 'FFFF', 'FFHG']"
1,40,0,0.0,0.0,"['SHFH', 'FHFH', 'FFHF', 'HFFG']"
1,64,0,1.0,0.9791880578299021,"['SFFF', 'HHFF', 'HHHF', 'HHHG']"
1,27,0,1.0,0.9530650263643888,"['SFFF', 'FHFH', 'HFFF', 'FFHG']"
1,33,0,1.0,0.8426049842298329,"['SFFF', 'HFHH', 'FFFH', 'FHFG']"
1,13,0,0.0,0.0,"['SFFH', 'HFHH', 'HFHH', 'HFFG']"
1,54,0,1.0,0.9791880578299021,"['SFFF', 'FHHF', 'HFFF', 'FHFG']"
1,29,0,0.0,0.0,"['SHFH', 'FFHH', 'HFFF', 'HFHG']"
1,34,0,0.0,0.0,"['SHHF', 'FFFH', 'HHFH', 'HHFG']"
1,22,0,1.0,0.93603800616986,"['SHFH', 'FFFF', 'FFFH', 'HFFG']"
1,39,0,1.0,0.9588092525966956,"['SFHF', 'HFFH', 'FFHF', 'HFFG']"
1,41,0,1.0,0.90289112180858,"['SFFF', 'FHFH', 'HFFF', 'FFHG']"
1,45,0,1.0,0.985089730404757,"['SFFF', 'FFFF', 'HFFF', 'HHHG']"
1,43,0,1.0,0.9530650263643888,"['SFHF', 'FHFH', 'FHHF', 'FFFG']"
1,7,0,0.0,0.0,"['SHFF', 'FFFF', 'HHHF', 'FHHG']"
1,32,0,1.0,0.9559328248389055,"['SFHF', 'FFFF', 'FFHF', 'HFHG']"
1,76,0,1.0,0.9733217421754432,"['SFFH', 'FHFF', 'HFFF', 'FFFG']"
1,48,0,1.0,0.8325391341551359,"['SFFF', 'HFHH', 'HFHH', 'FFFG']"
1,84,0,1.0,0.9733217421754432,"['SFFF', 'FFFF', 'FHFF', 'FHHG']"
1,84,0,1.0,0.9056079456455165,"['SHFF', 'FFFH', 'HHFF', 'FFFG']"
1,59,0,1.0,0.9674905716180701,"['SFHH', 'FFFF', 'FHFH', 'HHFG']"
1,29,0,1.0,0.9332298921513504,"['SFFF', 'HHFH', 'HFFF', 'FHFG']"
1,28,0,1.0,0.7746195551602378,"['SFHF', 'HFFF', 'FHFH', 'HFFG']"
1,14,0,0.0,0.0,"['SFFH', 'HFFF', 'HFHF', 'FFFG']"
1,96,0,1.0,0.9762504936564125,"['SFHF', 'FFFF', 'HHHF', 'FHFG']"
1,36,0,1.0,0.8947894553945313,"['SFFF', 'FHHF', 'HFHF', 'FHHG']"
1,81,0,1.0,0.9762504936564125,"['SFHH', 'FFHH', 'FFFF', 'FFFG']"
1,28,0,1.0,0.9704017769489168,"['SFFF', 'HHFF', 'FHHF', 'HFHG']"
1,36,0,1.0,0.7539540549517295,"['SFHH', 'FFFF', 'HHFF', 'FHHG']"
1,39,0,0.0,0.0,"['SHHF', 'FFFH', 'HHFF', 'FFHG']"
1,30,0,1.0,0.9445131481500655,"['SFFF', 'FFHF', 'HFFF', 'HFFG']"
1,26,0,0.0,0.0,"['SHHF', 'FFHH', 'HFFF', 'FHFG']"
1,1,0,0.0,0.0,"['SFFF', 'FFHF', 'FFHF', 'FHFG']"
1,90,0,1.0,0.9083329444789534,"['SFFH', 'HFHF', 'FFFH', 'FHFG']"
1,23,0,0.0,0.0,"['SHHH', 'FFHH', 'FFHH', 'HFFG']"
1,8,0,0.0,0.0,"['SFHF', 'FFFH', 'HHFH', 'HHFG']"
1,50,0,0.0,0.0,"['SFFH', 'FHHH', 'FFHF', 'HFFG']"
1,23,0,1.0,0.8761671489944468,"['SFHH', 'FHHH', 'FFFF', 'HFFG']"
1,100,0,1.0,0.9138075656044898,"['SHHF', 'FFFH', 'HHFF', 'FHFG']"
1,40,0,1.0,0.9645880999032158,"['SFFF', 'HFFF', 'HFHF', 'HFHG']"
1,11,0,0.0,0.0,"['SHFF', 'FHHH', 'FHFF', 'FFFG']"
1,84,0,1.0,0.9559328248389055,"['SFFH', 'HFFF', 'HFHF', 'FHFG']"
1,77,0,1.0,0.9704017769489168,"['SFFF', 'HHFH', 'HFFF', 'HHFG']"
1,25,0,0.0,0.0,"['SFHH', 'HFFH', 'HFFH', 'HFFG']"
1,67,0,1.0,0.9502058312852957,"['SFHH', 'FHHF', 'FHHH', 'FFFG']"
1,91,0,1.0,0.9791880578299021,"['SFHF', 'HFFF', 'HHFF', 'FFFG']"
1,41,0,1.0,0.9704017769489168,"['SFFF', 'FHHF', 'FFFF', 'FHFG']"
1,11,0,0.0,0.0,"['SHHH', 'FFHF', 'FFFF', 'FFHG']"
1,54,0,1.0,0.7630697687590515,"['SFFF', 'FHFH', 'FHFH', 'FHFG']"
1,33,0,1.0,0.8225935318117279,"['SFFH', 'FHFF', 'FFHH', 'HFFG']"
1,96,0,1.0,0.8400771692771434,"['SFFF', 'HFHH', 'HFFF', 'HFHG']"
1,81,0,1.0,0.9791880578299021,"['SFHF', 'HFFH', 'FHFF', 'FHHG']"
1,68,0,1.0,0.9791880578299021,"['SFFF', 'FFFF', 'FHHF', 'HHFG']"
1,87,0,1.0,0.9821344612135428,"['SFFF', 'FHFF', 'FHFF', 'HHFG']"
1,59,0,1.0,0.9821344612135428,"['SFFH', 'FFFH', 'FFFF', 'FFFG']"
1,60,0,1.0,0.9762504936564125,"['SFFF', 'HFFF', 'FFHF', 'FFFG']"
1,34,0,1.0,0.9791880578299021,"['SFFF', 'HFFF', 'HHFF', 'HFHG']"
1,85,0,1.0,0.9821344612135428,"['SFFF', 'FFHF', 'FFFH', 'FFFG']"
1,14,0,1.0,0.8451404054461714,"['SFFH', 'FHFF', 'FHHF', 'FHHG']"
1,78,0,1.0,0.9821344612135428,"['SHHF', 'FFFF', 'FFHH', 'HFFG']"
1,81,0,0.0,0.0,"['SHHH', 'FFHF', 'HFFH', 'HHFG']"
1,14,0,1.0,0.9332298921513504,"['SFFF', 'FHHF', 'HHHF', 'FHFG']"
1,46,0,1.0,0.8947894553945313,"['SFFH', 'HHFH', 'FFFF', 'HHFG']"
1,59,0,1.0,0.884100203995605,"['SFHF', 'HFHH', 'HFFH', 'HFFG']"
1,68,0,1.0,0.9821344612135428,"['SFFF', 'FHHF', 'FFFF', 'FFFG']"
1,62,0,0.0,0.0,"['SHHF', 'FFHH', 'HFHH', 'HFFG']"
1,32,0,1.0,0.8127667407072335,"['SHFF', 'FFHH', 'FFHH', 'HFFG']"
1,23,0,1.0,0.9473552137914398,"['SFHF', 'FFHH', 'HFFF', 'FHFG']"
1,73,0,1.0,0.9616943356035061,"['SFFH', 'HFFF', 'FHFH', 'HHFG']"
1,39,0,1.0,0.9559328248389055,"['SFFF', 'HFHH', 'FFFF', 'HHFG']"
1,79,0,1.0,0.9588092525966956,"['SFHH', 'FFHH', 'FHFH', 'FFFG']"
1,25,0,1.0,0.9733217421754432,"['SHHF', 'FHFH', 'FFFF', 'FFFG']"
1,9,0,0.0,0.0,"['SFHF', 'HFFH', 'FHFF', 'FFHG']"
