Temperature,Simulations,Return,Discounted Return,Map
1,2,0,0.0,0.0,"['SHHH', 'FFFH', 'FFFF', 'HFHG']"
1,14,0,1.0,0.8426049842298329,"['SHHH', 'FHFF', 'FFFF', 'HFFG']"
1,5,0,0.0,0.0,"['SHFF', 'FFFH', 'HFFF', 'FFHG']"
1,85,0,1.0,0.9645880999032158,"['SFFH', 'FHHF', 'FFFF', 'FHHG']"
1,82,0,1.0,0.9821344612135428,"['SHHF', 'FHHH', 'FHFH', 'FFFG']"
1,76,0,1.0,0.9733217421754432,"['SFFF', 'HHFF', 'FFHF', 'HHHG']"
1,89,0,1.0,0.8502341582884777,"['SHHF', 'FHFF', 'FFFH', 'HHFG']"
1,71,0,1.0,0.7449472384453084,"['SHHF', 'FFFF', 'HFFH', 'HHFG']"
1,14,0,1.0,0.8974819010978248,"['SHHF', 'FHFF', 'FFFH', 'FFFG']"
1,79,0,1.0,0.9248559951318693,"['SFHH', 'FFFF', 'HFHF', 'HFHG']"
1,88,0,1.0,0.985089730404757,"['SFFF', 'HHHF', 'FFHF', 'FHHG']"
1,89,0,1.0,0.9762504936564125,"['SFFF', 'FHHF', 'HHHF', 'HFHG']"
1,51,0,0.0,0.0,"['SFHF', 'FHHH', 'FFFF', 'FFHG']"
1,54,0,1.0,0.9821344612135428,"['SFHH', 'FFFH', 'HFHF', 'FFFG']"
1,77,0,1.0,0.9762504936564125,"['SFFH', 'FFFH', 'FFFH', 'FFFG']"
1,18,0,1.0,0.9791880578299021,"['SFFF', 'HHFF', 'HFFF', 'HHFG']"
1,71,0,1.0,0.9762504936564125,"['SFFF', 'HFHF', 'FFFH', 'FFFG']"
1,51,0,0.0,0.0,"['SHFH', 'FFFH', 'FFHF', 'HFFG']"
1,92,0,1.0,0.9165572373164391,"['SFHF', 'HFFF', 'FFHH', 'HFFG']"
1,10,0,1.0,0.7792882711929549,"['SFHH', 'HFFH', 'HFFF', 'HFHG']"
1,9,0,0.0,0.0,"['SHHF', 'FFFH', 'FFHH', 'HFFG']"
