Temperature,Simulations,Return,Discounted Return,Map
1,64,0,1.0,0.8921050870283477,"['SFHH', 'FFHH', 'FFHH', 'HFFG']"
1,35,0,1.0,0.9821344612135428,"['SHFF', 'FFFF', 'FFFF', 'HFFG']"
1,5,0,0.0,0.0,"['SHHF', 'FFFH', 'HFFF', 'HHHG']"
1,19,0,1.0,0.9733217421754432,"['SHFF', 'FFFF', 'FHFF', 'HFFG']"
1,30,0,1.0,0.985089730404757,"['SFHF', 'FFFH', 'FFFF', 'FFFG']"
1,68,0,1.0,0.9674905716180701,"['SFFF', 'FFFF', 'FFFF', 'FFHG']"
1,38,0,1.0,0.9083329444789534,"['SFFF', 'HHFH', 'HHFF', 'HFHG']"
1,35,0,1.0,0.9762504936564125,"['SFFF', 'HFFF', 'HFFH', 'HFFG']"
1,31,0,1.0,0.7562227231210928,"['SFFF', 'HFHH', 'FFHF', 'HFFG']"
1,40,0,1.0,0.9762504936564125,"['SHFH', 'FFFF', 'FHFH', 'FFFG']"
1,15,0,0.0,0.0,"['SHFH', 'FHFH', 'FFFF', 'HFFG']"
1,2,0,0.0,0.0,"['SFHH', 'HFFF', 'HFFF', 'FHHG']"
1,93,0,1.0,0.7746195551602378,"['SHFH', 'FHFH', 'FFFH', 'HHFG']"
1,66,0,1.0,0.9821344612135428,"['SHHF', 'FHFF', 'FFFF', 'HFFG']"
1,83,0,1.0,0.9733217421754432,"['SFFH', 'HFFH', 'FHFF', 'HHFG']"
1,51,0,1.0,0.9193151828650342,"['SFFH', 'HHFF', 'FFHF', 'HFHG']"
1,45,0,1.0,0.9704017769489168,"['SFHH', 'HFFF', 'HHFF', 'HFFG']"
1,90,0,1.0,0.9388545698794984,"['SFFH', 'HHFH', 'HHFF', 'FFFG']"
1,20,0,1.0,0.8631032605924442,"['SFFH', 'HHFF', 'FHFF', 'FFHG']"
1,37,0,0.0,0.0,"['SHHF', 'FFFH', 'FHFF', 'FHHG']"
1,45,0,1.0,0.9616943356035061,"['SFFF', 'FFHF', 'HHHF', 'FFHG']"
