Temperature,Simulations,Return,Discounted Return,Map
1,45,0,1.0,0.9791880578299021,"['SFFH', 'HHFF', 'HHFF', 'HFFG']"
1,43,0,1.0,0.857932408958235,"['SFHH', 'FFFH', 'HFFF', 'HFHG']"
1,40,0,0.0,0.0,"['SHFH', 'FFHH', 'FFFH', 'HHFG']"
1,7,0,0.0,0.0,"['SHFF', 'FFHH', 'FFFF', 'FFHG']"
1,40,0,1.0,0.9530650263643888,"['SFFH', 'FFHF', 'FFHF', 'FFFG']"
1,14,0,1.0,0.9138075656044898,"['SHFF', 'FHHF', 'FFFF', 'FFFG']"
1,53,0,1.0,0.985089730404757,"['SFHH', 'FFFF', 'HFFF', 'FHFG']"
1,51,0,1.0,0.9645880999032158,"['SFFH', 'FHFF', 'HHHF', 'HHFG']"
1,34,0,0.0,0.0,"['SFFF', 'FFHH', 'HFFF', 'FFHG']"
1,70,0,1.0,0.9704017769489168,"['SFFF', 'FFFH', 'FFFH', 'FFFG']"
1,38,0,0.0,0.0,"['SHFH', 'FFFF', 'HHHF', 'HFFG']"
1,10,0,0.0,0.0,"['SHHF', 'FHHF', 'FFFF', 'HHHG']"
1,58,0,1.0,0.9559328248389055,"['SFFH', 'FFFF', 'FHFH', 'FFFG']"
1,15,0,1.0,0.9645880999032158,"['SFFF', 'HFFF', 'HHHF', 'HFHG']"
1,72,0,1.0,0.9445131481500655,"['SFHH', 'FFFH', 'HHFH', 'FFFG']"
1,87,0,0.0,0.0,"['SHHF', 'FFHF', 'FFFH', 'HHFG']"
1,21,0,1.0,0.9704017769489168,"['SHFH', 'FHFH', 'FFHH', 'FFFG']"
1,14,0,0.0,0.0,"['SHHF', 'FFFH', 'FFHH', 'HFFG']"
1,1,0,0.0,0.0,"['SFFF', 'FFHF', 'HFFH', 'FFFG']"
1,69,0,1.0,0.9821344612135428,"['SFHF', 'FFFH', 'HFHH', 'FFFG']"
1,43,0,0.0,0.0,"['SFHH', 'HFHF', 'HFFF', 'FHHG']"
1,37,0,1.0,0.9138075656044898,"['SFFH', 'FFFH', 'FFFF', 'HFHG']"
1,35,0,1.0,0.9762504936564125,"['SHHF', 'FFFF', 'FFFF', 'FHFG']"
1,22,0,0.0,0.0,"['SHHH', 'FFHH', 'FFFF', 'FHFG']"
1,46,0,1.0,0.9704017769489168,"['SHHH', 'FFHF', 'FFHF', 'HFFG']"
1,3,0,0.0,0.0,"['SFFF', 'FHFH', 'FFHF', 'HFFG']"
1,49,0,1.0,0.9762504936564125,"['SFHH', 'FHFH', 'FHHH', 'FFFG']"
1,100,0,1.0,0.9388545698794984,"['SFFH', 'HHFF', 'HFFF', 'HFFG']"
1,33,0,0.0,0.0,"['SHHF', 'FFHF', 'FFFF', 'HFFG']"
1,64,0,1.0,0.985089730404757,"['SHHH', 'FFFF', 'FFFF', 'FFHG']"
1,8,0,0.0,0.0,"['SHFH', 'FHFF', 'FFFH', 'FFFG']"
1,18,0,0.0,0.0,"['SFHF', 'FFHF', 'FFFF', 'HHHG']"
1,100,0,1.0,0.9821344612135428,"['SFFF', 'HFHF', 'FHHF', 'HFHG']"
1,66,0,1.0,0.9248559951318693,"['SFFF', 'HFFF', 'FFFH', 'HHFG']"
1,9,0,0.0,0.0,"['SHFF', 'FFFF', 'HFHF', 'HHFG']"
1,82,0,0.0,0.0,"['SFHF', 'FFFH', 'FHFF', 'HHHG']"
1,80,0,1.0,0.8201257512162927,"['SHHH', 'FFFF', 'HFHF', 'HFHG']"
1,59,0,1.0,0.9762504936564125,"['SFFF', 'HHFF', 'FHHF', 'FHFG']"
1,22,0,0.0,0.0,"['SFHH', 'HFFF', 'FFHF', 'FFFG']"
1,63,0,1.0,0.9165572373164391,"['SFHF', 'FHHH', 'FHHH', 'FFFG']"
1,78,0,1.0,0.9762504936564125,"['SFFF', 'HFFF', 'FHFH', 'HFFG']"
1,57,0,1.0,0.8553586117313603,"['SHFH', 'FHHF', 'FFFF', 'HFHG']"
1,26,0,1.0,0.8921050870283477,"['SFHF', 'FFFH', 'HFFF', 'HHFG']"
1,1,0,0.0,0.0,"['SHFF', 'FHHH', 'FFFF', 'HHFG']"
1,16,0,0.0,0.0,"['SFFF', 'FHHH', 'FFFF', 'FHHG']"
1,97,0,1.0,0.9502058312852957,"['SFFH', 'FHHH', 'FHFF', 'FFFG']"
1,11,0,1.0,0.8921050870283477,"['SFFF', 'HFHF', 'FFFF', 'HFFG']"
1,72,0,1.0,0.9791880578299021,"['SFFH', 'HHFF', 'FHFF', 'HHHG']"
1,87,0,1.0,0.9138075656044898,"['SFFF', 'FHFH', 'FHFF', 'HHHG']"
1,66,0,1.0,0.9138075656044898,"['SFHF', 'FHFH', 'FFFF', 'FFHG']"
1,46,0,1.0,0.9733217421754432,"['SFHF', 'FFHF', 'FFHH', 'FFFG']"
1,96,0,1.0,0.9733217421754432,"['SFFH', 'FFHH', 'FHHF', 'FFFG']"
1,81,0,1.0,0.9473552137914398,"['SHHF', 'FFHF', 'FFFH', 'FHFG']"
1,60,0,1.0,0.9762504936564125,"['SFFH', 'FFHH', 'FFHF', 'FFFG']"
1,43,0,0.0,0.0,"['SHFH', 'FFHF', 'FFFF', 'FFHG']"
1,11,0,0.0,0.0,"['SFHF', 'FHFF', 'FHFF', 'FFFG']"
1,40,0,1.0,0.9416796087056153,"['SFHF', 'FFFF', 'FHFF', 'FHHG']"
1,61,0,1.0,0.9220814271464737,"['SFFF', 'HHFH', 'HHFF', 'HHHG']"
1,69,0,1.0,0.9821344612135428,"['SFFF', 'HFFF', 'FHHF', 'FHHG']"
1,59,0,1.0,0.9502058312852957,"['SFHF', 'HFHF', 'FFFH', 'HFFG']"
1,5,0,0.0,0.0,"['SFFH', 'HHFF', 'FFHF', 'FHFG']"
1,65,0,1.0,0.9791880578299021,"['SHHF', 'FFHF', 'HFFF', 'HHFG']"
1,69,0,1.0,0.9138075656044898,"['SHHH', 'FFFF', 'HHFF', 'HFHG']"
1,51,0,1.0,0.9332298921513504,"['SFFF', 'HFHH', 'FFFF', 'HFFG']"
1,1,0,0.0,0.0,"['SHFH', 'FFFH', 'FFFF', 'FHFG']"
1,74,0,1.0,0.9791880578299021,"['SFFH', 'FFFF', 'HFHF', 'HFHG']"
1,10,0,1.0,0.9332298921513504,"['SFFF', 'FHHH', 'FFFH', 'FFFG']"
1,13,0,0.0,0.0,"['SFHH', 'FHHH', 'FFFF', 'HFHG']"
1,7,0,0.0,0.0,"['SHFF', 'FFFH', 'HFFH', 'HHFG']"
1,31,0,0.0,0.0,"['SFFF', 'FFHH', 'FFFF', 'HHHG']"
1,43,0,1.0,0.9502058312852957,"['SFFF', 'HFHH', 'FFFF', 'FHHG']"
1,99,0,1.0,0.9791880578299021,"['SHFF', 'FFFF', 'FHFF', 'HHHG']"
1,68,0,1.0,0.8974819010978248,"['SHHH', 'FFHH', 'HFFH', 'FFFG']"
1,4,0,0.0,0.0,"['SFHF', 'FFFF', 'HFHF', 'FHFG']"
1,34,0,1.0,0.860513950810667,"['SFFH', 'FHFF', 'HHHF', 'HHHG']"
1,91,0,1.0,0.9559328248389055,"['SFFH', 'FHFF', 'HFHF', 'FFHG']"
1,52,0,0.0,0.0,"['SFHH', 'FFFH', 'FHFH', 'HHFG']"
1,81,0,1.0,0.9762504936564125,"['SFFF', 'FHFF', 'HFHF', 'HHFG']"
1,33,0,1.0,0.9445131481500655,"['SHHH', 'FFHF', 'FHFH', 'FFFG']"
1,98,0,1.0,0.985089730404757,"['SHFF', 'FFFF', 'FFFF', 'HFHG']"
1,5,0,0.0,0.0,"['SFFF', 'FHHF', 'FFHF', 'HFFG']"
1,66,0,1.0,0.7427123967299725,"['SFFH', 'HFHF', 'FFFH', 'HHFG']"
1,77,0,0.0,0.0,"['SHFH', 'FFFH', 'HHFF', 'FHHG']"
1,26,0,1.0,0.9674905716180701,"['SFHH', 'FHHH', 'FFFH', 'FFFG']"
1,94,0,1.0,0.803057341509771,"['SHHH', 'FFHH', 'HFHF', 'FFFG']"
1,89,0,1.0,0.9762504936564125,"['SFHH', 'FFFF', 'HFFH', 'HHFG']"
1,3,0,0.0,0.0,"['SFFH', 'HFFF', 'FHHF', 'HHHG']"
1,52,0,1.0,0.9733217421754432,"['SFFH', 'HHFF', 'HHFF', 'HFFG']"
1,30,0,0.0,0.0,"['SHFF', 'FHFH', 'FFFF', 'FHFG']"
1,69,0,1.0,0.9588092525966956,"['SHHH', 'FFHH', 'FFFF', 'HHHG']"
1,55,0,1.0,0.9821344612135428,"['SFFF', 'FHFF', 'FHFF', 'HFFG']"
1,79,0,1.0,0.9762504936564125,"['SFFF', 'HFHF', 'HFHF', 'FFHG']"
1,9,0,0.0,0.0,"['SFFF', 'HFFH', 'FHFH', 'HHFG']"
1,5,0,0.0,0.0,"['SHHH', 'FFHH', 'HFFH', 'HFFG']"
1,29,0,0.0,0.0,"['SFHH', 'FFFH', 'HHFF', 'FFFG']"
1,1,0,0.0,0.0,"['SFHF', 'HFHH', 'HFHH', 'FFFG']"
1,76,0,1.0,0.9473552137914398,"['SFFH', 'FFHF', 'FFFF', 'FFHG']"
1,63,0,1.0,0.9588092525966956,"['SFFF', 'FFFF', 'HFHF', 'FFHG']"
1,46,0,0.0,0.0,"['SFFH', 'FHHH', 'FFHH', 'HFFG']"
1,17,0,0.0,0.0,"['SHFF', 'FHFH', 'FFFF', 'HFHG']"
1,11,0,0.0,0.0,"['SFHF', 'FFFH', 'FFHH', 'HFFG']"
1,29,0,1.0,0.9821344612135428,"['SHHF', 'FHHH', 'FFHF', 'FFFG']"
1,93,0,1.0,0.9791880578299021,"['SHHH', 'FFHH', 'FFFF', 'HHFG']"
1,68,0,1.0,0.9559328248389055,"['SFHH', 'FFHF', 'HFFF', 'HFFG']"
1,56,0,1.0,0.9473552137914398,"['SFHH', 'FHFF', 'FFFF', 'HFHG']"
1,29,0,1.0,0.9616943356035061,"['SFFF', 'HHHF', 'HHHF', 'HFHG']"
1,66,0,1.0,0.9791880578299021,"['SHHF', 'FFFF', 'FHFF', 'HFFG']"
1,56,0,1.0,0.9304302024748964,"['SFHF', 'FHFF', 'FFFF', 'HHHG']"
1,37,0,1.0,0.9502058312852957,"['SFFH', 'HFFF', 'FHFF', 'HFHG']"
1,56,0,0.0,0.0,"['SHFH', 'FFHH', 'HFFH', 'HHFG']"
1,83,0,1.0,0.9332298921513504,"['SHHF', 'FHFF', 'FFFH', 'FHFG']"
1,70,0,1.0,0.9674905716180701,"['SFFF', 'HHHF', 'FHHF', 'HHHG']"
1,84,0,1.0,0.9733217421754432,"['SFHF', 'FFFF', 'HFFH', 'FFFG']"
1,14,0,1.0,0.9588092525966956,"['SFFF', 'FHFF', 'FFFF', 'HFHG']"
1,91,0,1.0,0.9473552137914398,"['SFFF', 'HFHF', 'HFHF', 'HFFG']"
1,71,0,1.0,0.9821344612135428,"['SFHF', 'FFFF', 'HFFF', 'HHHG']"
1,77,0,1.0,0.9445131481500655,"['SHHF', 'FFFF', 'FFFH', 'HHFG']"
1,32,0,0.0,0.0,"['SFHH', 'FFFH', 'HHFF', 'HFHG']"
1,99,0,0.0,0.0,"['SHFH', 'FFHF', 'FFFF', 'HFHG']"
1,54,0,0.0,0.0,"['SHHH', 'FFFH', 'FFHH', 'HFFG']"
1,10,0,1.0,0.9502058312852957,"['SFHF', 'HFHF', 'FFFF', 'FFFG']"
1,97,0,1.0,0.9674905716180701,"['SFHH', 'FFFF', 'HHFH', 'HFFG']"
1,83,0,1.0,0.985089730404757,"['SFFF', 'FFFF', 'HFFF', 'HFHG']"
1,62,0,1.0,0.985089730404757,"['SFFF', 'HHFF', 'FHFF', 'HFHG']"
1,23,0,0.0,0.0,"['SFFF', 'FHFH', 'HHFH', 'HFFG']"
1,48,0,1.0,0.9559328248389055,"['SFHH', 'HFFF', 'HFHF', 'HHHG']"
1,31,0,0.0,0.0,"['SFHH', 'FFFF', 'HHFH', 'HHFG']"
1,57,0,1.0,0.9791880578299021,"['SFHF', 'FFHH', 'HFFF', 'HHFG']"
1,56,0,1.0,0.8947894553945313,"['SHHH', 'FHHH', 'FFFF', 'FHHG']"
1,85,0,1.0,0.985089730404757,"['SHFF', 'FFFF', 'FFFH', 'HFFG']"
1,26,0,1.0,0.9762504936564125,"['SFFF', 'HFHF', 'HFHF', 'FHFG']"
1,10,0,1.0,0.860513950810667,"['SHFH', 'FFHF', 'FFFF', 'FFFG']"
1,1,0,0.0,0.0,"['SFFF', 'HFFH', 'HFFF', 'HHFG']"
1,72,0,1.0,0.9502058312852957,"['SFFF', 'FHHF', 'HHFF', 'FHFG']"
1,72,0,1.0,0.9588092525966956,"['SFFF', 'HFFF', 'HFFH', 'FHFG']"
1,24,0,0.0,0.0,"['SFFF', 'FFHF', 'FHFH', 'FFFG']"
1,4,0,0.0,0.0,"['SFHH', 'FFFF', 'HFHH', 'HFFG']"
1,76,0,1.0,0.9791880578299021,"['SHHF', 'FFFH', 'HFFF', 'FHHG']"
1,79,0,1.0,0.9821344612135428,"['SFFF', 'HHFF', 'FFFF', 'HHHG']"
1,98,0,1.0,0.9559328248389055,"['SHFH', 'FFFH', 'FHFF', 'FHFG']"
