Temperature,Simulations,Return,Discounted Return,Map
1,83,0,1.0,0.9473552137914398,"['SFFH', 'FFFF', 'FHFH', 'FHFG']"
1,55,0,1.0,0.7863441585589971,"['SHHH', 'FFHH', 'FFFF', 'HFHG']"
1,53,0,1.0,0.9559328248389055,"['SFFF', 'HFHF', 'FHHF', 'FFFG']"
1,61,0,0.0,0.0,"['SHHF', 'FHHH', 'FFFH', 'FHFG']"
1,21,0,1.0,0.9791880578299021,"['SFFF', 'HFFF', 'FFHF', 'FHFG']"
1,67,0,1.0,0.9502058312852957,"['SHHF', 'FHFF', 'FHHF', 'FFFG']"
1,50,0,1.0,0.985089730404757,"['SFHH', 'FHHF', 'FFFF', 'FFFG']"
1,8,0,0.0,0.0,"['SFFF', 'FHFH', 'FHFH', 'HHFG']"
1,6,0,0.0,0.0,"['SHHH', 'FFFF', 'FHFF', 'HHHG']"
1,73,0,0.0,0.0,"['SHFH', 'FFHH', 'FFFF', 'HFHG']"
1,92,0,1.0,0.9821344612135428,"['SFHH', 'FHHF', 'FFFF', 'HFFG']"
1,79,0,1.0,0.985089730404757,"['SHFH', 'FHFF', 'FHHH', 'FFFG']"
1,45,0,1.0,0.7958514863018556,"['SFHH', 'HFFF', 'FHHF', 'FFFG']"
1,25,0,1.0,0.9704017769489168,"['SFFF', 'FHHF', 'FFHF', 'HFFG']"
1,59,0,1.0,0.9588092525966956,"['SHFH', 'FFFH', 'FFFF', 'HFHG']"
1,6,0,0.0,0.0,"['SFHF', 'FFHH', 'FFFF', 'FHFG']"
1,76,0,1.0,0.9791880578299021,"['SFHH', 'HFFH', 'HFFF', 'HFFG']"
1,59,0,1.0,0.9559328248389055,"['SFFH', 'FHFH', 'HHFF', 'FHFG']"
1,10,0,1.0,0.8657003616774767,"['SFFH', 'FHFF', 'HHHF', 'HFHG']"
1,4,0,0.0,0.0,"['SHFF', 'FFHF', 'FFFF', 'FFHG']"
1,71,0,1.0,0.9445131481500655,"['SHHH', 'FFHH', 'FFHH', 'HFFG']"
1,80,0,1.0,0.985089730404757,"['SFHH', 'FFFF', 'HHFF', 'FHHG']"
1,90,0,1.0,0.9791880578299021,"['SFFH', 'HFFF', 'FFHF', 'HFHG']"
1,30,0,1.0,0.9502058312852957,"['SFFF', 'FFFF', 'HHHF', 'HFFG']"
1,69,0,1.0,0.9530650263643888,"['SFHH', 'FFFH', 'FHFH', 'FHFG']"
1,82,0,1.0,0.9791880578299021,"['SFFH', 'FFFF', 'HFHH', 'FFFG']"
1,69,0,1.0,0.9821344612135428,"['SHFF', 'FHFF', 'FFFF', 'HFFG']"
1,60,0,1.0,0.9791880578299021,"['SFFF', 'FHFF', 'HHFF', 'HFHG']"
1,51,0,1.0,0.9304302024748964,"['SFHH', 'HFFH', 'HFHF', 'FFFG']"
1,80,0,1.0,0.9821344612135428,"['SFHF', 'FHHF', 'FFFF', 'FHFG']"
1,23,0,1.0,0.8201257512162927,"['SFFH', 'FFHF', 'HFFH', 'FFFG']"
1,42,0,1.0,0.8761671489944468,"['SHFH', 'FHFH', 'FHFH', 'FFFG']"
1,94,0,1.0,0.9821344612135428,"['SHFF', 'FFFH', 'FHFF', 'FFFG']"
1,23,0,1.0,0.9733217421754432,"['SFFF', 'FFFF', 'HFFF', 'FHHG']"
1,54,0,1.0,0.9762504936564125,"['SFFH', 'HFFF', 'FFFF', 'HHHG']"
1,39,0,0.0,0.0,"['SHHH', 'FFFF', 'FHFF', 'FFHG']"
1,48,0,1.0,0.9645880999032158,"['SFHH', 'HFFF', 'FHHF', 'HHHG']"
1,44,0,0.0,0.0,"['SHHH', 'FFHH', 'HFFH', 'HHFG']"
1,70,0,1.0,0.9704017769489168,"['SFHF', 'FFFH', 'FFFF', 'HFFG']"
1,24,0,0.0,0.0,"['SHFF', 'FFFF', 'FHFH', 'FFFG']"
1,11,0,1.0,0.7562227231210928,"['SFHF', 'HFFH', 'HFFF', 'FFFG']"
1,14,0,1.0,0.9220814271464737,"['SFFF', 'FFFH', 'HFFH', 'FFFG']"
1,42,0,1.0,0.9791880578299021,"['SFHF', 'FFFF', 'HFFF', 'FHHG']"
1,80,0,1.0,0.985089730404757,"['SHHH', 'FFHF', 'FHHH', 'FFFG']"
1,34,0,0.0,0.0,"['SFHH', 'FFFH', 'FHFF', 'HFFG']"
1,19,0,0.0,0.0,"['SHHF', 'FFFH', 'FHFF', 'HFFG']"
1,91,0,1.0,0.9473552137914398,"['SFFH', 'HHFF', 'HFFH', 'HHFG']"
1,77,0,1.0,0.9445131481500655,"['SHHH', 'FFHF', 'HFFF', 'HHHG']"
1,12,0,0.0,0.0,"['SFFH', 'HHFH', 'HHFF', 'HFHG']"
