Temperature,Simulations,Return,Discounted Return,Map
1,58,0,1.0,0.9704017769489168,"['SFFF', 'HHHF', 'HFHF', 'FHHG']"
1,12,0,0.0,0.0,"['SFFH', 'FHFH', 'HFFH', 'FFFG']"
1,76,0,1.0,0.9762504936564125,"['SFFF', 'FFFH', 'FFFH', 'HHFG']"
1,4,0,0.0,0.0,"['SHHF', 'FHFF', 'FFFF', 'HFHG']"
1,100,0,1.0,0.985089730404757,"['SFHF', 'FFHF', 'FFFH', 'HFFG']"
1,63,0,1.0,0.9821344612135428,"['SHFH', 'FFHF', 'FFFH', 'FFFG']"
1,33,0,1.0,0.9821344612135428,"['SFFF', 'FFHF', 'FFHF', 'FFHG']"
1,35,0,1.0,0.9056079456455165,"['SFHF', 'HFHF', 'FFHH', 'FFFG']"
1,41,0,1.0,0.9821344612135428,"['SFFF', 'HHHF', 'HHFF', 'HHHG']"
1,32,0,1.0,0.8921050870283477,"['SFFF', 'FFHF', 'FHFH', 'FFFG']"
1,30,0,0.0,0.0,"['SFFF', 'FFFF', 'FHFH', 'HFFG']"
1,9,0,0.0,0.0,"['SFHF', 'FFFF', 'HHFF', 'HFFG']"
1,16,0,1.0,0.79346393184295,"['SFFH', 'FHFF', 'HFFH', 'HFFG']"
1,29,0,0.0,0.0,"['SHFF', 'FFHH', 'FFFH', 'HHFG']"
1,4,0,0.0,0.0,"['SHHH', 'FFFF', 'HFHF', 'HHHG']"
1,85,0,1.0,0.9645880999032158,"['SFHF', 'HFFH', 'HFHF', 'HFFG']"
1,84,0,1.0,0.9502058312852957,"['SFFH', 'FHFH', 'HFFF', 'FHHG']"
1,83,0,1.0,0.9138075656044898,"['SHFF', 'FFFH', 'FHFH', 'HFFG']"
1,91,0,1.0,0.9559328248389055,"['SFHH', 'FFFH', 'FHFF', 'HFFG']"
1,59,0,1.0,0.8761671489944468,"['SFFH', 'HFFF', 'FHFH', 'FHFG']"
1,27,0,1.0,0.93603800616986,"['SFFF', 'HFHH', 'FFFH', 'HFFG']"
1,85,0,1.0,0.9821344612135428,"['SFHF', 'FFFF', 'FHFH', 'HHFG']"
1,91,0,1.0,0.9388545698794984,"['SFHH', 'HFFH', 'HHFF', 'FHFG']"
1,41,0,1.0,0.9445131481500655,"['SFFH', 'HFFF', 'HHHF', 'FFHG']"
1,41,0,1.0,0.9502058312852957,"['SFHF', 'HFHH', 'HFFF', 'HHFG']"
1,90,0,1.0,0.9821344612135428,"['SFFF', 'FHFF', 'FHHF', 'HFHG']"
1,44,0,0.0,0.0,"['SHFH', 'FFHH', 'FFFF', 'FHFG']"
1,17,0,1.0,0.8553586117313603,"['SFFH', 'HHFF', 'HHHF', 'HHHG']"
1,100,0,1.0,0.9674905716180701,"['SHFF', 'FFHF', 'FFFF', 'FHHG']"
1,48,0,1.0,0.985089730404757,"['SHHF', 'FFFH', 'FFFF', 'FFFG']"
1,61,0,1.0,0.7863441585589971,"['SFFH', 'FHHF', 'FFFF', 'HHHG']"
1,37,0,1.0,0.9332298921513504,"['SHHF', 'FHFF', 'FHFF', 'FFFG']"
1,56,0,1.0,0.9110661429076764,"['SFHH', 'HFFF', 'FHFF', 'HHFG']"
1,36,0,1.0,0.9530650263643888,"['SFFF', 'HFHH', 'HFFF', 'HFFG']"
1,12,0,1.0,0.9473552137914398,"['SHHH', 'FFFH', 'HFFF', 'FFFG']"
1,29,0,0.0,0.0,"['SHHF', 'FFFF', 'HHHF', 'FFFG']"
1,19,0,1.0,0.9502058312852957,"['SFFF', 'HHHF', 'HHFF', 'HFFG']"
1,7,0,0.0,0.0,"['SHFH', 'FFFF', 'HHFF', 'HFFG']"
1,61,0,1.0,0.8553586117313603,"['SFFH', 'FHFH', 'FHFF', 'HHHG']"
1,10,0,0.0,0.0,"['SHFH', 'FHFF', 'FHHF', 'FFFG']"
1,66,0,1.0,0.9821344612135428,"['SFFF', 'FFHH', 'FFFF', 'FHFG']"
1,18,0,0.0,0.0,"['SFHF', 'FFFF', 'FHFH', 'HFFG']"
1,59,0,1.0,0.9056079456455165,"['SFFH', 'FFFF', 'FHFH', 'HHFG']"
1,25,0,1.0,0.9530650263643888,"['SFFH', 'FFFF', 'HFFF', 'HHHG']"
1,16,0,1.0,0.9388545698794984,"['SFFF', 'FHFF', 'FHFF', 'FHFG']"
1,72,0,1.0,0.9791880578299021,"['SHFF', 'FFFH', 'FHFF', 'HFFG']"
1,77,0,0.0,0.0,"['SFHF', 'FHHH', 'FFFH', 'FHFG']"
1,88,0,1.0,0.9616943356035061,"['SFFH', 'FFFF', 'FFFF', 'HHHG']"
1,83,0,1.0,0.9674905716180701,"['SFFH', 'FFHH', 'FFFF', 'HHHG']"
1,78,0,1.0,0.9762504936564125,"['SFFF', 'HHFH', 'HHFF', 'FHFG']"
1,75,0,1.0,0.9588092525966956,"['SFFF', 'HFFF', 'HFHF', 'FHHG']"
1,71,0,1.0,0.9821344612135428,"['SFFF', 'FFFF', 'FHFH', 'FHFG']"
1,50,0,1.0,0.985089730404757,"['SFFH', 'FFFF', 'FFHF', 'FFFG']"
1,100,0,1.0,0.9616943356035061,"['SFFF', 'HHHF', 'HHFF', 'HFHG']"
1,60,0,1.0,0.9762504936564125,"['SFFF', 'HHHF', 'FHFF', 'FFHG']"
1,7,0,1.0,0.9616943356035061,"['SFFF', 'HFFF', 'FHHF', 'FHHG']"
1,62,0,1.0,0.9704017769489168,"['SFHF', 'FFFH', 'FHFF', 'HHHG']"
1,9,0,0.0,0.0,"['SFHH', 'FHHH', 'FFFF', 'HFHG']"
1,44,0,1.0,0.9645880999032158,"['SFFF', 'HHFF', 'FHFH', 'HFFG']"
1,86,0,1.0,0.9704017769489168,"['SFFH', 'FFFF', 'FHFF', 'HHFG']"
1,93,0,0.0,0.0,"['SHHH', 'FHHH', 'FFFF', 'HFHG']"
1,33,0,1.0,0.9388545698794984,"['SFFF', 'HFFH', 'FFFF', 'FHHG']"
1,26,0,0.0,0.0,"['SFFF', 'FFFH', 'FFHH', 'HFFG']"
1,2,0,1.0,0.9645880999032158,"['SFHH', 'FFHF', 'HFFF', 'HFFG']"
