Temperature,Simulations,Return,Discounted Return,Map
1,19,0,1.0,0.985089730404757,"['SFFF', 'HHFF', 'HHHF', 'HHHG']"
1,47,0,1.0,0.9762504936564125,"['SFFH', 'FFFH', 'FFFF', 'FHFG']"
1,81,0,1.0,0.9473552137914398,"['SFHH', 'HFHF', 'HFFH', 'FFFG']"
1,36,0,1.0,0.8152123778407558,"['SHFF', 'FFFH', 'HFFF', 'HHHG']"
1,7,0,0.0,0.0,"['SFFF', 'HFFH', 'FHFH', 'HFFG']"
1,53,0,1.0,0.9416796087056153,"['SFFF', 'HHFF', 'HFFH', 'FHFG']"
1,14,0,0.0,0.0,"['SHHH', 'FFFH', 'HHFF', 'HHFG']"
1,76,0,1.0,0.8683052775100066,"['SFHH', 'FFHH', 'HFFF', 'HFHG']"
1,84,0,1.0,0.9588092525966956,"['SFFF', 'HHFH', 'HFFF', 'HFFG']"
1,16,0,0.0,0.0,"['SHFF', 'FFFH', 'FFFH', 'HFFG']"
1,5,0,0.0,0.0,"['SHFH', 'FFFF', 'FHFF', 'HHHG']"
1,58,0,1.0,0.9645880999032158,"['SHFH', 'FFFH', 'FHFF', 'FFFG']"
1,43,0,1.0,0.9762504936564125,"['SFFF', 'FHFF', 'HFFF', 'FHHG']"
1,74,0,1.0,0.985089730404757,"['SHFF', 'FFHF', 'FFFF', 'FFFG']"
1,4,0,0.0,0.0,"['SHHH', 'FFFF', 'HFFF', 'HHHG']"
1,30,0,1.0,0.9248559951318693,"['SFHF', 'FFHF', 'FFHH', 'FFFG']"
1,43,0,0.0,0.0,"['SFHH', 'HFHH', 'FFHF', 'HFFG']"
1,52,0,1.0,0.9791880578299021,"['SFHH', 'HFFH', 'FFHH', 'FFFG']"
1,69,0,1.0,0.9791880578299021,"['SFFF', 'HFFF', 'HHFF', 'HHHG']"
1,4,0,0.0,0.0,"['SFHF', 'FHHH', 'FFFH', 'HFFG']"
1,91,0,1.0,0.985089730404757,"['SFHF', 'FFFH', 'FFFH', 'FFFG']"
1,18,0,1.0,0.9138075656044898,"['SFFF', 'HFHF', 'HHFF', 'FFFG']"
1,70,0,1.0,0.9165572373164391,"['SFFH', 'HHFH', 'FHFH', 'HHFG']"
1,79,0,1.0,0.9791880578299021,"['SFFH', 'HHFF', 'FFFF', 'HFFG']"
1,76,0,1.0,0.9530650263643888,"['SFFH', 'FHFF', 'HHFH', 'FFFG']"
1,95,0,1.0,0.9674905716180701,"['SFFF', 'FHHF', 'HHHF', 'HHHG']"
1,12,0,1.0,0.78398512608332,"['SFFF', 'FFFH', 'HHFH', 'FHFG']"
1,77,0,1.0,0.8006481694852418,"['SFFH', 'HFHF', 'HFFF', 'HFHG']"
1,60,0,1.0,0.9165572373164391,"['SFHH', 'FFFF', 'HHFH', 'HHFG']"
1,2,0,0.0,0.0,"['SFFH', 'FFFH', 'HHFH', 'FHFG']"
1,98,0,1.0,0.985089730404757,"['SHHH', 'FHHH', 'FFHF', 'FFFG']"
1,73,0,1.0,0.9473552137914398,"['SFHH', 'HFFF', 'HHFF', 'HHFG']"
1,9,0,0.0,0.0,"['SFFH', 'FHFH', 'FHFF', 'HHHG']"
1,2,0,0.0,0.0,"['SFFF', 'HFFF', 'HHHF', 'HHHG']"
1,20,0,1.0,0.8078974551636565,"['SFFF', 'HFHF', 'HFHF', 'FHHG']"
1,83,0,1.0,0.9791880578299021,"['SFFF', 'FHFF', 'FHFF', 'FFFG']"
1,47,0,1.0,0.8788035596734672,"['SHHF', 'FHHF', 'FHFH', 'FFFG']"
1,80,0,1.0,0.9704017769489168,"['SFFH', 'FHFH', 'FFHF', 'FFFG']"
1,52,0,1.0,0.9733217421754432,"['SFFF', 'FFHF', 'HFFF', 'FFFG']"
1,56,0,1.0,0.9821344612135428,"['SHHF', 'FFHH', 'FFHF', 'FFFG']"
1,26,0,1.0,0.9674905716180701,"['SFHH', 'FFFF', 'HFFF', 'FHFG']"
1,30,0,0.0,0.0,"['SHFH', 'FHFH', 'FFFF', 'FHHG']"
1,20,0,0.0,0.0,"['SFHF', 'FFFF', 'FFFH', 'HFFG']"
1,46,0,0.0,0.0,"['SHHH', 'FHHF', 'FFFH', 'FHFG']"
1,65,0,1.0,0.985089730404757,"['SFFH', 'FHFF', 'HFFF', 'FHHG']"
1,22,0,1.0,0.8788035596734672,"['SFFF', 'HHHF', 'HFFF', 'FHHG']"
1,86,0,1.0,0.9791880578299021,"['SFFH', 'HFFH', 'HFFH', 'HFFG']"
1,15,0,0.0,0.0,"['SHHF', 'FFFF', 'FHHF', 'FHHG']"
1,48,0,1.0,0.9645880999032158,"['SHHH', 'FFHF', 'FHFH', 'FFFG']"
1,12,0,1.0,0.93603800616986,"['SFHH', 'HFFH', 'HFFF', 'HFFG']"
1,23,0,0.0,0.0,"['SFHF', 'HFFH', 'FHFF', 'HHFG']"
1,100,0,1.0,0.9445131481500655,"['SFFH', 'HHFH', 'HFFF', 'HFFG']"
1,1,0,0.0,0.0,"['SFFH', 'HFFF', 'HFFH', 'FFFG']"
1,18,0,1.0,0.985089730404757,"['SFFF', 'FHFF', 'FFFF', 'HHFG']"
1,62,0,1.0,0.9821344612135428,"['SFHF', 'FFFH', 'FHFF', 'FFFG']"
1,45,0,1.0,0.8761671489944468,"['SHFF', 'FFFF', 'HHHF', 'FHFG']"
1,30,0,1.0,0.7910835400474212,"['SFFF', 'HFHH', 'HFFF', 'FHHG']"
1,98,0,1.0,0.9674905716180701,"['SHHH', 'FHFF', 'FHHF', 'FFFG']"
1,8,0,0.0,0.0,"['SHHH', 'FHHF', 'FFFF', 'FHHG']"
1,63,0,1.0,0.9791880578299021,"['SFHH', 'FFFF', 'HFFH', 'FHFG']"
1,98,0,0.0,0.0,"['SFHF', 'FHHH', 'FFHF', 'HFFG']"
1,38,0,1.0,0.9559328248389055,"['SFHH', 'FFFF', 'FFFH', 'FHFG']"
1,74,0,1.0,0.8152123778407558,"['SFHH', 'HFFF', 'HHHF', 'HFHG']"
1,36,0,1.0,0.8947894553945313,"['SHFF', 'FFFH', 'HFFH', 'HFFG']"
1,39,0,1.0,0.9473552137914398,"['SHFF', 'FFFF', 'HHFF', 'HFFG']"
1,24,0,0.0,0.0,"['SFHH', 'HFHF', 'HFHH', 'FFFG']"
1,23,0,1.0,0.9762504936564125,"['SFFF', 'HHFF', 'HHFF', 'HHFG']"
1,93,0,0.0,0.0,"['SFHF', 'FHHH', 'FFHF', 'HFFG']"
1,5,0,0.0,0.0,"['SFHH', 'FHHF', 'FFHH', 'FFFG']"
1,95,0,1.0,0.985089730404757,"['SHFH', 'FFHF', 'FFFH', 'FFFG']"
1,28,0,0.0,0.0,"['SFHH', 'FHFH', 'FHFH', 'FFFG']"
1,22,0,1.0,0.8250687380258053,"['SFFH', 'HHFF', 'HHHF', 'HFFG']"
1,35,0,1.0,0.9001824484431542,"['SFFF', 'FHFH', 'HFFH', 'FFFG']"
1,22,0,1.0,0.9388545698794984,"['SFFF', 'HFFH', 'FHFF', 'HHHG']"
1,70,0,1.0,0.9791880578299021,"['SFFF', 'HFHF', 'HFHF', 'HHFG']"
1,55,0,1.0,0.9276389118674717,"['SFHF', 'FFFF', 'HFHF', 'FFHG']"
1,30,0,1.0,0.9616943356035061,"['SFHH', 'FHFH', 'FFFF', 'HFFG']"
1,87,0,1.0,0.9821344612135428,"['SFFF', 'HHHF', 'FFFF', 'FFFG']"
