Temperature,Simulations,Return,Discounted Return,Map
1,56,0,1.0,0.9445131481500655,"['SFHH', 'FFFH', 'HFFF', 'HFHG']"
1,42,0,1.0,0.9248559951318693,"['SFHF', 'FHFF', 'FHHF', 'FFFG']"
1,22,0,1.0,0.9704017769489168,"['SFFF', 'FFFF', 'HHFF', 'FFFG']"
1,8,0,0.0,0.0,"['SHHH', 'FHHH', 'FFFF', 'FFHG']"
1,37,0,1.0,0.747188804859888,"['SFFH', 'HFHH', 'HFHF', 'HFFG']"
1,98,0,1.0,0.9674905716180701,"['SFHH', 'FFHH', 'HFFF', 'FHFG']"
1,71,0,1.0,0.9704017769489168,"['SFHF', 'HFFH', 'HHFF', 'FFFG']"
1,65,0,0.0,0.0,"['SHHH', 'FFFH', 'HHFF', 'HFHG']"
1,66,0,1.0,0.9821344612135428,"['SFFF', 'FFFF', 'FHFF', 'FHHG']"
1,88,0,1.0,0.9791880578299021,"['SHHH', 'FFFF', 'FHFH', 'FFFG']"
1,29,0,1.0,0.8451404054461714,"['SFFF', 'FHFH', 'HFFF', 'FFHG']"
1,78,0,0.0,0.0,"['SHFH', 'FHHF', 'FFFF', 'FHHG']"
1,93,0,1.0,0.9733217421754432,"['SFHF', 'HFFF', 'FHFF', 'FFHG']"
1,98,0,1.0,0.9530650263643888,"['SFFH', 'HFHH', 'HFFF', 'FFFG']"
1,29,0,1.0,0.9645880999032158,"['SFHH', 'FFFH', 'FFFH', 'HFFG']"
1,67,0,1.0,0.9588092525966956,"['SHFF', 'FHFH', 'FHHF', 'FFFG']"
1,61,0,1.0,0.9616943356035061,"['SFHH', 'FFFH', 'FFFF', 'HHFG']"
1,48,0,1.0,0.9791880578299021,"['SFFF', 'FFHF', 'FFHF', 'HHFG']"
1,35,0,0.0,0.0,"['SHHH', 'FHHH', 'FFFF', 'HHHG']"
1,68,0,1.0,0.9791880578299021,"['SHFF', 'FHFF', 'FFHH', 'FFFG']"
1,77,0,1.0,0.9083329444789534,"['SFHF', 'HFHF', 'FFFH', 'FHFG']"
1,100,0,1.0,0.8451404054461714,"['SFHF', 'FFHH', 'HFFF', 'FFHG']"
1,46,0,1.0,0.9588092525966956,"['SHHF', 'FHFF', 'FFHF', 'HFFG']"
1,18,0,1.0,0.9588092525966956,"['SHFH', 'FHFH', 'FFFF', 'FFFG']"
1,69,0,1.0,0.9733217421754432,"['SFFF', 'HHHF', 'FHFF', 'HHFG']"
1,28,0,1.0,0.8894287717672626,"['SFFH', 'HFHF', 'HFFF', 'FFFG']"
1,95,0,1.0,0.985089730404757,"['SFFF', 'HFFF', 'HFHF', 'FHFG']"
1,9,0,0.0,0.0,"['SFHH', 'FFFF', 'HHFF', 'FFFG']"
1,65,0,1.0,0.9559328248389055,"['SFHH', 'FHHH', 'FHFF', 'FFFG']"
1,9,0,0.0,0.0,"['SHFH', 'FFHF', 'HFHF', 'HFFG']"
1,100,0,1.0,0.9304302024748964,"['SFHF', 'HFHF', 'FFFF', 'HHFG']"
