Temperature,Simulations,Return,Discounted Return,Map
1,18,0,1.0,0.8788035596734672,"['SFHF', 'HFFF', 'FHFF', 'FHHG']"
1,33,0,1.0,0.9110661429076764,"['SFFF', 'FHHF', 'FHFF', 'HHFG']"
1,68,0,1.0,0.9674905716180701,"['SFHH', 'FHHF', 'FFHH', 'FFFG']"
1,44,0,1.0,0.9674905716180701,"['SFFH', 'FFFH', 'FFFF', 'HHHG']"
1,25,0,1.0,0.8502341582884777,"['SFFF', 'HHHF', 'FHHF', 'FHHG']"
1,44,0,0.0,0.0,"['SFHH', 'HFHH', 'HFFF', 'FHHG']"
1,25,0,0.0,0.0,"['SHHH', 'FFHH', 'HFHH', 'FFFG']"
1,14,0,0.0,0.0,"['SFHH', 'FFFF', 'HFFH', 'FHFG']"
1,53,0,0.0,0.0,"['SHHH', 'FHFH', 'FFHH', 'HFFG']"
1,58,0,1.0,0.9791880578299021,"['SFHH', 'FFFF', 'HFFH', 'FFFG']"
1,60,0,1.0,0.884100203995605,"['SFFH', 'HHFH', 'FHFF', 'HFHG']"
1,76,0,1.0,0.8735386475474635,"['SHHF', 'FFFH', 'HFHF', 'HFFG']"
1,76,0,1.0,0.9733217421754432,"['SFFF', 'HHHF', 'HHFF', 'FHHG']"
1,59,0,1.0,0.9733217421754432,"['SFFF', 'FFHF', 'FHFH', 'FFFG']"
1,77,0,1.0,0.9704017769489168,"['SFHF', 'FFFF', 'HFHF', 'FFFG']"
1,88,0,1.0,0.9416796087056153,"['SHHF', 'FHHF', 'FHFF', 'FFFG']"
1,20,0,1.0,0.884100203995605,"['SFHF', 'FFFF', 'HFFF', 'FFHG']"
1,3,0,1.0,0.776950406379376,"['SFFF', 'FFHF', 'FHHF', 'HFHG']"
1,55,0,0.0,0.0,"['SHHF', 'FFFF', 'HFHF', 'HFHG']"
1,54,0,1.0,0.9704017769489168,"['SFFH', 'HFFH', 'HFFF', 'HFHG']"
1,28,0,1.0,0.9001824484431542,"['SFFF', 'FFHF', 'FFHF', 'HHHG']"
1,41,0,1.0,0.9821344612135428,"['SHHF', 'FFFF', 'FFFF', 'HHHG']"
1,77,0,1.0,0.9110661429076764,"['SFHH', 'HFFH', 'HFFH', 'HHFG']"
1,94,0,1.0,0.9616943356035061,"['SFFF', 'FFHH', 'FFFF', 'HHFG']"
1,96,0,1.0,0.9821344612135428,"['SFHF', 'HFFF', 'FFFF', 'FHFG']"
1,18,0,1.0,0.9791880578299021,"['SFFH', 'FFFF', 'FFFF', 'HHHG']"
1,91,0,1.0,0.9388545698794984,"['SHHH', 'FHFF', 'FFFF', 'HHHG']"
1,73,0,1.0,0.9704017769489168,"['SHHF', 'FFFH', 'FFHH', 'FFFG']"
1,9,0,0.0,0.0,"['SFHH', 'HFHH', 'HFFF', 'HHFG']"
1,82,0,1.0,0.985089730404757,"['SHFH', 'FHFF', 'FFFF', 'FFFG']"
1,47,0,1.0,0.9530650263643888,"['SFHF', 'FFFF', 'FHFF', 'FFFG']"
1,34,0,1.0,0.9445131481500655,"['SFHH', 'HFFF', 'HHFF', 'HFFG']"
