Temperature,Simulations,Return,Discounted Return,Map
1,39,0,1.0,0.9445131481500655,"['SFFF', 'FHHF', 'FFHF', 'HHFG']"
1,60,0,1.0,0.9733217421754432,"['SFHH', 'FFFF', 'FFHH', 'FFFG']"
1,7,0,0.0,0.0,"['SFFH', 'HFFF', 'HFHF', 'HFFG']"
1,98,0,1.0,0.8867604854519608,"['SFHH', 'HFFF', 'HFFF', 'HHHG']"
1,72,0,1.0,0.9473552137914398,"['SFFH', 'FHFF', 'FHHF', 'FHHG']"
1,58,0,1.0,0.9616943356035061,"['SFHH', 'FFFH', 'FFFF', 'HHHG']"
1,39,0,1.0,0.9559328248389055,"['SFFF', 'FFHF', 'FFFF', 'HHHG']"
1,37,0,0.0,0.0,"['SHFH', 'FFFF', 'FFHF', 'FFFG']"
1,48,0,1.0,0.9445131481500655,"['SHFF', 'FFHF', 'FFFF', 'HHHG']"
1,9,0,1.0,0.8476834558136123,"['SFFF', 'HHHF', 'FHFF', 'FHFG']"
1,50,0,1.0,0.9416796087056153,"['SFFH', 'HFFH', 'FHFF', 'HHHG']"
1,91,0,1.0,0.9530650263643888,"['SHFF', 'FHHF', 'FHFH', 'FFFG']"
1,85,0,1.0,0.8325391341551359,"['SFHH', 'HFFH', 'FHFF', 'FFHG']"
1,12,0,0.0,0.0,"['SFHH', 'HFFH', 'FFFF', 'FFFG']"
1,45,0,1.0,0.9502058312852957,"['SFFF', 'HFFF', 'FFHF', 'FHHG']"
1,71,0,0.0,0.0,"['SFFF', 'HFHH', 'FFFF', 'HHHG']"
1,43,0,1.0,0.9473552137914398,"['SFFF', 'FFHF', 'HFFF', 'FHHG']"
1,56,0,1.0,0.9733217421754432,"['SFFF', 'HHFH', 'FHFF', 'HHFG']"
1,56,0,1.0,0.9445131481500655,"['SFHF', 'HFFF', 'HHHF', 'FFFG']"
1,25,0,1.0,0.9821344612135428,"['SFFF', 'HFHF', 'FFHF', 'HHHG']"
1,30,0,1.0,0.7630697687590515,"['SHHF', 'FFHH', 'FFFF', 'HHHG']"
1,93,0,1.0,0.8867604854519608,"['SFHF', 'HFFF', 'FHFF', 'HHHG']"
1,19,0,1.0,0.93603800616986,"['SFFF', 'FFHF', 'FHFF', 'HFFG']"
1,48,0,1.0,0.9674905716180701,"['SFFH', 'HHFF', 'FHFF', 'FHHG']"
1,89,0,1.0,0.9821344612135428,"['SHHH', 'FFFF', 'FHHF', 'FFFG']"
1,74,0,1.0,0.8078974551636565,"['SFFH', 'FFHH', 'FFFH', 'HHFG']"
1,60,0,1.0,0.8761671489944468,"['SFFH', 'FHHF', 'FFFF', 'HFFG']"
1,53,0,1.0,0.857932408958235,"['SFFF', 'FHFH', 'HHFH', 'HHFG']"
1,21,0,0.0,0.0,"['SHHF', 'FFFH', 'HHFF', 'FHFG']"
1,85,0,1.0,0.9762504936564125,"['SHHF', 'FHHH', 'FFHF', 'FFFG']"
1,46,0,1.0,0.9388545698794984,"['SFFF', 'FHHF', 'FHFF', 'HFFG']"
1,2,0,0.0,0.0,"['SFFH', 'FFFH', 'FFFF', 'FHFG']"
1,63,0,1.0,0.9645880999032158,"['SFHF', 'HFFF', 'FFHF', 'HHHG']"
1,20,0,1.0,0.9502058312852957,"['SFFH', 'HHFF', 'HFFF', 'FFFG']"
1,85,0,1.0,0.9762504936564125,"['SFFF', 'HFFH', 'HFFH', 'HHFG']"
1,60,0,1.0,0.9674905716180701,"['SFFH', 'HHFH', 'HFFF', 'FFFG']"
1,51,0,1.0,0.9616943356035061,"['SFFF', 'FHFF', 'FHHF', 'FHHG']"
1,1,0,0.0,0.0,"['SFFH', 'FFFF', 'FFHH', 'FFFG']"
1,61,0,1.0,0.9616943356035061,"['SFFH', 'FHFH', 'FHFF', 'HFFG']"
1,61,0,0.0,0.0,"['SHHF', 'FFFF', 'HHFH', 'FFFG']"
1,93,0,1.0,0.9645880999032158,"['SFFF', 'FHHF', 'FHFF', 'HFHG']"
1,70,0,1.0,0.8553586117313603,"['SFHH', 'HFFH', 'FFFF', 'FHHG']"
1,73,0,1.0,0.8867604854519608,"['SFFH', 'HFFH', 'HHFH', 'HFFG']"
1,15,0,0.0,0.0,"['SFHF', 'HFHF', 'HFFH', 'HFFG']"
1,2,0,0.0,0.0,"['SFHH', 'FFHH', 'HFFF', 'FHFG']"
1,68,0,1.0,0.985089730404757,"['SFHH', 'FHHH', 'FFFH', 'HFFG']"
1,37,0,1.0,0.9248559951318693,"['SFFH', 'FHFF', 'FHHH', 'FFFG']"
1,85,0,1.0,0.985089730404757,"['SHHF', 'FHFH', 'FHHH', 'FFFG']"
1,75,0,1.0,0.9165572373164391,"['SFFF', 'FFFH', 'HFFH', 'FHFG']"
1,60,0,1.0,0.985089730404757,"['SFFF', 'HHFF', 'HHFF', 'FFHG']"
1,16,0,1.0,0.8709180316048211,"['SHHF', 'FHHF', 'FFFH', 'FFFG']"
1,62,0,1.0,0.9616943356035061,"['SFFH', 'FHFF', 'FHFF', 'FHHG']"
1,98,0,1.0,0.9645880999032158,"['SFFH', 'HHFF', 'FFFF', 'FHFG']"
1,58,0,0.0,0.0,"['SFHF', 'HFFH', 'HFHF', 'HFFG']"
1,10,0,1.0,0.9559328248389055,"['SFFF', 'HHHF', 'FFHF', 'FHHG']"
1,90,0,1.0,0.9821344612135428,"['SFHF', 'FFHH', 'FFFF', 'FHHG']"
1,42,0,1.0,0.9762504936564125,"['SFFH', 'HFFF', 'FHFF', 'HFFG']"
1,75,0,1.0,0.985089730404757,"['SFFH', 'FHFF', 'HFFF', 'FHFG']"
1,33,0,1.0,0.9502058312852957,"['SFFF', 'HFFF', 'FHFH', 'HHFG']"
1,33,0,0.0,0.0,"['SFHH', 'FFFH', 'HHFH', 'HHFG']"
1,47,0,1.0,0.9791880578299021,"['SHHH', 'FFFH', 'FFFF', 'HFFG']"
1,47,0,1.0,0.8788035596734672,"['SFFH', 'HHFF', 'FHHF', 'FFFG']"
1,56,0,1.0,0.9762504936564125,"['SFFF', 'FFFF', 'FFHF', 'HFHG']"
1,42,0,1.0,0.9821344612135428,"['SFFH', 'FFFF', 'HFFH', 'FFFG']"
1,4,0,0.0,0.0,"['SFHH', 'FHHH', 'FFFF', 'HFHG']"
1,84,0,1.0,0.93603800616986,"['SFHF', 'HFFF', 'FFHF', 'HFHG']"
1,39,0,0.0,0.0,"['SHHH', 'FFFH', 'FHFH', 'FHFG']"
1,93,0,1.0,0.9733217421754432,"['SFFF', 'HFHH', 'FFFH', 'HFFG']"
1,6,0,0.0,0.0,"['SFFF', 'HHFH', 'HHFF', 'FHFG']"
1,52,0,1.0,0.9704017769489168,"['SFFF', 'HHHF', 'HFFF', 'FHHG']"
1,64,0,1.0,0.9733217421754432,"['SHFF', 'FFFF', 'FHHF', 'FFFG']"
1,30,0,1.0,0.9616943356035061,"['SFFF', 'HFHF', 'FFHF', 'FFHG']"
1,99,0,1.0,0.9762504936564125,"['SFFF', 'FHFH', 'HHFF', 'FHHG']"
1,65,0,1.0,0.9762504936564125,"['SHHH', 'FFFF', 'FHFF', 'FFHG']"
1,8,0,0.0,0.0,"['SHHF', 'FFHH', 'HFFF', 'HHHG']"
1,87,0,1.0,0.9733217421754432,"['SFFF', 'FHHF', 'HHHF', 'HHFG']"
