Temperature,Simulations,Return,Discounted Return,Map
1,38,0,1.0,0.9733217421754432,"['SFFF', 'HFFF', 'HFHF', 'FFFG']"
1,14,0,1.0,0.8974819010978248,"['SFFH', 'FFFF', 'HHFF', 'FFFG']"
1,33,0,1.0,0.9821344612135428,"['SFFF', 'FHFF', 'HHFF', 'HHFG']"
1,54,0,1.0,0.9733217421754432,"['SHFH', 'FFFF', 'FHFF', 'FFFG']"
1,66,0,1.0,0.9588092525966956,"['SHHH', 'FHHF', 'FFHH', 'FFFG']"
1,99,0,1.0,0.9645880999032158,"['SFHF', 'HFFF', 'HHHF', 'FHHG']"
1,76,0,1.0,0.9791880578299021,"['SFHF', 'FFFH', 'FFFF', 'HHHG']"
1,39,0,1.0,0.8553586117313603,"['SFFF', 'FFHF', 'FFFH', 'HHFG']"
1,30,0,1.0,0.8974819010978248,"['SFFF', 'HHHF', 'HFHF', 'HFHG']"
1,78,0,1.0,0.9791880578299021,"['SHFF', 'FFFF', 'FFFF', 'HFFG']"
1,16,0,0.0,0.0,"['SHFH', 'FFFH', 'HFFH', 'HHFG']"
1,2,0,0.0,0.0,"['SFFF', 'FHFH', 'FFFH', 'FHFG']"
1,96,0,1.0,0.8426049842298329,"['SFHF', 'FFFH', 'HHFH', 'FHFG']"
1,70,0,1.0,0.9559328248389055,"['SFHF', 'FFFF', 'HHFH', 'FHFG']"
1,76,0,1.0,0.9165572373164391,"['SFHF', 'HFFF', 'FFHF', 'HFHG']"
1,79,0,1.0,0.9645880999032158,"['SFFF', 'FFHF', 'HHHF', 'FFFG']"
1,96,0,1.0,0.9733217421754432,"['SFFF', 'HHHF', 'HHFF', 'HFHG']"
1,81,0,1.0,0.9791880578299021,"['SHFF', 'FFFH', 'FHHF', 'FFFG']"
1,22,0,1.0,0.9056079456455165,"['SFFH', 'FHHH', 'FFFH', 'HFFG']"
1,95,0,1.0,0.9559328248389055,"['SFFH', 'FFFF', 'FFHF', 'HHFG']"
1,19,0,1.0,0.9388545698794984,"['SFHH', 'FFFF', 'FHFF', 'FHFG']"
1,55,0,1.0,0.7722956964947572,"['SFHF', 'HFHF', 'HFFF', 'HFHG']"
1,100,0,1.0,0.9791880578299021,"['SFFF', 'FFFF', 'HFHF', 'HHHG']"
1,2,0,0.0,0.0,"['SFHF', 'FHHF', 'FHFH', 'FFFG']"
1,12,0,0.0,0.0,"['SHFF', 'FFHF', 'FFFH', 'HFFG']"
1,16,0,0.0,0.0,"['SFFH', 'FHFF', 'HFFH', 'FFFG']"
1,51,0,1.0,0.9083329444789534,"['SFHF', 'HFFH', 'FHFF', 'HFHG']"
1,24,0,0.0,0.0,"['SFHF', 'HFHH', 'FFFF', 'HFHG']"
1,97,0,1.0,0.9791880578299021,"['SFFF', 'HHHF', 'FHFF', 'FHFG']"
1,69,0,1.0,0.8788035596734672,"['SHFH', 'FFFF', 'FHFF', 'HFHG']"
1,2,0,0.0,0.0,"['SFHF', 'FFFF', 'HHHF', 'HFHG']"
1,56,0,1.0,0.9821344612135428,"['SHFH', 'FHFF', 'FFFH', 'FFFG']"
1,81,0,1.0,0.9559328248389055,"['SHHH', 'FHFH', 'FFFF', 'HFHG']"
1,59,0,1.0,0.9559328248389055,"['SFHF', 'HFFH', 'FFFF', 'HHFG']"
1,96,0,1.0,0.9733217421754432,"['SFFF', 'FFFH', 'FHFF', 'HHFG']"
1,68,0,1.0,0.9821344612135428,"['SHHF', 'FFFH', 'FFFH', 'HFFG']"
1,84,0,1.0,0.9791880578299021,"['SFFF', 'HHHF', 'FHHF', 'FHHG']"
1,49,0,1.0,0.9445131481500655,"['SFFH', 'HHFH', 'FHFF', 'FHHG']"
1,76,0,1.0,0.9559328248389055,"['SFFH', 'HHFH', 'HFFF', 'HHHG']"
1,57,0,1.0,0.9416796087056153,"['SFFF', 'FHHF', 'HFHF', 'FHHG']"
1,25,0,1.0,0.8867604854519608,"['SFFF', 'HFFH', 'FFFH', 'HHFG']"
1,60,0,1.0,0.9416796087056153,"['SFHF', 'HFFF', 'FFHF', 'HFFG']"
1,35,0,1.0,0.9733217421754432,"['SFFF', 'HFFH', 'FFFF', 'HHHG']"
1,31,0,0.0,0.0,"['SHHH', 'FHFH', 'FFFH', 'HHFG']"
1,53,0,1.0,0.985089730404757,"['SFHF', 'HFFH', 'HFFF', 'FFFG']"
1,20,0,1.0,0.9530650263643888,"['SFFF', 'HHFF', 'FHFF', 'FHHG']"
1,8,0,0.0,0.0,"['SHHF', 'FFFH', 'HFFF', 'FHHG']"
1,21,0,1.0,0.8054737627981655,"['SFFH', 'HFFH', 'FHFF', 'HFHG']"
1,27,0,1.0,0.9674905716180701,"['SFFF', 'HFFF', 'FFFF', 'HFHG']"
1,93,0,1.0,0.9416796087056153,"['SFHF', 'HFFF', 'HFFF', 'HHHG']"
1,80,0,0.0,0.0,"['SHHH', 'FFFH', 'HFFF', 'HFHG']"
1,97,0,1.0,0.9445131481500655,"['SFHH', 'HFHF', 'FFFF', 'HFFG']"
1,14,0,1.0,0.9416796087056153,"['SFFF', 'FHFF', 'HHHF', 'FHFG']"
1,11,0,0.0,0.0,"['SHHF', 'FHHH', 'FFFF', 'HHFG']"
1,47,0,1.0,0.9588092525966956,"['SHHH', 'FFHF', 'FFFH', 'HFFG']"
1,15,0,0.0,0.0,"['SHFH', 'FFHF', 'FFFH', 'FHFG']"
1,43,0,0.0,0.0,"['SFFF', 'FFFF', 'FHHH', 'FFFG']"
1,29,0,0.0,0.0,"['SHHH', 'FFHF', 'HFFF', 'HHHG']"
