Temperature,Simulations,Return,Discounted Return,Map
1,13,0,1.0,0.8814479033836181,"['SFHF', 'HFFF', 'FFFF', 'FFHG']"
1,11,0,0.0,0.0,"['SHHF', 'FHFH', 'FHFH', 'FFFG']"
1,53,0,1.0,0.9762504936564125,"['SFFH', 'HHFF', 'FFFF', 'FHFG']"
1,22,0,1.0,0.8683052775100066,"['SFFH', 'HFFF', 'HFFF', 'HHHG']"
1,70,0,1.0,0.9388545698794984,"['SFFH', 'FHFH', 'HFFF', 'HHHG']"
1,72,0,0.0,0.0,"['SFHF', 'FFFH', 'FHFH', 'HHFG']"
1,65,0,1.0,0.9762504936564125,"['SFFH', 'FFFH', 'FFFF', 'FHHG']"
1,84,0,1.0,0.9791880578299021,"['SFHF', 'FFHH', 'FHFF', 'FFFG']"
1,60,0,1.0,0.93603800616986,"['SFFH', 'HFFH', 'FHFH', 'HHFG']"
1,60,0,1.0,0.8894287717672626,"['SFFH', 'HHFH', 'HHFF', 'FHHG']"
1,25,0,0.0,0.0,"['SHFF', 'FFFH', 'HFFH', 'HHFG']"
1,19,0,1.0,0.9056079456455165,"['SHHF', 'FFFF', 'HFFF', 'HHFG']"
1,3,0,0.0,0.0,"['SHHH', 'FFHH', 'HFFF', 'FFFG']"
1,71,0,1.0,0.985089730404757,"['SFHH', 'FFHH', 'FFHH', 'FFFG']"
1,60,0,1.0,0.9674905716180701,"['SFFF', 'FFHF', 'HHHF', 'FFHG']"
1,89,0,1.0,0.9056079456455165,"['SHFH', 'FFFF', 'FHFH', 'FHFG']"
1,94,0,0.0,0.0,"['SHHF', 'FFFF', 'HHFH', 'HFFG']"
1,38,0,1.0,0.9001824484431542,"['SFFH', 'FFHF', 'HFHF', 'FFFG']"
1,82,0,1.0,0.9762504936564125,"['SHHF', 'FFHH', 'FFFF', 'HFHG']"
1,27,0,0.0,0.0,"['SHHF', 'FFFH', 'FHFF', 'HFHG']"
1,58,0,1.0,0.985089730404757,"['SHFH', 'FFHF', 'FHHH', 'FFFG']"
1,55,0,1.0,0.9304302024748964,"['SFHH', 'FHHH', 'FFFH', 'HFFG']"
1,3,0,0.0,0.0,"['SHFF', 'FFFF', 'FHHF', 'HFFG']"
1,26,0,1.0,0.9704017769489168,"['SFFF', 'FFHF', 'FHHF', 'FHFG']"
1,99,0,1.0,0.9791880578299021,"['SHHF', 'FHFH', 'FHHF', 'FFFG']"
1,87,0,1.0,0.90289112180858,"['SFHH', 'HFFF', 'HHHF', 'FFFG']"
1,16,0,0.0,0.0,"['SHFH', 'FFHF', 'HFFF', 'HFFG']"
1,9,0,0.0,0.0,"['SFHF', 'FFFF', 'HHFH', 'FFFG']"
1,73,0,1.0,0.93603800616986,"['SHHF', 'FFFF', 'HHFF', 'HHHG']"
1,31,0,1.0,0.9704017769489168,"['SHHF', 'FHHH', 'FFHH', 'FFFG']"
1,58,0,0.0,0.0,"['SHFF', 'FFFH', 'HFFH', 'FHFG']"
1,11,0,1.0,0.8176653739626438,"['SFFH', 'FHFH', 'FFFH', 'FHFG']"
1,12,0,0.0,0.0,"['SFHF', 'HFHF', 'HFFF', 'FHHG']"
1,83,0,0.0,0.0,"['SFFF', 'FHHF', 'FFHH', 'HFFG']"
1,26,0,1.0,0.9645880999032158,"['SFFH', 'FFFH', 'FFFF', 'FHHG']"
1,26,0,1.0,0.9001824484431542,"['SHFH', 'FFFF', 'HFFF', 'HHFG']"
1,44,0,0.0,0.0,"['SFHF', 'FFFH', 'HHFF', 'FHHG']"
1,49,0,1.0,0.9645880999032158,"['SFFF', 'HFFH', 'HFFF', 'FFHG']"
1,6,0,0.0,0.0,"['SHFF', 'FHFH', 'FFHH', 'HFFG']"
1,31,0,1.0,0.9821344612135428,"['SFFF', 'FFFF', 'FFFH', 'FHFG']"
1,62,0,1.0,0.9791880578299021,"['SFFF', 'FFFH', 'HFFF', 'HHHG']"
1,93,0,1.0,0.9733217421754432,"['SFHF', 'FHHH', 'FFHF', 'FFFG']"
1,88,0,1.0,0.985089730404757,"['SHHH', 'FHHH', 'FFFH', 'FFFG']"
1,12,0,1.0,0.8867604854519608,"['SFHF', 'FHHH', 'FFHF', 'FFFG']"
1,70,0,1.0,0.8476834558136123,"['SHHF', 'FFHH', 'HFFF', 'FHFG']"
1,76,0,1.0,0.9276389118674717,"['SHFH', 'FHHH', 'FFFF', 'HHFG']"
1,78,0,1.0,0.9762504936564125,"['SFHH', 'FHHH', 'FHFF', 'FFFG']"
1,12,0,0.0,0.0,"['SFHH', 'FFFF', 'FHHF', 'HHFG']"
1,5,0,0.0,0.0,"['SHHH', 'FFHH', 'FFFF', 'HHFG']"
1,16,0,1.0,0.8201257512162927,"['SFFF', 'FHHF', 'HHHF', 'FHFG']"
1,37,0,1.0,0.9445131481500655,"['SFHF', 'FHHF', 'FFFF', 'HFFG']"
1,49,0,0.0,0.0,"['SFHH', 'FHFH', 'FFFF', 'HHHG']"
1,61,0,1.0,0.9530650263643888,"['SFFH', 'HFHH', 'HFFH', 'HFFG']"
1,58,0,0.0,0.0,"['SHFH', 'FFHF', 'HFHF', 'HFFG']"
1,35,0,1.0,0.9304302024748964,"['SFHF', 'FHHF', 'FFFH', 'HFFG']"
1,40,0,0.0,0.0,"['SFFH', 'FHHH', 'FFFH', 'FHFG']"
1,23,0,0.0,0.0,"['SFFH', 'FFHH', 'HFHF', 'HFFG']"
1,76,0,1.0,0.7816331707050701,"['SFFF', 'FHHH', 'FFFH', 'FHFG']"
1,13,0,1.0,0.9674905716180701,"['SFFF', 'HFFF', 'HHHF', 'HHFG']"
1,87,0,1.0,0.9791880578299021,"['SFFH', 'FFHH', 'FFFF', 'HHFG']"
1,6,0,0.0,0.0,"['SHFF', 'FFFH', 'FFFH', 'HFFG']"
1,69,0,0.0,0.0,"['SHHF', 'FFHH', 'HFFF', 'HFHG']"
1,10,0,0.0,0.0,"['SHFF', 'FFFH', 'HHFH', 'HFFG']"
1,4,0,0.0,0.0,"['SHFH', 'FFFF', 'HHFF', 'FHHG']"
1,94,0,1.0,0.9304302024748964,"['SFHF', 'FHHH', 'FFFH', 'HHFG']"
1,96,0,1.0,0.9821344612135428,"['SHHF', 'FFFF', 'HFFF', 'FHFG']"
1,60,0,0.0,0.0,"['SHHF', 'FFHH', 'FFFF', 'HFHG']"
1,16,0,0.0,0.0,"['SFHH', 'FFHH', 'HFFH', 'FHFG']"
1,90,0,1.0,0.9791880578299021,"['SFFF', 'HHFF', 'HFFF', 'FHHG']"
1,97,0,1.0,0.9821344612135428,"['SFFF', 'FFFF', 'FHFF', 'FHFG']"
1,43,0,1.0,0.767668872977057,"['SFFF', 'FHFH', 'FHFH', 'FHFG']"
1,66,0,1.0,0.9674905716180701,"['SHFH', 'FFFF', 'HHFF', 'HHHG']"
1,91,0,1.0,0.9821344612135428,"['SFFH', 'FHFH', 'FFHH', 'FFFG']"
1,48,0,1.0,0.9821344612135428,"['SFFF', 'HHFF', 'HHFF', 'HHFG']"
1,61,0,1.0,0.9791880578299021,"['SFHF', 'FFHH', 'HFFF', 'HFFG']"
1,28,0,1.0,0.9276389118674717,"['SFHF', 'HFFF', 'HFFF', 'FFHG']"
1,8,0,0.0,0.0,"['SHFF', 'FFFF', 'FFHF', 'FHFG']"
1,63,0,1.0,0.9821344612135428,"['SFHF', 'FFHF', 'HFFF', 'FFFG']"
1,68,0,1.0,0.9616943356035061,"['SFFH', 'FFFF', 'FFHF', 'HFFG']"
1,35,0,1.0,0.985089730404757,"['SHFF', 'FFHH', 'FFHF', 'FFFG']"
1,30,0,1.0,0.93603800616986,"['SFFH', 'FFFH', 'HHFF', 'FHHG']"
1,23,0,1.0,0.8451404054461714,"['SHHH', 'FHHH', 'FFFF', 'HFFG']"
1,100,0,1.0,0.9559328248389055,"['SFFF', 'HHFH', 'HHFF', 'HFHG']"
1,21,0,1.0,0.8300415167526705,"['SFFF', 'FFFH', 'HHFF', 'FHHG']"
1,26,0,1.0,0.7887102894272789,"['SFFH', 'HHFF', 'FHHF', 'FFFG']"
1,87,0,0.0,0.0,"['SHHH', 'FFFF', 'FFHF', 'FHFG']"
1,24,0,1.0,0.8631032605924442,"['SFFH', 'FHFF', 'HFFF', 'FHFG']"
1,88,0,1.0,0.9704017769489168,"['SFFF', 'FFFF', 'FFFH', 'HFFG']"
1,98,0,1.0,0.9733217421754432,"['SHHF', 'FFHH', 'HFHF', 'FFFG']"
1,79,0,1.0,0.9332298921513504,"['SFHF', 'FFFF', 'FHFF', 'FFFG']"
1,72,0,1.0,0.9762504936564125,"['SFFH', 'HHFF', 'HFFF', 'FFFG']"
1,3,0,0.0,0.0,"['SHHH', 'FFHH', 'HFFF', 'FFHG']"
1,66,0,1.0,0.985089730404757,"['SFFF', 'HHHF', 'FHFF', 'HHHG']"
1,48,0,1.0,0.9220814271464737,"['SHHH', 'FHFH', 'FFFH', 'HFFG']"
1,11,0,0.0,0.0,"['SHFH', 'FFFF', 'FFHF', 'HFFG']"
1,20,0,0.0,0.0,"['SFHH', 'HFHH', 'HFFF', 'FHFG']"
1,89,0,1.0,0.9762504936564125,"['SFHF', 'FHFH', 'FFHH', 'FFFG']"
1,68,0,1.0,0.9559328248389055,"['SFHH', 'HFFF', 'FFHF', 'FFFG']"
1,92,0,1.0,0.9821344612135428,"['SFFF', 'FFFF', 'HHHF', 'HHHG']"
1,40,0,1.0,0.9791880578299021,"['SFHF', 'FFHH', 'FFFF', 'HFFG']"
1,52,0,1.0,0.9762504936564125,"['SHFH', 'FHFH', 'FFFH', 'FFFG']"
1,31,0,0.0,0.0,"['SHHF', 'FHHF', 'FFFF', 'HHHG']"
1,74,0,1.0,0.9733217421754432,"['SHHF', 'FFFF', 'HFFF', 'FHHG']"
1,4,0,0.0,0.0,"['SFHF', 'HFHF', 'FFFH', 'FHFG']"
1,69,0,1.0,0.9165572373164391,"['SFHF', 'HFFF', 'HFFH', 'FHFG']"
1,43,0,1.0,0.9416796087056153,"['SFFH', 'FFFH', 'HHFF', 'FFHG']"
1,73,0,1.0,0.9559328248389055,"['SHHF', 'FFFF', 'FHFF', 'FHFG']"
1,92,0,0.0,0.0,"['SHFH', 'FFHF', 'HFHF', 'FFFG']"
1,92,0,1.0,0.9645880999032158,"['SFFH', 'HFHH', 'FFFF', 'FHFG']"
1,8,0,1.0,0.9762504936564125,"['SFFF', 'FHFF', 'HHFF', 'HFFG']"
1,22,0,1.0,0.9821344612135428,"['SFFF', 'FHFF', 'FFFF', 'FFFG']"
1,80,0,1.0,0.9588092525966956,"['SFFF', 'FFHH', 'FFFF', 'HHFG']"
1,69,0,1.0,0.9388545698794984,"['SHHH', 'FFFF', 'HFHF', 'HFFG']"
1,66,0,1.0,0.9733217421754432,"['SFFF', 'HHFF', 'HHFF', 'HFHG']"
1,20,0,1.0,0.9332298921513504,"['SHFF', 'FHFH', 'FFFH', 'FFFG']"
1,49,0,1.0,0.857932408958235,"['SFFH', 'FFHF', 'HFFH', 'FHFG']"
1,98,0,1.0,0.9821344612135428,"['SFFH', 'HHFH', 'FFFF', 'FFFG']"
1,24,0,0.0,0.0,"['SFHH', 'HFFF', 'FFHF', 'HHFG']"
1,60,0,1.0,0.8867604854519608,"['SHHF', 'FFFH', 'HFFF', 'FFHG']"
1,7,0,0.0,0.0,"['SHHH', 'FFHH', 'FFHH', 'FFFG']"
1,30,0,0.0,0.0,"['SHFH', 'FFHF', 'FFHF', 'FFFG']"
1,97,0,1.0,0.860513950810667,"['SHFH', 'FHFF', 'FFFF', 'FHHG']"
1,30,0,1.0,0.8476834558136123,"['SHHF', 'FFFF', 'HHFH', 'FHFG']"
1,22,0,1.0,0.9645880999032158,"['SHHH', 'FFFH', 'HFFF', 'HFFG']"
1,91,0,1.0,0.7746195551602378,"['SHFF', 'FFFH', 'FHFF', 'HHHG']"
1,31,0,1.0,0.9138075656044898,"['SHHF', 'FHHH', 'FFHH', 'FFFG']"
1,28,0,1.0,0.9110661429076764,"['SFHF', 'HFFF', 'HFFF', 'FHFG']"
1,36,0,1.0,0.9304302024748964,"['SFHH', 'HFHF', 'HFFF', 'FHFG']"
1,83,0,1.0,0.985089730404757,"['SFFF', 'FFFF', 'HHFF', 'HFFG']"
1,89,0,1.0,0.9530650263643888,"['SFFF', 'HFFF', 'HFHH', 'HFFG']"
1,7,0,0.0,0.0,"['SHFH', 'FFHH', 'HFFF', 'HFHG']"
1,3,0,1.0,0.90289112180858,"['SFFF', 'HFFF', 'FHFF', 'HFFG']"
1,85,0,1.0,0.9645880999032158,"['SFFH', 'FFFH', 'FHHH', 'FFFG']"
1,47,0,1.0,0.985089730404757,"['SFHF', 'FFFF', 'FFFF', 'FFHG']"
1,66,0,1.0,0.9821344612135428,"['SFFF', 'FHFF', 'FHFF', 'HFHG']"
1,29,0,0.0,0.0,"['SFHH', 'HFFH', 'FHFF', 'FHHG']"
1,74,0,1.0,0.9193151828650342,"['SFHF', 'HFHH', 'HFHH', 'FFFG']"
1,9,0,0.0,0.0,"['SHFF', 'FFFF', 'FFHH', 'FFFG']"
1,13,0,1.0,0.8152123778407558,"['SFFF', 'HHFH', 'FHFF', 'HFFG']"
1,14,0,0.0,0.0,"['SFFH', 'FHFH', 'FFFH', 'HHFG']"
1,35,0,1.0,0.9674905716180701,"['SFFF', 'HHFF', 'HFFF', 'FFHG']"
1,4,0,0.0,0.0,"['SHHF', 'FFFF', 'HHFF', 'HFHG']"
1,47,0,1.0,0.9588092525966956,"['SFFF', 'FHHF', 'FHFH', 'FFFG']"
1,17,0,0.0,0.0,"['SFHH', 'HFFF', 'HHFH', 'HHFG']"
