Temperature,Simulations,Return,Discounted Return,Map
1,8,0,1.0,0.93603800616986,"['SFFF', 'HHHF', 'HHFF', 'HHHG']"
1,93,0,1.0,0.9056079456455165,"['SHFH', 'FHHF', 'FFFH', 'HHFG']"
1,85,0,1.0,0.9762504936564125,"['SFFH', 'FHHF', 'FHHF', 'FFFG']"
1,2,0,1.0,0.9165572373164391,"['SFFF', 'HFFF', 'FHFF', 'FHFG']"
1,71,0,1.0,0.9674905716180701,"['SHFF', 'FFFF', 'HFFF', 'HHHG']"
1,80,0,1.0,0.9165572373164391,"['SHHF', 'FFHH', 'HFFF', 'HFFG']"
1,81,0,1.0,0.9791880578299021,"['SHFH', 'FHFH', 'FHFH', 'FFFG']"
1,36,0,1.0,0.9616943356035061,"['SFFF', 'FFFF', 'HHFF', 'FFFG']"
1,13,0,0.0,0.0,"['SHFF', 'FFFF', 'HHFF', 'FFHG']"
1,50,0,1.0,0.8250687380258053,"['SFHF', 'FFHF', 'FFFH', 'HFFG']"
1,85,0,1.0,0.9733217421754432,"['SHHH', 'FHFH', 'FFHF', 'FFFG']"
1,21,0,1.0,0.7958514863018556,"['SFFF', 'HHFH', 'HFFH', 'HFFG']"
1,19,0,0.0,0.0,"['SFFF', 'FHFH', 'HFFF', 'FFHG']"
1,20,0,1.0,0.7887102894272789,"['SHHH', 'FHFH', 'FHFF', 'FFFG']"
1,76,0,1.0,0.93603800616986,"['SFHF', 'FFFF', 'HHFH', 'HHFG']"
1,67,0,1.0,0.9733217421754432,"['SFHF', 'FFFF', 'HFHF', 'HHHG']"
1,25,0,0.0,0.0,"['SHFF', 'FFFH', 'HFFF', 'HHHG']"
1,79,0,1.0,0.9416796087056153,"['SFHF', 'FFFF', 'HHHF', 'FHFG']"
1,17,0,1.0,0.8400771692771434,"['SHFF', 'FFFF', 'FFFH', 'FHFG']"
1,99,0,1.0,0.9220814271464737,"['SFHH', 'HFFH', 'FFHH', 'HFFG']"
1,17,0,1.0,0.9674905716180701,"['SFFF', 'FHFF', 'HHFF', 'FFHG']"
1,65,0,1.0,0.9762504936564125,"['SFFF', 'FFFF', 'HHFF', 'HFHG']"
1,27,0,0.0,0.0,"['SHHF', 'FHHF', 'FHHH', 'FFFG']"
1,98,0,0.0,0.0,"['SFHH', 'HFFH', 'FFHF', 'HFFG']"
1,91,0,1.0,0.985089730404757,"['SFHH', 'FHFH', 'FFFF', 'HHFG']"
1,81,0,1.0,0.8761671489944468,"['SFHH', 'FFFF', 'FHHF', 'FHFG']"
1,23,0,0.0,0.0,"['SFHF', 'HFFF', 'FHFH', 'HFFG']"
1,54,0,1.0,0.9821344612135428,"['SFFF', 'HFFF', 'FFHF', 'FHFG']"
1,84,0,1.0,0.9821344612135428,"['SHFF', 'FFFF', 'HHFF', 'FHHG']"
1,51,0,1.0,0.9791880578299021,"['SHFH', 'FFFF', 'FFHF', 'HHHG']"
1,1,0,0.0,0.0,"['SHFF', 'FFHH', 'HFFF', 'HHHG']"
1,67,0,1.0,0.9276389118674717,"['SFFF', 'FFHF', 'HFHF', 'HHHG']"
