Temperature,Simulations,Return,Discounted Return,Map
1,21,0,1.0,0.8078974551636565,"['SHHF', 'FHFF', 'FHHH', 'FFFG']"
1,13,0,1.0,0.798246224976786,"['SFFF', 'FFFF', 'FHFH', 'HHFG']"
1,24,0,0.0,0.0,"['SHFF', 'FFFH', 'HHFH', 'HHFG']"
1,82,0,1.0,0.9733217421754432,"['SHHH', 'FFHF', 'FFFH', 'FFFG']"
1,79,0,1.0,0.9445131481500655,"['SFFF', 'HHHF', 'FHHF', 'FFFG']"
1,81,0,1.0,0.9791880578299021,"['SFFH', 'FFFF', 'HFFF', 'FFFG']"
1,59,0,1.0,0.9821344612135428,"['SFFF', 'HHFF', 'FHFF', 'FFFG']"
1,22,0,0.0,0.0,"['SFHH', 'FHHF', 'FFFH', 'FHFG']"
1,20,0,1.0,0.9616943356035061,"['SFHH', 'HFFF', 'HFFF', 'HHFG']"
1,72,0,0.0,0.0,"['SFHF', 'HFFH', 'FHFF', 'FHHG']"
1,72,0,1.0,0.9473552137914398,"['SFFH', 'FFFH', 'FFHF', 'HFFG']"
1,81,0,1.0,0.9416796087056153,"['SFFH', 'HFFF', 'FFHF', 'HHFG']"
1,1,0,0.0,0.0,"['SHHH', 'FFFF', 'HFHF', 'HHHG']"
1,20,0,1.0,0.9445131481500655,"['SFFF', 'FHHF', 'HFHF', 'HHHG']"
1,36,0,0.0,0.0,"['SHHH', 'FFHF', 'HFFH', 'HFFG']"
1,62,0,1.0,0.9791880578299021,"['SFFF', 'HHFH', 'FFFF', 'FFFG']"
1,65,0,1.0,0.9445131481500655,"['SFFF', 'FHFH', 'FFFH', 'HFFG']"
1,37,0,1.0,0.9502058312852957,"['SFFF', 'FFFH', 'FFFF', 'HFHG']"
1,45,0,1.0,0.9416796087056153,"['SHFH', 'FFFF', 'HHHF', 'FFFG']"
1,27,0,1.0,0.9276389118674717,"['SFFF', 'FFHF', 'FHHF', 'FHFG']"
1,16,0,1.0,0.9388545698794984,"['SHFF', 'FFFF', 'FHFF', 'FFFG']"
1,11,0,1.0,0.857932408958235,"['SFFF', 'HFFF', 'HHHF', 'FHFG']"
1,90,0,1.0,0.93603800616986,"['SHHF', 'FFFH', 'HFHF', 'FFFG']"
1,13,0,0.0,0.0,"['SHHF', 'FHHH', 'FFFF', 'FHFG']"
1,93,0,1.0,0.9559328248389055,"['SFFH', 'HHFH', 'FHFF', 'FHFG']"
1,8,0,0.0,0.0,"['SFHH', 'HFHF', 'HFFH', 'HHFG']"
1,58,0,1.0,0.9645880999032158,"['SFFF', 'HHHF', 'HHFF', 'FFFG']"
1,17,0,0.0,0.0,"['SFFH', 'FFHF', 'HFHH', 'FFFG']"
1,42,0,0.0,0.0,"['SFHH', 'HFFH', 'HHFH', 'HHFG']"
1,64,0,1.0,0.8974819010978248,"['SHFH', 'FHHH', 'FFFH', 'HHFG']"
1,72,0,0.0,0.0,"['SHFF', 'FFHF', 'HFFF', 'HFHG']"
1,35,0,1.0,0.9616943356035061,"['SHHF', 'FHFH', 'FFHH', 'FFFG']"
1,55,0,1.0,0.9248559951318693,"['SFHH', 'FFFF', 'HFFH', 'FHFG']"
1,6,0,0.0,0.0,"['SFHH', 'FHFF', 'FFHF', 'HFFG']"
1,60,0,1.0,0.8974819010978248,"['SFHH', 'HFHH', 'FFFF', 'FHHG']"
1,42,0,1.0,0.9704017769489168,"['SFFH', 'FHFF', 'FFFF', 'FHFG']"
1,41,0,0.0,0.0,"['SHFH', 'FFFH', 'FHFF', 'FHFG']"
1,41,0,0.0,0.0,"['SFFH', 'HFHF', 'FFFF', 'FHHG']"
1,63,0,1.0,0.9645880999032158,"['SFFF', 'FFHH', 'FFHF', 'HFFG']"
1,44,0,1.0,0.9445131481500655,"['SFFF', 'HFFH', 'HFFH', 'FHFG']"
1,15,0,1.0,0.9083329444789534,"['SFFF', 'FFFH', 'HFFF', 'FHHG']"
1,74,0,1.0,0.9704017769489168,"['SFFF', 'FFFF', 'HFFF', 'FHHG']"
1,55,0,1.0,0.9791880578299021,"['SFFF', 'HHFF', 'HHFF', 'FHFG']"
1,83,0,1.0,0.9674905716180701,"['SFHF', 'HFFF', 'HHHF', 'FFFG']"
1,92,0,1.0,0.9530650263643888,"['SHFF', 'FFFF', 'HFHF', 'HFHG']"
1,76,0,1.0,0.9110661429076764,"['SFHH', 'HFFF', 'HHHF', 'HHHG']"
1,45,0,1.0,0.9332298921513504,"['SFFF', 'FFHF', 'FFFH', 'HFFG']"
1,3,0,0.0,0.0,"['SFFF', 'FHHH', 'FFFF', 'HFHG']"
1,19,0,0.0,0.0,"['SHFH', 'FFFF', 'FFHF', 'HHHG']"
1,88,0,1.0,0.9704017769489168,"['SFFF', 'FFHF', 'FFHF', 'HHHG']"
1,95,0,1.0,0.9704017769489168,"['SFHF', 'FFFH', 'FHHF', 'FFFG']"
1,18,0,0.0,0.0,"['SHFF', 'FFFH', 'HHFF', 'FFFG']"
1,35,0,1.0,0.9704017769489168,"['SFFF', 'FHFH', 'FFHF', 'FFFG']"
1,43,0,1.0,0.9445131481500655,"['SFFF', 'HFFH', 'FHFH', 'HHFG']"
1,82,0,1.0,0.9530650263643888,"['SFFH', 'HHFF', 'HFHF', 'HFHG']"
1,49,0,1.0,0.9616943356035061,"['SHHF', 'FFHH', 'FFFF', 'FFHG']"
1,100,0,1.0,0.9645880999032158,"['SFFF', 'HHFF', 'HFFH', 'HFFG']"
1,61,0,0.0,0.0,"['SHHH', 'FFFF', 'HFHF', 'FFHG']"
1,29,0,1.0,0.9416796087056153,"['SFFH', 'FFFF', 'HHFF', 'FFFG']"
1,21,0,0.0,0.0,"['SFHH', 'FHHF', 'FFFF', 'HFHG']"
1,30,0,0.0,0.0,"['SHFF', 'FFHF', 'HFFH', 'HHFG']"
1,2,0,0.0,0.0,"['SHFF', 'FFFH', 'HHFF', 'HFFG']"
1,85,0,1.0,0.9762504936564125,"['SFFF', 'FHHF', 'HHFF', 'FFFG']"
1,20,0,0.0,0.0,"['SHFF', 'FFFF', 'FFFH', 'HHFG']"
1,82,0,1.0,0.985089730404757,"['SHFH', 'FFFH', 'FFFH', 'HFFG']"
1,9,0,0.0,0.0,"['SHFH', 'FFHF', 'FFFF', 'FHHG']"
1,58,0,0.0,0.0,"['SHFH', 'FFFH', 'FFFF', 'FFHG']"
1,30,0,1.0,0.8426049842298329,"['SFHF', 'HFFF', 'FHHF', 'HFHG']"
