Temperature,Simulations,Return,Discounted Return,Map
1,54,0,0.0,0.0,"['SHHH', 'FFHH', 'HFFH', 'FHFG']"
1,68,0,1.0,0.9704017769489168,"['SFHF', 'HFHF', 'FFFF', 'FFHG']"
1,94,0,1.0,0.8127667407072335,"['SHFF', 'FFHH', 'HFHH', 'HFFG']"
1,90,0,1.0,0.9674905716180701,"['SFFF', 'HHHF', 'HFHF', 'HFHG']"
1,29,0,1.0,0.9616943356035061,"['SFFH', 'FHHF', 'FFFF', 'FFFG']"
1,88,0,1.0,0.9704017769489168,"['SHFH', 'FHHF', 'FFHF', 'FFFG']"
1,56,0,1.0,0.8502341582884777,"['SFHH', 'FFFF', 'HFHF', 'HHHG']"
1,55,0,1.0,0.9762504936564125,"['SFFF', 'HFFF', 'HFFF', 'HHHG']"
1,69,0,1.0,0.9704017769489168,"['SFFF', 'HHFF', 'FHHF', 'FFFG']"
1,61,0,1.0,0.8735386475474635,"['SHFH', 'FHFF', 'FFFF', 'HHHG']"
1,7,0,0.0,0.0,"['SFHH', 'HFFH', 'HFFF', 'HHFG']"
1,7,0,0.0,0.0,"['SHHF', 'FFFF', 'FHFF', 'HFHG']"
1,2,0,0.0,0.0,"['SFHH', 'FFFF', 'HFHF', 'HFFG']"
1,58,0,1.0,0.9791880578299021,"['SFFH', 'FFHH', 'HFFF', 'FFFG']"
1,80,0,1.0,0.9791880578299021,"['SFFF', 'HHFF', 'FHFF', 'FFFG']"
1,37,0,1.0,0.9821344612135428,"['SHHH', 'FFHH', 'FFHF', 'FFFG']"
1,97,0,1.0,0.985089730404757,"['SFFF', 'HHFF', 'FFFF', 'FHHG']"
1,8,0,0.0,0.0,"['SFHF', 'FFHF', 'HFHF', 'FFFG']"
1,99,0,1.0,0.9559328248389055,"['SFFF', 'HHFH', 'HFFF', 'FFFG']"
1,24,0,1.0,0.8054737627981655,"['SHFF', 'FFHF', 'FHFF', 'FFFG']"
1,6,0,0.0,0.0,"['SFHH', 'FFFF', 'FHHF', 'FHHG']"
1,82,0,1.0,0.9473552137914398,"['SFHF', 'HFFH', 'FFHH', 'HFFG']"
1,84,0,1.0,0.9674905716180701,"['SFFH', 'FHFF', 'FHHF', 'FFFG']"
1,9,0,0.0,0.0,"['SFFH', 'HFHH', 'FFFF', 'HHFG']"
1,100,0,1.0,0.9704017769489168,"['SFHH', 'FHHH', 'FFFF', 'FFFG']"
1,76,0,1.0,0.9645880999032158,"['SFFH', 'FFHF', 'FHFF', 'FFFG']"
1,48,0,1.0,0.9762504936564125,"['SHHH', 'FFHF', 'FFFF', 'HFFG']"
1,3,0,0.0,0.0,"['SHHH', 'FFFF', 'HFFF', 'FHHG']"
1,82,0,1.0,0.985089730404757,"['SFFH', 'FFFH', 'FFHF', 'FFFG']"
1,6,0,0.0,0.0,"['SHFF', 'FHHH', 'FFFF', 'FHHG']"
1,78,0,1.0,0.9588092525966956,"['SHFF', 'FHHH', 'FHFH', 'FFFG']"
1,45,0,1.0,0.9559328248389055,"['SHFH', 'FFHF', 'HFHH', 'FFFG']"
1,33,0,1.0,0.9530650263643888,"['SFFF', 'HHHF', 'FFHF', 'HFFG']"
1,66,0,1.0,0.9791880578299021,"['SFHH', 'HFFF', 'FFFF', 'HFHG']"
1,67,0,1.0,0.9001824484431542,"['SHFF', 'FFFF', 'HFHF', 'FHFG']"
1,42,0,1.0,0.7539540549517295,"['SHHH', 'FFHH', 'HFFF', 'HHFG']"
1,55,0,0.0,0.0,"['SHFF', 'FFFH', 'HFFH', 'FFFG']"
1,40,0,0.0,0.0,"['SHHH', 'FHHF', 'FFFH', 'HFFG']"
1,20,0,1.0,0.8814479033836181,"['SFFH', 'HFFH', 'HHFH', 'FHFG']"
1,48,0,1.0,0.985089730404757,"['SFFF', 'HHFF', 'HFFF', 'HFFG']"
1,6,0,0.0,0.0,"['SHFH', 'FFFH', 'HHFF', 'HHFG']"
1,20,0,1.0,0.9821344612135428,"['SHHH', 'FFFF', 'HFFF', 'FHFG']"
1,64,0,1.0,0.9733217421754432,"['SFFF', 'HHFH', 'HFFF', 'HFFG']"
1,66,0,1.0,0.9248559951318693,"['SFFH', 'FFFH', 'FFFH', 'FHFG']"
1,27,0,1.0,0.9791880578299021,"['SFFF', 'HHFF', 'HHFF', 'FHFG']"
1,45,0,1.0,0.9791880578299021,"['SFFF', 'FFFF', 'HHFF', 'HFHG']"
1,46,0,1.0,0.9616943356035061,"['SFFF', 'HFHH', 'HFFF', 'FHFG']"
1,24,0,1.0,0.8894287717672626,"['SFFF', 'FHFF', 'HFFH', 'FHFG']"
1,46,0,1.0,0.9762504936564125,"['SFHF', 'FHFH', 'FFHH', 'FFFG']"
1,7,0,0.0,0.0,"['SFHH', 'HFFH', 'HFFF', 'HFHG']"
1,51,0,0.0,0.0,"['SFHH', 'FHFF', 'FFFH', 'FHFG']"
1,36,0,0.0,0.0,"['SHHH', 'FFFF', 'HHFH', 'FFFG']"
1,95,0,1.0,0.9821344612135428,"['SFHF', 'FHHF', 'FFFF', 'FFFG']"
1,88,0,1.0,0.985089730404757,"['SFHH', 'FFHH', 'FFFH', 'FFFG']"
1,33,0,0.0,0.0,"['SHHH', 'FFHH', 'HFFF', 'HHFG']"
1,47,0,1.0,0.9791880578299021,"['SFFF', 'HFFF', 'HHFF', 'FFHG']"
1,8,0,1.0,0.803057341509771,"['SFFF', 'HFHF', 'HHFF', 'FHHG']"
1,31,0,0.0,0.0,"['SHHF', 'FFFH', 'HHFH', 'FFFG']"
1,89,0,1.0,0.9332298921513504,"['SFFH', 'FHFF', 'HHFH', 'HHFG']"
1,75,0,1.0,0.9674905716180701,"['SFFH', 'FFHF', 'FFFF', 'HHHG']"
1,68,0,1.0,0.9332298921513504,"['SFFF', 'FHFF', 'HHFH', 'HFFG']"
1,98,0,1.0,0.9821344612135428,"['SFFH', 'HHFF', 'FFFF', 'FFFG']"
1,37,0,1.0,0.9791880578299021,"['SHFH', 'FHFF', 'FFFH', 'FFFG']"
1,48,0,1.0,0.9473552137914398,"['SFFF', 'HHFF', 'FHFH', 'FHFG']"
1,16,0,1.0,0.90289112180858,"['SFFF', 'HFHF', 'FHHF', 'HHFG']"
1,81,0,1.0,0.9704017769489168,"['SFFF', 'FFHF', 'HFFF', 'FFFG']"
1,62,0,1.0,0.9220814271464737,"['SFFF', 'HFHH', 'FFHH', 'HFFG']"
1,95,0,1.0,0.9733217421754432,"['SFFH', 'FFFH', 'HFFF', 'FHHG']"
1,78,0,1.0,0.9001824484431542,"['SHHF', 'FFFF', 'FFHF', 'FHFG']"
1,9,0,0.0,0.0,"['SHHF', 'FFFH', 'HHFF', 'HFHG']"
1,36,0,1.0,0.9193151828650342,"['SFHF', 'FFFF', 'FHHH', 'FFFG']"
1,24,0,1.0,0.8974819010978248,"['SHFF', 'FFFF', 'HFFF', 'HFHG']"
1,63,0,1.0,0.9674905716180701,"['SFFH', 'HHFF', 'HFHF', 'FFFG']"
1,95,0,1.0,0.9645880999032158,"['SHFH', 'FFFH', 'HFFH', 'FFFG']"
1,63,0,1.0,0.9530650263643888,"['SFFF', 'FFHF', 'FFHF', 'HHHG']"
1,56,0,1.0,0.9733217421754432,"['SFFH', 'FFFF', 'HHFF', 'HFHG']"
1,42,0,1.0,0.985089730404757,"['SHHF', 'FFFF', 'FFFF', 'HFFG']"
1,99,0,1.0,0.9791880578299021,"['SFFH', 'HFFF', 'HHFF', 'HHHG']"
1,83,0,1.0,0.9733217421754432,"['SFFF', 'HFFH', 'HHFH', 'HHFG']"
1,29,0,1.0,0.9304302024748964,"['SFHF', 'FHFF', 'FHFF', 'FFFG']"
1,90,0,1.0,0.9473552137914398,"['SHHF', 'FFFF', 'FHFH', 'FFFG']"
1,51,0,1.0,0.9791880578299021,"['SFFH', 'FFFF', 'HFHF', 'HFFG']"
1,3,0,0.0,0.0,"['SFFH', 'HFHF', 'FFFF', 'FFHG']"
1,54,0,1.0,0.9791880578299021,"['SFHF', 'FFHH', 'HFHH', 'HFFG']"
1,45,0,1.0,0.9001824484431542,"['SFHF', 'FFHH', 'HFFH', 'FHFG']"
1,44,0,1.0,0.9616943356035061,"['SHHF', 'FFFF', 'FHHF', 'HHFG']"
1,91,0,1.0,0.9248559951318693,"['SFHH', 'FFFH', 'FHFF', 'FHFG']"
1,64,0,1.0,0.7539540549517295,"['SFHH', 'FHHH', 'FFFF', 'HHHG']"
1,32,0,1.0,0.9530650263643888,"['SFHF', 'FFFF', 'HFFH', 'HHFG']"
1,43,0,0.0,0.0,"['SHFF', 'FFFH', 'HFFF', 'HHHG']"
1,69,0,1.0,0.9733217421754432,"['SHFF', 'FHHF', 'FFFH', 'FFFG']"
1,10,0,0.0,0.0,"['SHFH', 'FHFH', 'FFFF', 'FHFG']"
1,37,0,1.0,0.9645880999032158,"['SFFF', 'HHFF', 'FFHF', 'HHHG']"
1,39,0,1.0,0.9733217421754432,"['SHFF', 'FFFF', 'FFHF', 'FFFG']"
1,22,0,1.0,0.9559328248389055,"['SFFF', 'HHFF', 'HFHF', 'HHFG']"
1,80,0,1.0,0.9388545698794984,"['SFFH', 'HFFF', 'HHHF', 'FFHG']"
1,58,0,1.0,0.8275513922024125,"['SFFH', 'HFHF', 'FFHF', 'FFFG']"
1,27,0,1.0,0.9791880578299021,"['SFFF', 'FFFF', 'FHHF', 'FHHG']"
