Temperature,Simulations,Return,Discounted Return,Map
1,18,0,1.0,0.9762504936564125,"['SFFF', 'HHFH', 'FFFF', 'HFFG']"
1,10,0,0.0,0.0,"['SHHH', 'FHHF', 'FHFF', 'FFFG']"
1,68,0,1.0,0.985089730404757,"['SFHH', 'FFHF', 'FFFH', 'FHFG']"
1,100,0,1.0,0.9616943356035061,"['SHFF', 'FFFF', 'FFHF', 'FHFG']"
1,45,0,0.0,0.0,"['SFFH', 'FHFH', 'FHHF', 'FFFG']"
1,48,0,1.0,0.9332298921513504,"['SHFH', 'FHFH', 'FFFF', 'HFFG']"
1,13,0,1.0,0.9791880578299021,"['SFFF', 'HHFF', 'FFFF', 'HFFG']"
1,85,0,1.0,0.9791880578299021,"['SHHH', 'FFFH', 'FFFH', 'FHFG']"
1,37,0,0.0,0.0,"['SHFF', 'FFFH', 'HFFF', 'FFHG']"
1,3,0,0.0,0.0,"['SHHH', 'FFFF', 'FFHF', 'HHFG']"
1,50,0,1.0,0.9616943356035061,"['SFFF', 'HHFH', 'HHFF', 'HFFG']"
1,54,0,1.0,0.9791880578299021,"['SFFF', 'FFFH', 'FHHF', 'FFFG']"
1,33,0,1.0,0.985089730404757,"['SFFH', 'FFFF', 'HFFF', 'FHFG']"
1,12,0,0.0,0.0,"['SHHF', 'FFHF', 'FFFF', 'FHFG']"
1,74,0,1.0,0.985089730404757,"['SFFF', 'HFFF', 'HHFF', 'HFFG']"
1,2,0,0.0,0.0,"['SFFF', 'HFHH', 'FFFF', 'HHFG']"
1,31,0,0.0,0.0,"['SHHF', 'FFHH', 'FFFF', 'HFHG']"
1,54,0,1.0,0.9762504936564125,"['SHHF', 'FFFF', 'FFFF', 'HHFG']"
1,69,0,1.0,0.9645880999032158,"['SHFF', 'FFFH', 'HHFF', 'FHFG']"
1,50,0,1.0,0.9473552137914398,"['SHFF', 'FHHF', 'FFHF', 'FFFG']"
1,69,0,0.0,0.0,"['SHFH', 'FFHH', 'FFFH', 'HFFG']"
1,86,0,1.0,0.9502058312852957,"['SFFF', 'FHFH', 'FFFF', 'FFHG']"
1,39,0,1.0,0.9704017769489168,"['SFHH', 'FFFH', 'FFFH', 'FHFG']"
1,75,0,1.0,0.9733217421754432,"['SFFF', 'HHHF', 'HFHF', 'HHHG']"
1,40,0,1.0,0.9001824484431542,"['SHFF', 'FFHF', 'HFFF', 'FFFG']"
1,17,0,0.0,0.0,"['SHFF', 'FFHH', 'FFHF', 'FFFG']"
1,35,0,0.0,0.0,"['SFHH', 'FFFH', 'HFFH', 'FHFG']"
1,66,0,1.0,0.985089730404757,"['SFFF', 'HFFF', 'FFFF', 'HHHG']"
1,97,0,1.0,0.9704017769489168,"['SHHH', 'FFFH', 'FHFH', 'FFFG']"
1,57,0,1.0,0.8867604854519608,"['SFHH', 'FFFH', 'FHFF', 'HHFG']"
1,89,0,0.0,0.0,"['SHHH', 'FFFF', 'HFHF', 'FHFG']"
1,2,0,0.0,0.0,"['SFHH', 'FFFF', 'HHFF', 'FHHG']"
1,79,0,1.0,0.9762504936564125,"['SFHF', 'HFFF', 'FFFF', 'HFHG']"
1,15,0,0.0,0.0,"['SHFH', 'FHFH', 'FFFH', 'FHFG']"
1,57,0,1.0,0.985089730404757,"['SFFF', 'HHFF', 'HFFF', 'HHHG']"
1,46,0,1.0,0.9220814271464737,"['SFHH', 'HFFH', 'FFFF', 'HFHG']"
1,84,0,1.0,0.8683052775100066,"['SHFF', 'FFHF', 'HFFH', 'FHFG']"
1,89,0,1.0,0.985089730404757,"['SHFH', 'FFHH', 'FFFF', 'FHHG']"
1,63,0,1.0,0.884100203995605,"['SHHF', 'FFHH', 'HFFH', 'HFFG']"
1,64,0,1.0,0.9001824484431542,"['SHFH', 'FFFH', 'FFFH', 'FHFG']"
1,76,0,0.0,0.0,"['SFHF', 'HFFF', 'FHFH', 'HFFG']"
1,31,0,1.0,0.9445131481500655,"['SFFF', 'FFHH', 'FFFF', 'HHFG']"
1,92,0,1.0,0.9791880578299021,"['SHFF', 'FHFH', 'FFFF', 'FFFG']"
1,83,0,1.0,0.7494371162085136,"['SHHH', 'FHFF', 'FFHH', 'HFFG']"
1,78,0,1.0,0.9445131481500655,"['SFFF', 'FHFH', 'HFFH', 'HHFG']"
1,35,0,1.0,0.9821344612135428,"['SFFF', 'HHFF', 'HFHF', 'HFHG']"
1,69,0,1.0,0.9762504936564125,"['SFFH', 'FFHH', 'FFFH', 'FFFG']"
1,50,0,0.0,0.0,"['SHHF', 'FFHF', 'HFHH', 'FFFG']"
1,70,0,1.0,0.9674905716180701,"['SFFH', 'FFHF', 'FFFF', 'FHFG']"
1,80,0,1.0,0.9674905716180701,"['SHFH', 'FFHH', 'FFFF', 'FHFG']"
1,95,0,1.0,0.9821344612135428,"['SFHF', 'FFFF', 'FHFF', 'FFHG']"
1,38,0,1.0,0.9416796087056153,"['SFFF', 'FFFH', 'HFHH', 'HFFG']"
1,84,0,1.0,0.8476834558136123,"['SFFF', 'HFHH', 'HFFF', 'FFHG']"
1,18,0,0.0,0.0,"['SHHH', 'FHHF', 'FFHH', 'FFFG']"
