Temperature,Simulations,Return,Discounted Return,Map
1,48,0,1.0,0.93603800616986,"['SFFF', 'HHFH', 'HHFF', 'HFHG']"
1,41,0,1.0,0.8974819010978248,"['SHHF', 'FHHH', 'FFFH', 'HFFG']"
1,64,0,1.0,0.8201257512162927,"['SHHF', 'FHFF', 'FFHH', 'HFFG']"
1,55,0,1.0,0.9645880999032158,"['SFHH', 'FFFF', 'FFFH', 'HFFG']"
1,20,0,1.0,0.93603800616986,"['SHFF', 'FFFF', 'HFFF', 'HFHG']"
1,96,0,1.0,0.8788035596734672,"['SHHF', 'FFHF', 'HFFF', 'FHFG']"
1,73,0,1.0,0.9248559951318693,"['SFFF', 'FHHF', 'FHFF', 'HHFG']"
1,50,0,1.0,0.8709180316048211,"['SFHH', 'HFFF', 'FHHF', 'FFHG']"
1,45,0,1.0,0.8451404054461714,"['SHHF', 'FFFF', 'HHHF', 'HHFG']"
1,45,0,1.0,0.985089730404757,"['SFFF', 'FFFF', 'FHHF', 'HHFG']"
1,85,0,1.0,0.985089730404757,"['SFFF', 'FHFH', 'FFFF', 'HFFG']"
1,28,0,1.0,0.9645880999032158,"['SFFH', 'HFFF', 'FFHH', 'FFFG']"
1,3,0,0.0,0.0,"['SFHH', 'HFFF', 'HFHF', 'FFFG']"
1,76,0,1.0,0.93603800616986,"['SFFF', 'FHHF', 'FHFF', 'FHHG']"
1,91,0,1.0,0.9791880578299021,"['SFFH', 'HHFF', 'HFFF', 'FFFG']"
1,81,0,1.0,0.9559328248389055,"['SFHF', 'HFFF', 'HHFF', 'FHFG']"
1,61,0,1.0,0.9588092525966956,"['SFFF', 'FHFH', 'FHFH', 'HFFG']"
1,30,0,1.0,0.9248559951318693,"['SFFH', 'HHFF', 'FHFH', 'HFFG']"
1,45,0,1.0,0.985089730404757,"['SFFH', 'HFFH', 'HHFF', 'FFFG']"
1,90,0,1.0,0.9733217421754432,"['SFFF', 'HFHF', 'HFHF', 'HHFG']"
1,74,0,1.0,0.9304302024748964,"['SFFH', 'FHFF', 'HFHF', 'HHFG']"
1,27,0,0.0,0.0,"['SFFF', 'FHHH', 'FFFF', 'FFHG']"
1,57,0,1.0,0.9821344612135428,"['SHFF', 'FFFH', 'FFFF', 'FHFG']"
1,67,0,1.0,0.9821344612135428,"['SFFH', 'FFHF', 'FFFF', 'FFFG']"
1,62,0,0.0,0.0,"['SHFH', 'FFHF', 'HFFF', 'FHFG']"
1,33,0,1.0,0.9416796087056153,"['SHHF', 'FFHF', 'FFFF', 'FHFG']"
1,48,0,1.0,0.8894287717672626,"['SFFH', 'HHFF', 'FFHF', 'HHFG']"
1,6,0,0.0,0.0,"['SFHH', 'HFFF', 'HHFF', 'HHFG']"
1,40,0,1.0,0.8788035596734672,"['SFFH', 'FFFH', 'HHFH', 'FFFG']"
1,68,0,1.0,0.90289112180858,"['SFFH', 'FFHH', 'FHFH', 'FFFG']"
