Temperature,Simulations,Return,Discounted Return,Map
1,73,0,1.0,0.9791880578299021,"['SFFF', 'HFHF', 'FFFF', 'HHFG']"
1,90,0,0.0,0.0,"['SFHH', 'FHHF', 'FFFF', 'HFHG']"
1,71,0,1.0,0.9530650263643888,"['SFHH', 'FHHF', 'FFHF', 'FFFG']"
1,65,0,1.0,0.9674905716180701,"['SFFH', 'HFHF', 'FFFF', 'HFFG']"
1,22,0,1.0,0.9674905716180701,"['SFFF', 'HHHF', 'HFHF', 'FHHG']"
1,47,0,1.0,0.8921050870283477,"['SHHH', 'FFFF', 'HHFF', 'FFHG']"
1,86,0,1.0,0.9588092525966956,"['SFHH', 'HFHF', 'FFFF', 'FFHG']"
1,26,0,1.0,0.9733217421754432,"['SFFH', 'FFFF', 'FHFF', 'HHFG']"
1,17,0,1.0,0.9704017769489168,"['SHFF', 'FFFF', 'FHFF', 'FFFG']"
1,82,0,1.0,0.9588092525966956,"['SFHF', 'FFFH', 'HHFH', 'HFFG']"
1,17,0,1.0,0.8947894553945313,"['SHHH', 'FFFF', 'FFFF', 'FFHG']"
1,64,0,1.0,0.9645880999032158,"['SFFH', 'FFFF', 'HHHF', 'FHHG']"
1,2,0,0.0,0.0,"['SFFH', 'HHFH', 'FFFH', 'FHFG']"
1,42,0,1.0,0.985089730404757,"['SFFF', 'HHHF', 'FHFF', 'HFHG']"
1,25,0,0.0,0.0,"['SFHF', 'FFHH', 'FHHF', 'FFFG']"
1,19,0,0.0,0.0,"['SHHH', 'FFFF', 'FFHF', 'HFFG']"
1,22,0,0.0,0.0,"['SFHF', 'FFFH', 'HHFH', 'FHFG']"
1,36,0,1.0,0.9821344612135428,"['SFFF', 'FFFF', 'FFHF', 'HFFG']"
1,78,0,1.0,0.9704017769489168,"['SFHH', 'HFFF', 'FHFF', 'HFHG']"
1,77,0,1.0,0.985089730404757,"['SHFH', 'FHHF', 'FFHF', 'FFFG']"
1,88,0,1.0,0.9791880578299021,"['SFFF', 'FFHF', 'HFFH', 'FFFG']"
1,34,0,0.0,0.0,"['SHHF', 'FHFH', 'FFFH', 'FHFG']"
1,63,0,1.0,0.9248559951318693,"['SFFH', 'FHFF', 'FFHF', 'HFFG']"
1,100,0,1.0,0.9559328248389055,"['SFFF', 'HHFH', 'FHFF', 'FFFG']"
1,72,0,1.0,0.9138075656044898,"['SHFH', 'FFFF', 'HFHF', 'HFHG']"
1,60,0,1.0,0.8814479033836181,"['SFFH', 'FHFF', 'FHHF', 'FHHG']"
1,50,0,1.0,0.90289112180858,"['SFHF', 'HFFF', 'HHFF', 'FFFG']"
1,45,0,0.0,0.0,"['SHHF', 'FFFF', 'HHHF', 'FFFG']"
1,6,0,0.0,0.0,"['SFHH', 'FHHH', 'FFFH', 'HFFG']"
1,35,0,0.0,0.0,"['SHFF', 'FFHF', 'HFFF', 'FHHG']"
1,48,0,1.0,0.9704017769489168,"['SFFF', 'FHFF', 'FHHF', 'HFHG']"
1,1,0,0.0,0.0,"['SFHF', 'FFFH', 'HHFF', 'FHFG']"
1,22,0,0.0,0.0,"['SHFF', 'FFHH', 'FFHF', 'FFFG']"
1,57,0,1.0,0.9616943356035061,"['SFFH', 'FFFF', 'HFFF', 'HFFG']"
1,81,0,1.0,0.9733217421754432,"['SFFF', 'HHFH', 'FHFF', 'HFFG']"
1,49,0,0.0,0.0,"['SHHF', 'FFFH', 'FHFF', 'FFHG']"
1,21,0,1.0,0.9332298921513504,"['SFFH', 'FFFF', 'FHHF', 'FFFG']"
1,65,0,1.0,0.9791880578299021,"['SFFF', 'HFHF', 'HFHF', 'HHHG']"
1,28,0,0.0,0.0,"['SFHH', 'FFFF', 'FHFH', 'FFFG']"
1,92,0,1.0,0.9704017769489168,"['SHFH', 'FHHF', 'FFFF', 'FHFG']"
1,55,0,1.0,0.9165572373164391,"['SFHH', 'FHHH', 'FFFF', 'FHHG']"
1,51,0,1.0,0.9791880578299021,"['SFFH', 'FFFH', 'FFFF', 'FHFG']"
1,84,0,1.0,0.9588092525966956,"['SFFH', 'FFHH', 'FFFF', 'HHFG']"
1,58,0,0.0,0.0,"['SFHF', 'HFHH', 'FFFF', 'HFHG']"
1,86,0,1.0,0.985089730404757,"['SFFH', 'HFFH', 'FHFH', 'FHFG']"
1,94,0,1.0,0.9762504936564125,"['SHHH', 'FFFH', 'FFFH', 'FFFG']"
1,11,0,0.0,0.0,"['SHHH', 'FFHF', 'HFFF', 'HFFG']"
1,83,0,1.0,0.9733217421754432,"['SFHH', 'FFHH', 'FFFF', 'HHFG']"
1,12,0,1.0,0.9220814271464737,"['SFFF', 'HFHH', 'FFFF', 'HFFG']"
1,68,0,1.0,0.9674905716180701,"['SHHH', 'FFHH', 'FFFF', 'HHFG']"
1,46,0,1.0,0.9821344612135428,"['SHHH', 'FHFH', 'FFFF', 'HFFG']"
1,94,0,0.0,0.0,"['SHFH', 'FFHH', 'FHFH', 'FFFG']"
1,48,0,1.0,0.9762504936564125,"['SFFH', 'FFFF', 'HFFF', 'FHFG']"
1,56,0,1.0,0.9674905716180701,"['SFFH', 'HFHF', 'FFFF', 'FHFG']"
1,87,0,1.0,0.9791880578299021,"['SFHF', 'FFFH', 'HFFF', 'HHFG']"
1,29,0,1.0,0.9762504936564125,"['SHFF', 'FFHH', 'FFFF', 'FFFG']"
1,48,0,0.0,0.0,"['SHHH', 'FFHF', 'HFFH', 'HHFG']"
1,43,0,1.0,0.9791880578299021,"['SFHH', 'HFHH', 'FFFF', 'FFFG']"
1,60,0,1.0,0.9791880578299021,"['SFHH', 'HFFF', 'HHFF', 'HHFG']"
1,41,0,0.0,0.0,"['SHFH', 'FFHH', 'HFFF', 'HFHG']"
1,42,0,1.0,0.7746195551602378,"['SHFF', 'FFFH', 'FHFF', 'HFFG']"
1,60,0,1.0,0.9674905716180701,"['SFHH', 'FFHF', 'FFFF', 'FFFG']"
1,35,0,1.0,0.9276389118674717,"['SFHH', 'HFHF', 'FFFH', 'FHFG']"
1,97,0,1.0,0.9616943356035061,"['SFFF', 'FFFH', 'FFFF', 'HFHG']"
1,46,0,0.0,0.0,"['SHHH', 'FFFH', 'HHFH', 'HHFG']"
1,87,0,1.0,0.985089730404757,"['SFFH', 'FHFF', 'FFFF', 'FFHG']"
1,31,0,1.0,0.8814479033836181,"['SFFH', 'HFHF', 'FFHH', 'FFFG']"
1,97,0,1.0,0.9645880999032158,"['SFHF', 'FFFF', 'FHHF', 'FHHG']"
1,59,0,0.0,0.0,"['SHFH', 'FFHF', 'HFFF', 'HFHG']"
1,93,0,1.0,0.9821344612135428,"['SHHH', 'FFFH', 'FFFH', 'HFFG']"
1,58,0,1.0,0.9645880999032158,"['SFFH', 'FFFF', 'HHHF', 'HHHG']"
1,39,0,1.0,0.9416796087056153,"['SFFH', 'FFFF', 'HHHF', 'HFFG']"
1,39,0,1.0,0.9445131481500655,"['SFFH', 'HHFF', 'FHFF', 'FFFG']"
1,41,0,1.0,0.9588092525966956,"['SHFH', 'FFFF', 'FFFF', 'FFHG']"
1,73,0,1.0,0.9276389118674717,"['SHHF', 'FHHH', 'FFFF', 'FHFG']"
1,25,0,1.0,0.9674905716180701,"['SFFH', 'HFFF', 'FFFF', 'HHFG']"
1,91,0,1.0,0.9704017769489168,"['SFFH', 'FHFH', 'HHFH', 'FHFG']"
