Temperature,Simulations,Return,Discounted Return,Map
1,68,0,1.0,0.9416796087056153,"['SFFF', 'HHHF', 'HFHF', 'FHFG']"
1,14,0,0.0,0.0,"['SHHH', 'FFFF', 'FHFF', 'HFHG']"
1,5,0,0.0,0.0,"['SFFH', 'FFFF', 'HHHF', 'HHHG']"
1,13,0,0.0,0.0,"['SFFH', 'FHFH', 'FFFF', 'HHHG']"
1,76,0,1.0,0.9733217421754432,"['SHFH', 'FFFH', 'HFFF', 'HHFG']"
1,41,0,1.0,0.9733217421754432,"['SFFF', 'HHFF', 'HHFF', 'FFFG']"
1,33,0,1.0,0.9616943356035061,"['SFHF', 'FHHF', 'FHHH', 'FFFG']"
1,7,0,0.0,0.0,"['SHFH', 'FFFF', 'HHHF', 'FHFG']"
1,88,0,1.0,0.9588092525966956,"['SFFH', 'HFHH', 'FFHH', 'FFFG']"
1,55,0,1.0,0.9530650263643888,"['SFHH', 'HFHF', 'HFFF', 'FHFG']"
1,22,0,1.0,0.9645880999032158,"['SFFF', 'FHFF', 'FFFF', 'HHHG']"
1,84,0,1.0,0.9733217421754432,"['SFFF', 'HFHF', 'FFFF', 'FFHG']"
1,27,0,1.0,0.9530650263643888,"['SFFF', 'FFHF', 'FFHF', 'HHHG']"
1,11,0,1.0,0.93603800616986,"['SFFF', 'FHFF', 'FFFF', 'FHFG']"
1,17,0,0.0,0.0,"['SFFH', 'FFHF', 'HFFH', 'FFFG']"
1,65,0,1.0,0.8735386475474635,"['SHFH', 'FFFF', 'FHHF', 'HHHG']"
1,53,0,1.0,0.985089730404757,"['SFFH', 'FFHF', 'HFFF', 'HFFG']"
1,42,0,0.0,0.0,"['SHHF', 'FHFF', 'FFFF', 'HFHG']"
1,12,0,1.0,0.9001824484431542,"['SFHF', 'FFHH', 'FFFH', 'HFFG']"
1,32,0,1.0,0.9704017769489168,"['SFFH', 'HFFH', 'FFFH', 'FHFG']"
1,21,0,1.0,0.9588092525966956,"['SFFF', 'FHFF', 'FFHF', 'HHFG']"
1,67,0,1.0,0.9791880578299021,"['SFFF', 'FHFF', 'HFHF', 'HHHG']"
1,50,0,1.0,0.9416796087056153,"['SHHF', 'FFHF', 'HFFF', 'HFFG']"
1,1,0,0.0,0.0,"['SFFF', 'FHFF', 'FFFH', 'FFFG']"
1,72,0,1.0,0.9616943356035061,"['SFFH', 'FFFH', 'HHFF', 'FHHG']"
1,74,0,0.0,0.0,"['SHHH', 'FFHH', 'HFHH', 'FFFG']"
1,75,0,1.0,0.9733217421754432,"['SFFF', 'HFHH', 'HFFF', 'FFFG']"
1,74,0,1.0,0.9704017769489168,"['SFHH', 'HFFH', 'HFFH', 'FHFG']"
1,19,0,1.0,0.8275513922024125,"['SFHF', 'FHHH', 'FFHH', 'FFFG']"
1,57,0,1.0,0.9645880999032158,"['SHFF', 'FFHH', 'HFFF', 'FFFG']"
1,80,0,1.0,0.9821344612135428,"['SFFH', 'HHFF', 'FFFF', 'HFHG']"
1,4,0,0.0,0.0,"['SFHF', 'HFHH', 'FFHF', 'HFFG']"
1,47,0,1.0,0.9473552137914398,"['SFFH', 'HHFH', 'FHFH', 'HHFG']"
1,62,0,1.0,0.884100203995605,"['SHHH', 'FHHF', 'FFFF', 'HHFG']"
1,94,0,1.0,0.9821344612135428,"['SFFF', 'FFFF', 'HFHF', 'HFHG']"
1,27,0,0.0,0.0,"['SFHH', 'FFFH', 'HFFH', 'HHFG']"
1,25,0,1.0,0.9530650263643888,"['SFFH', 'FFFH', 'HHFF', 'HHFG']"
1,32,0,0.0,0.0,"['SHHH', 'FFFF', 'HHFH', 'FHFG']"
1,52,0,1.0,0.9733217421754432,"['SFFF', 'FHHF', 'HHFF', 'HFHG']"
1,8,0,0.0,0.0,"['SFHH', 'HFHH', 'HFFH', 'HHFG']"
1,73,0,1.0,0.9821344612135428,"['SHHH', 'FHFH', 'FHFH', 'FFFG']"
1,65,0,1.0,0.9645880999032158,"['SFHH', 'FHHF', 'FHHH', 'FFFG']"
1,15,0,0.0,0.0,"['SFHH', 'FFFF', 'HHFF', 'HFHG']"
1,37,0,0.0,0.0,"['SHFF', 'FFFH', 'HHFF', 'HFHG']"
1,37,0,1.0,0.9530650263643888,"['SFFF', 'HFFH', 'HFFH', 'HHFG']"
1,100,0,0.0,0.0,"['SHFH', 'FFHH', 'HFFF', 'HFHG']"
1,61,0,0.0,0.0,"['SHFF', 'FFHF', 'HFFH', 'FHFG']"
1,34,0,1.0,0.8275513922024125,"['SFFF', 'FFFF', 'HFFH', 'HHFG']"
1,1,0,0.0,0.0,"['SFFF', 'FFFF', 'FFHF', 'FHFG']"
1,17,0,0.0,0.0,"['SFHH', 'FHFH', 'FFHF', 'HFFG']"
1,97,0,1.0,0.9416796087056153,"['SFFH', 'FFFH', 'HHFH', 'HHFG']"
1,5,0,0.0,0.0,"['SHFF', 'FFHH', 'FHHH', 'FFFG']"
1,86,0,1.0,0.9502058312852957,"['SFFF', 'FHFH', 'HFFF', 'FFFG']"
1,49,0,1.0,0.9388545698794984,"['SHHH', 'FHFF', 'FFFH', 'HHFG']"
1,82,0,1.0,0.9704017769489168,"['SFFH', 'HHFF', 'HFHF', 'FFHG']"
1,87,0,1.0,0.985089730404757,"['SHHF', 'FFHF', 'FFFF', 'FHFG']"
1,59,0,1.0,0.9733217421754432,"['SFHH', 'FFFF', 'FHFH', 'FFFG']"
1,49,0,1.0,0.9645880999032158,"['SFHF', 'FFHH', 'FFHF', 'HFFG']"
1,99,0,1.0,0.8814479033836181,"['SHFF', 'FHFH', 'FFFF', 'FHHG']"
1,86,0,1.0,0.90289112180858,"['SHFF', 'FFFF', 'HFHF', 'FFHG']"
1,71,0,0.0,0.0,"['SHFH', 'FFFH', 'FHFF', 'HHHG']"
1,74,0,1.0,0.9559328248389055,"['SFHF', 'FFFF', 'FFFH', 'HHFG']"
1,6,0,1.0,0.8974819010978248,"['SFFH', 'HFFF', 'FHFF', 'FFHG']"
1,94,0,1.0,0.985089730404757,"['SHFF', 'FHFH', 'FFFF', 'FFHG']"
1,3,0,0.0,0.0,"['SHHH', 'FHHF', 'FFFF', 'HHHG']"
1,92,0,1.0,0.9138075656044898,"['SFFF', 'HHFH', 'HHFF', 'FHHG']"
1,51,0,1.0,0.9733217421754432,"['SHHH', 'FFFF', 'FFFF', 'HHFG']"
1,49,0,0.0,0.0,"['SHFH', 'FFFH', 'HFHF', 'HFFG']"
1,58,0,1.0,0.8761671489944468,"['SFHF', 'FFHF', 'FFFF', 'HFHG']"
1,94,0,1.0,0.985089730404757,"['SFFF', 'FHFH', 'HHFF', 'FHFG']"
1,39,0,1.0,0.9248559951318693,"['SFFF', 'HHHF', 'FFHF', 'HFFG']"
1,90,0,1.0,0.9473552137914398,"['SFFF', 'FFFF', 'FFHF', 'FFHG']"
1,98,0,1.0,0.9791880578299021,"['SFFF', 'FHFF', 'HHFF', 'HFHG']"
1,92,0,1.0,0.9588092525966956,"['SFFF', 'HHFF', 'HFFF', 'HFHG']"
1,43,0,1.0,0.8894287717672626,"['SFFH', 'FHFH', 'FFFF', 'HHFG']"
