Temperature,Simulations,Return,Discounted Return,Map
1,72,0,1.0,0.9733217421754432,"['SFFF', 'FHHF', 'HHHF', 'FHFG']"
1,31,0,1.0,0.985089730404757,"['SFFH', 'FFHH', 'FHHH', 'FFFG']"
1,37,0,1.0,0.8553586117313603,"['SFFH', 'HFFF', 'HFHF', 'FHHG']"
1,55,0,1.0,0.9704017769489168,"['SFFF', 'HFFF', 'FFFH', 'HFFG']"
1,7,0,0.0,0.0,"['SFFH', 'HHFH', 'FFFF', 'FFHG']"
1,46,0,0.0,0.0,"['SHFH', 'FFFF', 'HHFH', 'HHFG']"
1,68,0,1.0,0.9791880578299021,"['SFHF', 'FFFF', 'FFFF', 'HHHG']"
1,47,0,1.0,0.9704017769489168,"['SFFH', 'FFFF', 'HHFF', 'HHHG']"
1,41,0,0.0,0.0,"['SHHF', 'FHHH', 'FFFH', 'HHFG']"
1,32,0,1.0,0.9473552137914398,"['SFFH', 'FHFF', 'FHHF', 'HHHG']"
1,42,0,1.0,0.9110661429076764,"['SFHH', 'FHHH', 'FFHH', 'FFFG']"
1,84,0,1.0,0.9473552137914398,"['SFFH', 'FHFH', 'HHFF', 'HFFG']"
1,22,0,0.0,0.0,"['SFHF', 'HFFF', 'HHHF', 'FHHG']"
1,79,0,1.0,0.9645880999032158,"['SHFH', 'FHFH', 'FHFH', 'FFFG']"
1,17,0,0.0,0.0,"['SHFH', 'FFHF', 'HFFF', 'HHHG']"
1,3,0,0.0,0.0,"['SFHH', 'HFFH', 'FFFF', 'HFFG']"
1,78,0,1.0,0.985089730404757,"['SFFF', 'FFFF', 'FFHF', 'FFHG']"
1,54,0,1.0,0.9588092525966956,"['SHHF', 'FHHH', 'FHHF', 'FFFG']"
1,7,0,1.0,0.9165572373164391,"['SFFF', 'HHFF', 'FHHF', 'FHHG']"
1,78,0,1.0,0.9762504936564125,"['SFFH', 'FHFF', 'FFHF', 'FHHG']"
1,66,0,1.0,0.9733217421754432,"['SFFF', 'FFFF', 'FHFH', 'FHFG']"
1,18,0,0.0,0.0,"['SFHH', 'HFHH', 'HFHH', 'FFFG']"
1,12,0,0.0,0.0,"['SHHF', 'FHFH', 'FFFF', 'FFHG']"
1,71,0,1.0,0.985089730404757,"['SFFF', 'FFHF', 'FHFH', 'FFFG']"
