Temperature,Simulations,Return,Discounted Return,Map
1,96,0,1.0,0.9388545698794984,"['SFHF', 'FFFF', 'FHHF', 'HHFG']"
1,79,0,0.0,0.0,"['SHHF', 'FFFF', 'HFHF', 'HHHG']"
1,1,0,0.0,0.0,"['SFHH', 'HFHF', 'FFFF', 'HHHG']"
1,94,0,1.0,0.9762504936564125,"['SFFH', 'FHFF', 'HFHF', 'HFHG']"
1,61,0,1.0,0.9762504936564125,"['SHHF', 'FFFF', 'HHHF', 'HHFG']"
1,53,0,1.0,0.9674905716180701,"['SFHF', 'FFFF', 'HHFF', 'FHHG']"
1,50,0,1.0,0.9559328248389055,"['SFFH', 'FHFH', 'FHFF', 'HHFG']"
1,63,0,1.0,0.9559328248389055,"['SFFF', 'HFHF', 'FFHF', 'FHFG']"
1,1,0,0.0,0.0,"['SHFH', 'FFFH', 'FHFH', 'FHFG']"
1,43,0,1.0,0.9530650263643888,"['SFFH', 'FFFH', 'FFFH', 'FFFG']"
1,67,0,1.0,0.8761671489944468,"['SFFF', 'FHFH', 'HHFF', 'HHHG']"
1,60,0,0.0,0.0,"['SFFH', 'FHHH', 'FFHH', 'HFFG']"
1,48,0,1.0,0.9704017769489168,"['SFFH', 'HFFF', 'HHFF', 'HHHG']"
1,95,0,1.0,0.9762504936564125,"['SFHF', 'FFHH', 'HFFF', 'FHHG']"
1,1,0,0.0,0.0,"['SHFH', 'FHFH', 'FHHH', 'FFFG']"
1,45,0,1.0,0.9733217421754432,"['SFFH', 'FFFF', 'HFFF', 'HHHG']"
1,91,0,1.0,0.9416796087056153,"['SFFF', 'FHHH', 'FFFH', 'FHFG']"
1,30,0,1.0,0.9588092525966956,"['SFFH', 'FFFF', 'FFHF', 'FHHG']"
1,72,0,1.0,0.9791880578299021,"['SHHH', 'FFHF', 'FHHH', 'FFFG']"
1,53,0,0.0,0.0,"['SHFH', 'FFHF', 'HFFF', 'HFHG']"
1,25,0,0.0,0.0,"['SHFF', 'FFHF', 'FFHF', 'FFFG']"
1,21,0,1.0,0.8947894553945313,"['SFHF', 'HFFF', 'FHFF', 'HHFG']"
1,81,0,1.0,0.9674905716180701,"['SHHH', 'FFFF', 'FFFF', 'HFHG']"
1,3,0,0.0,0.0,"['SFFH', 'HHFH', 'HFFH', 'FHFG']"
1,98,0,1.0,0.985089730404757,"['SFHF', 'FFHF', 'FFFF', 'HFFG']"
1,95,0,1.0,0.985089730404757,"['SHFF', 'FFFH', 'FHFH', 'FFFG']"
1,67,0,1.0,0.8476834558136123,"['SFHF', 'HFFH', 'HHFF', 'HHFG']"
1,17,0,1.0,0.9332298921513504,"['SFFF', 'FFHF', 'FFHF', 'HHFG']"
1,58,0,0.0,0.0,"['SHFH', 'FFFH', 'HHFF', 'HFFG']"
1,70,0,1.0,0.9791880578299021,"['SHFF', 'FFFH', 'FFHH', 'FFFG']"
1,4,0,0.0,0.0,"['SHHF', 'FFFF', 'HHHF', 'HHHG']"
1,30,0,1.0,0.8502341582884777,"['SFFF', 'FHFF', 'FFFH', 'HFFG']"
1,99,0,1.0,0.9559328248389055,"['SFFH', 'FFHF', 'HFFF', 'HHFG']"
1,75,0,1.0,0.9674905716180701,"['SFHF', 'FHFF', 'FFFF', 'FFFG']"
1,19,0,0.0,0.0,"['SFFH', 'FHHF', 'FFHH', 'HFFG']"
1,22,0,1.0,0.8103284404851119,"['SFFF', 'FFHF', 'FHHF', 'FHHG']"
1,87,0,1.0,0.9733217421754432,"['SFHH', 'FHFH', 'FHHH', 'FFFG']"
1,64,0,1.0,0.9791880578299021,"['SHHH', 'FFFF', 'HFHF', 'HFFG']"
1,26,0,1.0,0.9762504936564125,"['SFFF', 'FHHF', 'FHHF', 'HHFG']"
1,49,0,1.0,0.985089730404757,"['SFFH', 'HFFF', 'HFHH', 'HFFG']"
1,40,0,1.0,0.9530650263643888,"['SFHH', 'FFFH', 'HFFF', 'HHHG']"
1,12,0,0.0,0.0,"['SFHF', 'FHFF', 'FFFF', 'FHHG']"
1,95,0,0.0,0.0,"['SHHH', 'FFHF', 'HFHH', 'HFFG']"
1,87,0,0.0,0.0,"['SFHH', 'FHFF', 'FFHF', 'HFFG']"
1,74,0,1.0,0.9645880999032158,"['SFFF', 'FFFH', 'HFHF', 'HFFG']"
1,7,0,0.0,0.0,"['SFHH', 'FFFH', 'HHFF', 'FFHG']"
1,47,0,1.0,0.9791880578299021,"['SFFF', 'HHFH', 'HFFF', 'FFFG']"
1,10,0,0.0,0.0,"['SHHH', 'FHFH', 'FFFF', 'HFHG']"
1,62,0,1.0,0.9473552137914398,"['SFFF', 'HHFH', 'HFFH', 'HFFG']"
1,27,0,1.0,0.985089730404757,"['SFFF', 'FHFF', 'FHHF', 'HFFG']"
1,4,0,0.0,0.0,"['SHFF', 'FHFH', 'FFFF', 'HFFG']"
