Temperature,Simulations,Return,Discounted Return,Map
1,40,0,0.0,0.0,"['SHHH', 'FFFH', 'FHFF', 'HFHG']"
1,41,0,1.0,0.9473552137914398,"['SFFH', 'HHFF', 'FFFF', 'HHHG']"
1,50,0,1.0,0.8867604854519608,"['SFFF', 'FHFH', 'FFFH', 'HHFG']"
1,46,0,1.0,0.9588092525966956,"['SFFH', 'HHFF', 'HFFH', 'FHFG']"
1,40,0,0.0,0.0,"['SHHH', 'FFFF', 'HFHF', 'HFHG']"
1,5,0,0.0,0.0,"['SFFF', 'HFFH', 'HHFF', 'FHFG']"
1,28,0,0.0,0.0,"['SFFH', 'FHHF', 'FFFF', 'HHHG']"
1,51,0,1.0,0.985089730404757,"['SFFF', 'FFFF', 'HHHF', 'FHHG']"
1,38,0,1.0,0.9332298921513504,"['SFHF', 'FFFF', 'FHHF', 'FHHG']"
1,42,0,1.0,0.9165572373164391,"['SFHH', 'FHFH', 'FHFF', 'FFFG']"
1,99,0,1.0,0.9733217421754432,"['SHHF', 'FHHH', 'FFFH', 'FFFG']"
1,67,0,1.0,0.8814479033836181,"['SFFF', 'HHFH', 'FFFF', 'HHHG']"
1,99,0,1.0,0.985089730404757,"['SFHH', 'FHFH', 'FFFH', 'FFFG']"
1,88,0,1.0,0.9645880999032158,"['SFHH', 'HFFF', 'HFFH', 'HFFG']"
1,89,0,1.0,0.9791880578299021,"['SFFF', 'HFHF', 'FFFF', 'FHFG']"
1,33,0,1.0,0.8631032605924442,"['SFFF', 'HFFF', 'FHFH', 'HHFG']"
1,66,0,1.0,0.9791880578299021,"['SFFH', 'HFHF', 'FFFF', 'FHFG']"
1,72,0,1.0,0.9645880999032158,"['SFFF', 'HHHF', 'HHHF', 'FHFG']"
1,82,0,1.0,0.9674905716180701,"['SFFH', 'FHFH', 'HHFF', 'HHFG']"
1,51,0,1.0,0.9645880999032158,"['SFFF', 'FHHH', 'FFFF', 'FHFG']"
1,3,0,0.0,0.0,"['SHHH', 'FFFH', 'FFHF', 'HFFG']"
1,86,0,1.0,0.9791880578299021,"['SFHF', 'HFFH', 'HFFH', 'FFFG']"
1,43,0,0.0,0.0,"['SHFF', 'FFHF', 'FFHF', 'HFFG']"
1,75,0,1.0,0.9645880999032158,"['SFFF', 'HFFF', 'HFHH', 'FFFG']"
1,14,0,1.0,0.9276389118674717,"['SFFH', 'HHFF', 'HHFF', 'FFFG']"
1,92,0,1.0,0.9530650263643888,"['SFHF', 'HFFF', 'FHFF', 'HFHG']"
