Temperature,Simulations,Return,Discounted Return,Map
1,48,0,1.0,0.857932408958235,"['SFHH', 'HFHH', 'HFFH', 'HHFG']"
1,25,0,1.0,0.9588092525966956,"['SFHF', 'HFFF', 'FFFF', 'HHFG']"
1,59,0,1.0,0.9645880999032158,"['SHFF', 'FHHH', 'FFHH', 'FFFG']"
1,20,0,1.0,0.7792882711929549,"['SFFF', 'HHFH', 'FFFH', 'FHFG']"
1,53,0,1.0,0.9821344612135428,"['SFFF', 'HHFH', 'FFFF', 'HHHG']"
1,40,0,1.0,0.9674905716180701,"['SFHH', 'FFFF', 'FHFF', 'FHFG']"
1,33,0,1.0,0.9674905716180701,"['SFFF', 'HFFF', 'FHFF', 'FHHG']"
1,32,0,1.0,0.9110661429076764,"['SHHF', 'FHFF', 'FFFH', 'HFFG']"
1,10,0,1.0,0.9388545698794984,"['SFFH', 'HFFF', 'FFFH', 'FFFG']"
1,10,0,0.0,0.0,"['SFHH', 'FFHF', 'FHFH', 'FFFG']"
1,1,0,0.0,0.0,"['SFFF', 'FFFF', 'HFHF', 'HFFG']"
1,52,0,1.0,0.9791880578299021,"['SHFH', 'FFFF', 'HFFF', 'FHFG']"
1,94,0,0.0,0.0,"['SHFH', 'FHFH', 'FFFF', 'HFHG']"
1,56,0,1.0,0.9001824484431542,"['SFHH', 'HFHH', 'FFHH', 'FFFG']"
1,4,0,0.0,0.0,"['SFFH', 'HFFF', 'HFHH', 'FFFG']"
1,11,0,0.0,0.0,"['SFFF', 'HHHF', 'FFHF', 'HFFG']"
1,5,0,0.0,0.0,"['SFHF', 'FFFF', 'FHFF', 'HFHG']"
1,45,0,1.0,0.9220814271464737,"['SFHF', 'FFFH', 'FHFH', 'FFFG']"
1,67,0,1.0,0.9762504936564125,"['SFFH', 'HFHH', 'HFFF', 'HHFG']"
1,63,0,1.0,0.9473552137914398,"['SFFF', 'FHHF', 'FFHF', 'HFHG']"
1,5,0,0.0,0.0,"['SFHF', 'FFHH', 'FHFH', 'FFFG']"
1,88,0,0.0,0.0,"['SHHF', 'FFHH', 'HFFF', 'FFHG']"
1,44,0,1.0,0.8250687380258053,"['SHFF', 'FFFH', 'HHFF', 'FFFG']"
1,31,0,1.0,0.9502058312852957,"['SHFF', 'FHFF', 'FFHF', 'FFFG']"
1,38,0,1.0,0.9733217421754432,"['SFHF', 'HFFF', 'HFHF', 'FHFG']"
1,64,0,1.0,0.9332298921513504,"['SHFF', 'FFFH', 'FHFF', 'FHHG']"
