Temperature,Simulations,Return,Discounted Return,Map
1,96,0,1.0,0.9588092525966956,"['SHHH', 'FHHF', 'FFHF', 'FFFG']"
1,22,0,1.0,0.837556937769312,"['SHHH', 'FFHH', 'FFFF', 'FHFG']"
1,11,0,0.0,0.0,"['SFHH', 'HFFH', 'HHFH', 'HFFG']"
1,91,0,1.0,0.985089730404757,"['SFHF', 'FFFF', 'FHHF', 'FHFG']"
1,5,0,0.0,0.0,"['SHHF', 'FFFF', 'HHFF', 'FHFG']"
1,12,0,1.0,0.884100203995605,"['SFFH', 'HHFF', 'FFFF', 'FFHG']"
1,64,0,1.0,0.9733217421754432,"['SHFH', 'FHHH', 'FHHH', 'FFFG']"
1,70,0,1.0,0.9588092525966956,"['SHFH', 'FHFF', 'FFFH', 'HFFG']"
1,22,0,1.0,0.8400771692771434,"['SFFH', 'FHFH', 'HFFH', 'HFFG']"
1,11,0,0.0,0.0,"['SFHF', 'HFFH', 'HFFF', 'FFHG']"
1,24,0,0.0,0.0,"['SHHH', 'FFFH', 'FFHH', 'HFFG']"
1,37,0,0.0,0.0,"['SHFH', 'FFFF', 'FHHF', 'FHFG']"
1,26,0,1.0,0.9821344612135428,"['SHHH', 'FFHH', 'FFFF', 'FFFG']"
1,67,0,1.0,0.9821344612135428,"['SFHH', 'FFHF', 'HFFF', 'HFFG']"
1,30,0,1.0,0.9674905716180701,"['SHFF', 'FFFF', 'HHFF', 'FFFG']"
1,31,0,1.0,0.9791880578299021,"['SFFH', 'HFFF', 'HHFF', 'FHFG']"
1,4,0,0.0,0.0,"['SFHF', 'HFFF', 'HHHF', 'HFFG']"
1,16,0,0.0,0.0,"['SFFH', 'FHHF', 'FFFF', 'FFHG']"
1,63,0,1.0,0.9791880578299021,"['SFFF', 'FFFF', 'FHFH', 'HFFG']"
1,30,0,1.0,0.9821344612135428,"['SFFH', 'FHHH', 'FFHH', 'FFFG']"
1,37,0,1.0,0.9791880578299021,"['SFHF', 'FFFF', 'HFFF', 'HFFG']"
1,48,0,1.0,0.9445131481500655,"['SHFH', 'FFFF', 'FFFF', 'HFHG']"
1,50,0,1.0,0.985089730404757,"['SHHF', 'FHHH', 'FHFH', 'FFFG']"
1,98,0,1.0,0.9473552137914398,"['SHFH', 'FFHH', 'HFFF', 'HHHG']"
