Temperature,Simulations,Return,Discounted Return,Map
1,48,0,1.0,0.9733217421754432,"['SFFF', 'HHFH', 'FHFF', 'FFHG']"
1,50,0,1.0,0.9388545698794984,"['SFHF', 'FFFF', 'FFFH', 'FHFG']"
1,58,0,1.0,0.9791880578299021,"['SFFF', 'FFFF', 'FFHF', 'FFHG']"
1,49,0,1.0,0.9762504936564125,"['SFFF', 'HHHF', 'FHHF', 'FFFG']"
1,47,0,1.0,0.9762504936564125,"['SHHF', 'FFFF', 'FHFF', 'HFHG']"
1,49,0,1.0,0.8127667407072335,"['SFFF', 'FFHH', 'HFFF', 'FFHG']"
1,98,0,1.0,0.985089730404757,"['SFFF', 'HHFF', 'HHFF', 'FHFG']"
1,81,0,1.0,0.8974819010978248,"['SFFF', 'HFHH', 'FFFH', 'FHFG']"
1,87,0,1.0,0.8709180316048211,"['SFHF', 'HFFF', 'FHFH', 'FHFG']"
1,27,0,0.0,0.0,"['SHFF', 'FHHF', 'FFHH', 'HFFG']"
1,32,0,1.0,0.9674905716180701,"['SFFH', 'FHFF', 'HHFF', 'HFHG']"
1,80,0,1.0,0.8103284404851119,"['SHFF', 'FFFH', 'HHFF', 'FHFG']"
1,93,0,1.0,0.7792882711929549,"['SFFF', 'FHHH', 'FFFF', 'HFHG']"
1,98,0,1.0,0.9733217421754432,"['SFHF', 'HFFF', 'HFFF', 'FFFG']"
1,13,0,1.0,0.8631032605924442,"['SFFH', 'HFFH', 'HHFH', 'FFFG']"
1,1,0,0.0,0.0,"['SFHF', 'FHFF', 'FHHH', 'FFFG']"
1,18,0,1.0,0.9001824484431542,"['SFFF', 'FHHF', 'HFHF', 'HFHG']"
1,90,0,1.0,0.9588092525966956,"['SFHF', 'HFFH', 'FFHF', 'FFFG']"
1,71,0,0.0,0.0,"['SHFH', 'FFHH', 'FFFF', 'HHHG']"
1,8,0,0.0,0.0,"['SFHH', 'HFHF', 'HFHH', 'FFFG']"
1,74,0,1.0,0.9704017769489168,"['SFHH', 'HFFF', 'HFFF', 'FFFG']"
1,42,0,1.0,0.767668872977057,"['SHFF', 'FHHF', 'FFFF', 'FHFG']"
1,84,0,1.0,0.9733217421754432,"['SFFH', 'HFFF', 'FFFF', 'FHHG']"
1,91,0,1.0,0.985089730404757,"['SHFF', 'FHHF', 'FFFF', 'FFFG']"
1,2,0,0.0,0.0,"['SFFF', 'HFFF', 'HFFF', 'FHFG']"
1,48,0,1.0,0.8788035596734672,"['SFFH', 'HFHF', 'HFHH', 'HFFG']"
1,12,0,1.0,0.9791880578299021,"['SFFF', 'FHFF', 'HFFF', 'FFFG']"
1,42,0,1.0,0.9559328248389055,"['SFFF', 'HFHF', 'HHFF', 'FFHG']"
1,82,0,1.0,0.9762504936564125,"['SFFF', 'HHFF', 'FHFH', 'FFFG']"
1,22,0,1.0,0.9733217421754432,"['SFFH', 'HFFF', 'FHFF', 'HFFG']"
1,9,0,0.0,0.0,"['SHHH', 'FHFH', 'FFFF', 'FHHG']"
1,37,0,1.0,0.9248559951318693,"['SFHH', 'HFFF', 'FFFF', 'HHFG']"
1,72,0,1.0,0.9502058312852957,"['SFHH', 'FFHH', 'HFFF', 'FHFG']"
1,34,0,1.0,0.8152123778407558,"['SHHF', 'FHFH', 'FFFH', 'HFFG']"
1,59,0,1.0,0.9733217421754432,"['SFHF', 'FFHH', 'FHHF', 'FFFG']"
1,65,0,1.0,0.9733217421754432,"['SHFF', 'FFFF', 'HHFF', 'HFFG']"
1,71,0,1.0,0.9821344612135428,"['SFHH', 'HFHF', 'HFFF', 'FFFG']"
1,58,0,1.0,0.8426049842298329,"['SFHF', 'HFHF', 'FFFF', 'FFHG']"
