Temperature,Simulations,Return,Discounted Return,Map
1,18,0,1.0,0.9165572373164391,"['SFFF', 'FFFH', 'FFHH', 'FFFG']"
1,29,0,0.0,0.0,"['SHFF', 'FFFF', 'HHHF', 'HFFG']"
1,97,0,1.0,0.985089730404757,"['SFFH', 'HFFF', 'FHFF', 'HFFG']"
1,76,0,1.0,0.9502058312852957,"['SFFF', 'FFHH', 'HFFH', 'FFFG']"
1,82,0,1.0,0.9473552137914398,"['SHFH', 'FFFF', 'HHHF', 'FFHG']"
1,2,0,0.0,0.0,"['SFHF', 'FHFH', 'FFHH', 'FFFG']"
1,67,0,1.0,0.9821344612135428,"['SFHH', 'FHFH', 'FFFF', 'HFFG']"
1,14,0,0.0,0.0,"['SHFF', 'FFFF', 'FHFF', 'FHFG']"
1,71,0,1.0,0.93603800616986,"['SHHF', 'FFFH', 'HFFH', 'FFFG']"
1,14,0,0.0,0.0,"['SFHF', 'FFFH', 'HHFF', 'FFHG']"
1,59,0,1.0,0.9193151828650342,"['SFHH', 'HFFH', 'HFFH', 'HHFG']"
1,49,0,0.0,0.0,"['SHHF', 'FHFH', 'FFFF', 'FFHG']"
1,79,0,1.0,0.9645880999032158,"['SFFF', 'HFFF', 'HHHF', 'FHFG']"
1,63,0,1.0,0.8152123778407558,"['SFHH', 'HFFF', 'HFHF', 'FFHG']"
1,4,0,0.0,0.0,"['SHHF', 'FHHH', 'FHHF', 'FFFG']"
1,23,0,1.0,0.9559328248389055,"['SFFF', 'FHFF', 'FHHF', 'FFFG']"
1,25,0,0.0,0.0,"['SFFH', 'HFFF', 'HFHH', 'HFFG']"
1,85,0,1.0,0.8553586117313603,"['SHFH', 'FHFF', 'FFFF', 'HHHG']"
1,57,0,1.0,0.9304302024748964,"['SHFF', 'FFFF', 'HFHF', 'HFHG']"
1,21,0,1.0,0.9220814271464737,"['SFFF', 'HHFF', 'HHFF', 'FHFG']"
1,77,0,0.0,0.0,"['SHFH', 'FFHF', 'HFHF', 'FFFG']"
1,23,0,0.0,0.0,"['SHHF', 'FFFF', 'FFFH', 'FHFG']"
1,51,0,1.0,0.9821344612135428,"['SFFH', 'HFFF', 'HFFF', 'FFFG']"
1,85,0,1.0,0.9304302024748964,"['SFFF', 'HFHH', 'HFFF', 'FHHG']"
1,17,0,0.0,0.0,"['SFHF', 'HFHH', 'FFFF', 'FHFG']"
1,12,0,0.0,0.0,"['SFFH', 'HHFF', 'FFFH', 'HFFG']"
1,35,0,1.0,0.9588092525966956,"['SFFF', 'HHFH', 'HFFF', 'FHFG']"
1,83,0,1.0,0.9791880578299021,"['SFFF', 'FFFH', 'FFFH', 'HFFG']"
1,17,0,1.0,0.7746195551602378,"['SFFH', 'FFFH', 'FHFH', 'FFFG']"
1,88,0,1.0,0.9821344612135428,"['SHFH', 'FHFF', 'FFFF', 'FFHG']"
1,70,0,1.0,0.90289112180858,"['SFHF', 'FFHF', 'FHHF', 'FFFG']"
1,76,0,1.0,0.9616943356035061,"['SHFF', 'FHHF', 'FFFF', 'HFFG']"
1,35,0,0.0,0.0,"['SHHF', 'FFFF', 'FFHF', 'FHHG']"
1,27,0,0.0,0.0,"['SHHH', 'FHHF', 'FFHH', 'HFFG']"
1,69,0,1.0,0.9388545698794984,"['SHHF', 'FHHF', 'FFFF', 'FHHG']"
1,32,0,1.0,0.8761671489944468,"['SFHH', 'FFFF', 'HFFH', 'FHFG']"
1,24,0,1.0,0.9791880578299021,"['SFFH', 'FHFF', 'FHFF', 'HHHG']"
1,55,0,1.0,0.93603800616986,"['SFHF', 'HFHF', 'FFHH', 'HFFG']"
1,68,0,0.0,0.0,"['SHFH', 'FFHH', 'HFFF', 'HHHG']"
1,80,0,1.0,0.9704017769489168,"['SFFH', 'HHFH', 'HFFH', 'HFFG']"
1,33,0,1.0,0.9762504936564125,"['SFFH', 'FFFH', 'HFFF', 'HFHG']"
1,84,0,1.0,0.9821344612135428,"['SFHH', 'FFFF', 'FHFF', 'FFFG']"
1,72,0,1.0,0.9588092525966956,"['SHHF', 'FFHH', 'FFHF', 'HFFG']"
1,3,0,0.0,0.0,"['SHHH', 'FFHF', 'FFFF', 'FFFG']"
