Temperature,Simulations,Return,Discounted Return,Map
1,5,0,0.0,0.0,"['SHFH', 'FFFF', 'HHFF', 'FHHG']"
1,85,0,1.0,0.9645880999032158,"['SFFF', 'FFHF', 'HHHF', 'HHHG']"
1,62,0,1.0,0.8894287717672626,"['SFFH', 'FHHH', 'FHHF', 'FFFG']"
1,40,0,1.0,0.90289112180858,"['SFFF', 'HFHF', 'HHHF', 'FFHG']"
1,24,0,0.0,0.0,"['SFHH', 'FFFF', 'FHFH', 'HFFG']"
1,51,0,0.0,0.0,"['SFHH', 'HFFF', 'HFFH', 'HHFG']"
1,53,0,0.0,0.0,"['SFHH', 'FFHF', 'HFHF', 'HFFG']"
1,1,0,0.0,0.0,"['SFFF', 'HFHF', 'FFHH', 'HFFG']"
1,87,0,1.0,0.9530650263643888,"['SFHF', 'HFFF', 'FHFF', 'HFHG']"
1,62,0,1.0,0.9704017769489168,"['SHFF', 'FHFF', 'FHFH', 'FFFG']"
1,71,0,1.0,0.9791880578299021,"['SFFH', 'HFFH', 'FHFF', 'HFFG']"
1,88,0,1.0,0.9733217421754432,"['SFFF', 'FFHF', 'HHHF', 'HHFG']"
1,69,0,1.0,0.9791880578299021,"['SFHF', 'FHFF', 'FFFF', 'HFFG']"
1,95,0,1.0,0.9791880578299021,"['SFFF', 'HFFF', 'FFFF', 'HFHG']"
1,37,0,1.0,0.93603800616986,"['SFFF', 'FFFH', 'HFHF', 'HFFG']"
1,89,0,1.0,0.9473552137914398,"['SFFF', 'HHFH', 'FFFF', 'FHFG']"
1,48,0,1.0,0.9821344612135428,"['SHHH', 'FFFF', 'HFFF', 'HFFG']"
1,53,0,0.0,0.0,"['SHFH', 'FHFH', 'FFHF', 'HFFG']"
1,21,0,0.0,0.0,"['SFHH', 'FFHH', 'FHFH', 'FFFG']"
1,24,0,0.0,0.0,"['SFHF', 'FFFH', 'HFHF', 'HFFG']"
1,29,0,1.0,0.9502058312852957,"['SFFH', 'HFFF', 'HHFF', 'HHFG']"
1,88,0,1.0,0.9138075656044898,"['SHFH', 'FHFH', 'FFHH', 'HFFG']"
1,75,0,1.0,0.857932408958235,"['SFHF', 'HFFH', 'FHFF', 'FFFG']"
1,82,0,1.0,0.8894287717672626,"['SHFH', 'FFHF', 'FFFH', 'HHFG']"
1,91,0,1.0,0.8325391341551359,"['SFFF', 'FFHH', 'HFFF', 'HHHG']"
