Temperature,Simulations,Return,Discounted Return,Map
1,24,0,1.0,0.9332298921513504,"['SFFF', 'HHFF', 'FHFH', 'HFFG']"
1,43,0,1.0,0.8250687380258053,"['SFHF', 'FFFH', 'HFHF', 'HFFG']"
1,57,0,1.0,0.985089730404757,"['SFFF', 'HHFF', 'HHFF', 'FHHG']"
1,8,0,0.0,0.0,"['SFFF', 'FFFH', 'FFFF', 'HHFG']"
1,89,0,1.0,0.9704017769489168,"['SFHF', 'HFFF', 'HHFF', 'HFHG']"
1,23,0,1.0,0.9304302024748964,"['SFFH', 'FFFH', 'FFFF', 'FHHG']"
1,52,0,1.0,0.985089730404757,"['SHFH', 'FFFF', 'FFFH', 'HFFG']"
1,9,0,0.0,0.0,"['SHHH', 'FFFF', 'HHFF', 'FFHG']"
1,89,0,1.0,0.9220814271464737,"['SFFH', 'FFFH', 'HHFF', 'FHHG']"
1,54,0,1.0,0.837556937769312,"['SFFF', 'FFHH', 'FFFF', 'FFHG']"
1,8,0,0.0,0.0,"['SFHH', 'HFFF', 'HFFH', 'FFFG']"
1,63,0,1.0,0.985089730404757,"['SHHF', 'FFHF', 'FFFF', 'FFFG']"
1,63,0,1.0,0.9674905716180701,"['SFFH', 'FFFF', 'FFFF', 'HFHG']"
1,71,0,1.0,0.9138075656044898,"['SFHF', 'HFFF', 'FHHF', 'HHFG']"
1,91,0,1.0,0.9733217421754432,"['SFFF', 'HFHH', 'HFFF', 'HHFG']"
1,66,0,0.0,0.0,"['SHFF', 'FHFH', 'FFHF', 'HFFG']"
1,35,0,1.0,0.8553586117313603,"['SFHH', 'HFHH', 'FFFH', 'HFFG']"
1,36,0,1.0,0.9616943356035061,"['SFHF', 'FFHF', 'FHFF', 'FFFG']"
1,4,0,0.0,0.0,"['SFFF', 'FHFH', 'HFFH', 'HFFG']"
1,17,0,0.0,0.0,"['SHFH', 'FHHH', 'FFFF', 'FFHG']"
1,88,0,1.0,0.9674905716180701,"['SFFF', 'HFHF', 'FHFF', 'HFHG']"
1,45,0,1.0,0.9704017769489168,"['SFHF', 'FFHH', 'FFHH', 'HFFG']"
1,80,0,1.0,0.9704017769489168,"['SFFF', 'HHFF', 'FFHF', 'FFHG']"
1,46,0,1.0,0.9165572373164391,"['SFHF', 'HFFF', 'FFHH', 'HFFG']"
1,93,0,1.0,0.9332298921513504,"['SFHF', 'FFFF', 'FHHF', 'HFFG']"
1,38,0,1.0,0.9645880999032158,"['SFFH', 'FFFF', 'FHFF', 'FHFG']"
1,77,0,1.0,0.9388545698794984,"['SFHH', 'HFFF', 'FHFH', 'FFFG']"
1,69,0,1.0,0.9791880578299021,"['SFFH', 'FFHF', 'FFFF', 'HHFG']"
1,47,0,1.0,0.9762504936564125,"['SFHH', 'FFHH', 'FFFH', 'HHFG']"
1,64,0,1.0,0.9304302024748964,"['SFFH', 'FFHF', 'FFHH', 'HFFG']"
1,46,0,1.0,0.9110661429076764,"['SHHF', 'FHHH', 'FFFF', 'HFFG']"
1,100,0,1.0,0.9704017769489168,"['SHFF', 'FFFH', 'FHFH', 'FFFG']"
1,27,0,1.0,0.8275513922024125,"['SFHF', 'HFHF', 'FFHH', 'FFFG']"
1,92,0,0.0,0.0,"['SHHF', 'FFFF', 'HFHF', 'HHFG']"
1,46,0,0.0,0.0,"['SHFH', 'FFFH', 'HHFH', 'HFFG']"
1,13,0,1.0,0.8152123778407558,"['SFFF', 'HHFH', 'FHFH', 'FFFG']"
1,7,0,1.0,0.9276389118674717,"['SFFF', 'HHFF', 'FHHF', 'FFFG']"
1,49,0,1.0,0.9733217421754432,"['SFFF', 'HFHF', 'FFHF', 'FHFG']"
1,62,0,1.0,0.9616943356035061,"['SFFH', 'HHFF', 'HHFF', 'HHHG']"
1,34,0,0.0,0.0,"['SHFF', 'FFHF', 'HFFF', 'FFHG']"
1,5,0,1.0,0.8631032605924442,"['SFFF', 'FFFF', 'HHHF', 'FHHG']"
1,90,0,1.0,0.9445131481500655,"['SFHH', 'FFFH', 'FFHF', 'HFFG']"
1,9,0,0.0,0.0,"['SHHF', 'FHFF', 'FFFF', 'FHFG']"
1,8,0,1.0,0.7516921927868743,"['SFHF', 'HFFF', 'HFFH', 'HFFG']"
1,85,0,1.0,0.9821344612135428,"['SFHH', 'FFHF', 'FFFF', 'FFFG']"
1,55,0,1.0,0.9645880999032158,"['SFFF', 'FHHF', 'HHFF', 'FFFG']"
1,85,0,1.0,0.9704017769489168,"['SFHF', 'FFFF', 'HFFH', 'HFFG']"
1,23,0,1.0,0.747188804859888,"['SFFF', 'FHFF', 'FHFH', 'FFFG']"
1,82,0,1.0,0.9056079456455165,"['SFFH', 'HFFF', 'FFHH', 'HFFG']"
1,48,0,1.0,0.79346393184295,"['SFFF', 'FFHH', 'FFFH', 'FHFG']"
