Temperature,Simulations,Return,Discounted Return,Map
1,97,0,0.0,0.0,"['SHHF', 'FFFH', 'FHFF', 'FFHG']"
1,72,0,1.0,0.8127667407072335,"['SFHF', 'FFFF', 'FFHF', 'FFHG']"
1,71,0,1.0,0.8867604854519608,"['SFHF', 'FHFF', 'FFFH', 'FHFG']"
1,66,0,1.0,0.9674905716180701,"['SFFF', 'HFFH', 'HFHH', 'FFFG']"
1,22,0,1.0,0.8814479033836181,"['SFFF', 'HFFF', 'HFFH', 'HHFG']"
1,66,0,0.0,0.0,"['SHHF', 'FFFH', 'HHFF', 'HHHG']"
1,3,0,0.0,0.0,"['SHHH', 'FHFF', 'FFHF', 'FFFG']"
1,67,0,1.0,0.9645880999032158,"['SFFH', 'FFFF', 'FHHF', 'HHHG']"
1,50,0,1.0,0.9704017769489168,"['SFFH', 'HFFF', 'HHFF', 'HFHG']"
1,92,0,1.0,0.9733217421754432,"['SFFH', 'HFFH', 'HFFH', 'FHFG']"
1,33,0,0.0,0.0,"['SHFF', 'FFFF', 'HHHF', 'HFFG']"
1,2,0,0.0,0.0,"['SFFF', 'HFFF', 'HHFH', 'FHFG']"
1,51,0,1.0,0.9220814271464737,"['SHFF', 'FHFF', 'FFFF', 'FHHG']"
1,38,0,1.0,0.8054737627981655,"['SFHH', 'HFFF', 'FHHF', 'HFHG']"
1,1,0,0.0,0.0,"['SHHF', 'FFHH', 'FFHH', 'HFFG']"
1,19,0,0.0,0.0,"['SHHF', 'FHFF', 'FFFH', 'HFFG']"
1,36,0,1.0,0.93603800616986,"['SFFH', 'FFHH', 'FFFF', 'HFFG']"
1,94,0,0.0,0.0,"['SHHH', 'FFFH', 'HHFH', 'FHFG']"
1,37,0,1.0,0.8867604854519608,"['SHFF', 'FFHF', 'FHFF', 'FFFG']"
1,81,0,1.0,0.985089730404757,"['SFFF', 'HFHF', 'FHFF', 'HFFG']"
1,31,0,0.0,0.0,"['SHHH', 'FFHF', 'HFFF', 'FHFG']"
1,39,0,1.0,0.8152123778407558,"['SFHH', 'HFFH', 'FHFF', 'FFFG']"
1,17,0,1.0,0.9821344612135428,"['SFFH', 'HFFF', 'FFFF', 'HHFG']"
1,22,0,1.0,0.9559328248389055,"['SFHH', 'FFHH', 'FFHH', 'FFFG']"
1,66,0,1.0,0.9704017769489168,"['SFFH', 'FFHH', 'HFFF', 'HFHG']"
1,32,0,1.0,0.9674905716180701,"['SFHH', 'FHFF', 'FFFF', 'HHFG']"
1,29,0,1.0,0.9821344612135428,"['SFFF', 'FHFF', 'FHHF', 'HHFG']"
1,19,0,1.0,0.8250687380258053,"['SFHH', 'FFFF', 'HFHF', 'HFHG']"
1,52,0,1.0,0.9473552137914398,"['SFFH', 'FHFF', 'HHFF', 'HFHG']"
1,68,0,0.0,0.0,"['SFFH', 'HFHF', 'FFFH', 'HHFG']"
1,4,0,0.0,0.0,"['SFFH', 'FHFF', 'FFHF', 'FHHG']"
1,95,0,1.0,0.9704017769489168,"['SHFH', 'FHHH', 'FHFH', 'FFFG']"
1,17,0,0.0,0.0,"['SFFF', 'HHFH', 'FHFH', 'FFFG']"
1,19,0,0.0,0.0,"['SHFH', 'FFFH', 'FHFF', 'FHFG']"
1,4,0,0.0,0.0,"['SFFH', 'HHFF', 'HFFF', 'FHHG']"
1,50,0,0.0,0.0,"['SFFH', 'HFHF', 'HFFF', 'HFHG']"
1,10,0,0.0,0.0,"['SFFH', 'FHFH', 'FHFF', 'HFHG']"
1,25,0,1.0,0.9138075656044898,"['SHHH', 'FHHF', 'FHFH', 'FFFG']"
1,47,0,1.0,0.8761671489944468,"['SFFH', 'HFHF', 'FFHF', 'HFFG']"
1,49,0,1.0,0.9445131481500655,"['SFFH', 'HFFF', 'FFFH', 'HHFG']"
1,21,0,0.0,0.0,"['SFFF', 'HFFF', 'FHFH', 'FHFG']"
1,99,0,1.0,0.9821344612135428,"['SHFH', 'FFHH', 'FFFF', 'HFFG']"
1,28,0,1.0,0.8709180316048211,"['SHFF', 'FFHH', 'FHHH', 'FFFG']"
1,37,0,1.0,0.9762504936564125,"['SFHH', 'FFHH', 'HFHF', 'FFFG']"
1,61,0,1.0,0.985089730404757,"['SFFF', 'HFFH', 'HFFF', 'FFFG']"
1,93,0,1.0,0.9674905716180701,"['SHHF', 'FFFF', 'FHFF', 'HHHG']"
1,54,0,1.0,0.9083329444789534,"['SFFF', 'HFHH', 'HFHF', 'FFFG']"
1,36,0,0.0,0.0,"['SFFH', 'FHHF', 'FFFF', 'FFHG']"
1,31,0,1.0,0.9276389118674717,"['SHFF', 'FFFF', 'FFFF', 'HFFG']"
1,23,0,1.0,0.860513950810667,"['SFFH', 'FFFF', 'FFHF', 'FHHG']"
1,47,0,1.0,0.9220814271464737,"['SHFH', 'FHHF', 'FFFF', 'FHFG']"
1,70,0,1.0,0.9674905716180701,"['SFFH', 'HFFH', 'HFFF', 'FHFG']"
1,56,0,1.0,0.9304302024748964,"['SHFF', 'FFFH', 'FHFH', 'HFFG']"
1,98,0,1.0,0.9704017769489168,"['SHHH', 'FFFH', 'HFFF', 'FHHG']"
1,91,0,1.0,0.9791880578299021,"['SFFF', 'FFFF', 'FHHF', 'FFHG']"
1,24,0,1.0,0.9616943356035061,"['SFHH', 'FFFF', 'HHFF', 'HHHG']"
1,26,0,1.0,0.9165572373164391,"['SFFF', 'HFFH', 'HHFF', 'FFHG']"
1,65,0,1.0,0.9762504936564125,"['SFFH', 'HFFH', 'HHFF', 'FHHG']"
1,40,0,1.0,0.9821344612135428,"['SHHH', 'FHHF', 'FFHF', 'FFFG']"
1,14,0,1.0,0.8761671489944468,"['SFFF', 'FHFH', 'FFFF', 'FHFG']"
1,46,0,1.0,0.9559328248389055,"['SFFF', 'HFHF', 'FHFF', 'FFHG']"
1,32,0,1.0,0.9791880578299021,"['SFFF', 'HHFF', 'FHFF', 'FHFG']"
1,97,0,1.0,0.9821344612135428,"['SFFH', 'FFFH', 'HFFH', 'FFFG']"
1,100,0,1.0,0.9791880578299021,"['SHFH', 'FFHH', 'FHFF', 'FFFG']"
1,42,0,1.0,0.9559328248389055,"['SFHH', 'FHFH', 'FFHH', 'FFFG']"
1,51,0,1.0,0.9791880578299021,"['SFFF', 'FHFH', 'HFFF', 'FFFG']"
1,15,0,0.0,0.0,"['SFHF', 'FHFH', 'FFFH', 'HHFG']"
1,74,0,1.0,0.9502058312852957,"['SFFH', 'FHFH', 'FFFF', 'HHHG']"
1,68,0,0.0,0.0,"['SHFH', 'FHFH', 'FFHF', 'HFFG']"
1,8,0,0.0,0.0,"['SHHF', 'FHHF', 'FHFH', 'FFFG']"
1,5,0,0.0,0.0,"['SHHH', 'FFFF', 'HFHH', 'HFFG']"
1,56,0,1.0,0.9616943356035061,"['SHFH', 'FHFH', 'FFFF', 'FHFG']"
1,76,0,1.0,0.9762504936564125,"['SHHF', 'FFFF', 'HHFF', 'HFFG']"
1,47,0,1.0,0.9588092525966956,"['SFHH', 'HFHF', 'FFHH', 'FFFG']"
1,20,0,1.0,0.7958514863018556,"['SFHH', 'HFFH', 'FFHF', 'FFFG']"
1,3,0,0.0,0.0,"['SFFF', 'FFFH', 'HFFH', 'HHFG']"
1,98,0,1.0,0.9791880578299021,"['SFFF', 'HFFF', 'FHFF', 'HFFG']"
1,20,0,0.0,0.0,"['SFHF', 'FFHH', 'FFFH', 'FHFG']"
1,43,0,1.0,0.9791880578299021,"['SFFF', 'HFFH', 'FHFF', 'FFFG']"
1,78,0,1.0,0.8788035596734672,"['SFFF', 'FFHF', 'HFHH', 'HFFG']"
1,45,0,1.0,0.985089730404757,"['SHHH', 'FFHF', 'FFFF', 'HFFG']"
1,9,0,0.0,0.0,"['SFFF', 'HHFH', 'HFFF', 'FHFG']"
1,73,0,1.0,0.9762504936564125,"['SHFF', 'FFFF', 'HFFH', 'FFFG']"
1,4,0,0.0,0.0,"['SHFF', 'FFFH', 'HFFF', 'FFHG']"
1,18,0,1.0,0.9502058312852957,"['SHFF', 'FFFF', 'FFHH', 'FFFG']"
1,24,0,0.0,0.0,"['SHFH', 'FFHF', 'FFFF', 'HHHG']"
1,61,0,1.0,0.985089730404757,"['SFFF', 'FHFF', 'FHFF', 'HFFG']"
1,14,0,0.0,0.0,"['SHFF', 'FFFH', 'HFFF', 'FHHG']"
1,36,0,0.0,0.0,"['SFHF', 'FFFF', 'HHFH', 'FHFG']"
1,9,0,0.0,0.0,"['SHFF', 'FFHF', 'FFFF', 'FHFG']"
1,8,0,1.0,0.9304302024748964,"['SFFH', 'FHFF', 'FFFF', 'FFFG']"
