Temperature,Simulations,Return,Discounted Return,Map
1,77,0,1.0,0.985089730404757,"['SFFF', 'HFFF', 'HFFF', 'HFFG']"
1,64,0,1.0,0.9821344612135428,"['SFFH', 'HFFF', 'HFHF', 'HFHG']"
1,91,0,1.0,0.985089730404757,"['SFFF', 'FHHF', 'FFFH', 'FFFG']"
1,81,0,1.0,0.9674905716180701,"['SFFF', 'FHFF', 'HFHF', 'FFFG']"
1,45,0,1.0,0.9388545698794984,"['SFFF', 'HFHF', 'FHHF', 'HHHG']"
1,58,0,1.0,0.9733217421754432,"['SFFF', 'HFFH', 'FHFF', 'FFHG']"
1,6,0,1.0,0.8127667407072335,"['SFFF', 'FHHF', 'FFHF', 'FHFG']"
1,59,0,1.0,0.9138075656044898,"['SFFF', 'FHHF', 'HFFF', 'HHFG']"
1,96,0,1.0,0.8894287717672626,"['SHHF', 'FHHF', 'FFHH', 'HFFG']"
1,35,0,1.0,0.9704017769489168,"['SFHH', 'FFHH', 'FFFF', 'FHFG']"
1,43,0,1.0,0.9762504936564125,"['SFFF', 'HHFF', 'FHFF', 'HHFG']"
1,47,0,1.0,0.9416796087056153,"['SFHF', 'HFHH', 'FFHH', 'HFFG']"
1,59,0,1.0,0.8400771692771434,"['SFFF', 'HFHH', 'HFFH', 'FHFG']"
1,78,0,1.0,0.9821344612135428,"['SFHF', 'FHHH', 'FFFH', 'HFFG']"
1,19,0,0.0,0.0,"['SHHH', 'FFFF', 'HHHF', 'FHFG']"
1,28,0,0.0,0.0,"['SFHF', 'HFFH', 'FHFF', 'FHHG']"
1,32,0,1.0,0.8735386475474635,"['SFFH', 'FHFH', 'FFHF', 'FFFG']"
1,86,0,1.0,0.9821344612135428,"['SFFH', 'HFFF', 'FFFF', 'HFHG']"
1,88,0,1.0,0.9473552137914398,"['SFHF', 'FFHF', 'FFFF', 'FHHG']"
1,26,0,1.0,0.9733217421754432,"['SFFH', 'HFFF', 'HHFF', 'HFFG']"
1,96,0,1.0,0.9791880578299021,"['SHHF', 'FFFF', 'FHHF', 'FHFG']"
1,3,0,0.0,0.0,"['SFHH', 'HFFF', 'FFHF', 'HHFG']"
1,6,0,1.0,0.8103284404851119,"['SFFF', 'FFHF', 'FFFF', 'HFHG']"
1,78,0,1.0,0.9704017769489168,"['SHHH', 'FHFH', 'FFHH', 'HFFG']"
