Temperature,Simulations,Return,Discounted Return,Map
1,28,0,1.0,0.8867604854519608,"['SHFF', 'FHFH', 'FHFH', 'FFFG']"
1,82,0,1.0,0.9588092525966956,"['SHFH', 'FHFF', 'FFFF', 'FFHG']"
1,46,0,1.0,0.8921050870283477,"['SFHH', 'FHHF', 'FHHF', 'FFFG']"
1,77,0,1.0,0.9616943356035061,"['SHHF', 'FFHH', 'FFFH', 'HHFG']"
1,83,0,1.0,0.9733217421754432,"['SFHH', 'HFHF', 'FFFF', 'HHFG']"
1,52,0,1.0,0.9762504936564125,"['SFFH', 'HFFF', 'HFHF', 'HHFG']"
1,36,0,1.0,0.9559328248389055,"['SHFH', 'FFFF', 'HFFF', 'FHFG']"
1,59,0,1.0,0.9821344612135428,"['SFFF', 'FFHF', 'FFFF', 'FFFG']"
1,13,0,0.0,0.0,"['SHHF', 'FHHF', 'FFHF', 'HFFG']"
1,26,0,1.0,0.9138075656044898,"['SFHH', 'FFHH', 'FFHH', 'HFFG']"
1,84,0,1.0,0.9473552137914398,"['SHHF', 'FFFF', 'FFHF', 'FHFG']"
1,31,0,0.0,0.0,"['SFHF', 'FHHF', 'FFFF', 'FHHG']"
1,60,0,1.0,0.8788035596734672,"['SFFF', 'FHFF', 'HFFH', 'HFFG']"
1,25,0,1.0,0.9762504936564125,"['SHHH', 'FFFF', 'FFFF', 'HFFG']"
1,23,0,1.0,0.9559328248389055,"['SFHF', 'HFFF', 'FFFH', 'FFFG']"
1,54,0,1.0,0.9762504936564125,"['SFHF', 'HFFF', 'FFFF', 'HFHG']"
1,34,0,1.0,0.9645880999032158,"['SFHF', 'HFFF', 'HHFF', 'HHFG']"
1,26,0,1.0,0.9388545698794984,"['SHHH', 'FFFH', 'FFFF', 'FFHG']"
1,5,0,1.0,0.8947894553945313,"['SFFF', 'HFFF', 'FFHF', 'HHFG']"
1,94,0,0.0,0.0,"['SFHH', 'FHFF', 'FFFF', 'FHHG']"
1,48,0,1.0,0.9704017769489168,"['SFFF', 'FFHH', 'FHFF', 'FFFG']"
1,41,0,1.0,0.9138075656044898,"['SFHF', 'FHHF', 'FHHF', 'FFFG']"
1,88,0,1.0,0.9821344612135428,"['SFFH', 'FHFF', 'FFFF', 'FFFG']"
1,37,0,0.0,0.0,"['SHFH', 'FFFF', 'FHFH', 'HFFG']"
1,19,0,0.0,0.0,"['SFFF', 'FFFH', 'HHFH', 'HHFG']"
1,19,0,1.0,0.7539540549517295,"['SFFH', 'HHFH', 'HHFF', 'HHFG']"
1,67,0,0.0,0.0,"['SFFH', 'FHHF', 'FFFH', 'FHFG']"
