Temperature,Simulations,Return,Discounted Return,Map
1,100,0,1.0,0.9821344612135428,"['SFFF', 'HHFF', 'HHFF', 'HHHG']"
1,82,0,0.0,0.0,"['SHHH', 'FFFF', 'HHHF', 'HFHG']"
1,63,0,1.0,0.9530650263643888,"['SFFF', 'HFFF', 'FFFH', 'FHFG']"
1,26,0,1.0,0.9762504936564125,"['SFHF', 'FHFF', 'FFFF', 'FFFG']"
1,79,0,1.0,0.9445131481500655,"['SFFH', 'FFHF', 'HFFF', 'HFHG']"
1,75,0,1.0,0.9559328248389055,"['SFHF', 'FFHH', 'FFFF', 'FFHG']"
1,9,0,1.0,0.79346393184295,"['SFFF', 'HHFH', 'FFFF', 'HFFG']"
1,96,0,1.0,0.9762504936564125,"['SFFF', 'FFHF', 'HHFF', 'FFHG']"
1,13,0,0.0,0.0,"['SHFF', 'FFHH', 'FFFF', 'HHFG']"
1,40,0,1.0,0.9473552137914398,"['SFFF', 'HFFH', 'FHFH', 'HHFG']"
1,95,0,1.0,0.9762504936564125,"['SFHH', 'HFFH', 'HFFF', 'FHFG']"
1,29,0,0.0,0.0,"['SFFF', 'FHHH', 'FFFF', 'HFHG']"
1,40,0,1.0,0.9193151828650342,"['SFHF', 'FFFF', 'HFFH', 'HHFG']"
1,12,0,0.0,0.0,"['SFHF', 'FFFH', 'FFFH', 'HHFG']"
1,96,0,1.0,0.8947894553945313,"['SFFH', 'FHFF', 'HFFH', 'FFFG']"
1,58,0,1.0,0.9645880999032158,"['SFFF', 'HHFF', 'HFHF', 'FFFG']"
1,74,0,1.0,0.9616943356035061,"['SFFF', 'HHFH', 'HHFH', 'HHFG']"
1,5,0,0.0,0.0,"['SFFF', 'HFFH', 'HFHH', 'HFFG']"
1,47,0,1.0,0.9674905716180701,"['SHHF', 'FHHH', 'FFFH', 'FFFG']"
1,86,0,1.0,0.9616943356035061,"['SHHF', 'FFFH', 'FHFF', 'FFFG']"
1,59,0,1.0,0.8300415167526705,"['SFHF', 'FHFF', 'FFFF', 'HFHG']"
1,39,0,1.0,0.9220814271464737,"['SFHF', 'HFFH', 'FFHF', 'HFFG']"
1,16,0,0.0,0.0,"['SFHF', 'HFHH', 'HFFF', 'HFHG']"
