Temperature,Simulations,Return,Discounted Return,Map
1,88,0,1.0,0.9762504936564125,"['SHFF', 'FHFF', 'FFHH', 'FFFG']"
1,20,0,0.0,0.0,"['SHHF', 'FFFH', 'HHFH', 'FFFG']"
1,88,0,0.0,0.0,"['SHFH', 'FFFH', 'HHFF', 'HFHG']"
1,88,0,1.0,0.78398512608332,"['SHFF', 'FFHH', 'HFFF', 'HFHG']"
1,60,0,0.0,0.0,"['SFHF', 'FHFH', 'FFFF', 'FHHG']"
1,39,0,1.0,0.8657003616774767,"['SFFF', 'HFFF', 'HHFH', 'HHFG']"
1,11,0,0.0,0.0,"['SHFF', 'FHFF', 'FHFH', 'FFFG']"
1,36,0,0.0,0.0,"['SHHH', 'FHFF', 'FHHF', 'FFFG']"
1,63,0,1.0,0.8867604854519608,"['SHHF', 'FHFH', 'FFFF', 'HHFG']"
1,77,0,1.0,0.9304302024748964,"['SHHF', 'FFFH', 'HHFF', 'FFFG']"
1,34,0,1.0,0.9276389118674717,"['SFFH', 'FHFH', 'HHFH', 'HFFG']"
1,7,0,0.0,0.0,"['SHFF', 'FFHH', 'HFFF', 'FFHG']"
1,67,0,1.0,0.9559328248389055,"['SFHH', 'HFFF', 'FHHF', 'FFFG']"
1,50,0,1.0,0.9645880999032158,"['SFFF', 'FHHF', 'FHFF', 'FHHG']"
1,67,0,1.0,0.9674905716180701,"['SFFF', 'HHFH', 'FHFF', 'HHFG']"
1,78,0,1.0,0.9165572373164391,"['SHHF', 'FFFH', 'HHFH', 'HHFG']"
1,98,0,1.0,0.985089730404757,"['SHHF', 'FFFH', 'HFFF', 'HFFG']"
1,35,0,1.0,0.8947894553945313,"['SFFF', 'FFHF', 'HHFF', 'HFFG']"
1,12,0,1.0,0.798246224976786,"['SFFF', 'HFHH', 'HFHH', 'FFFG']"
1,53,0,1.0,0.9165572373164391,"['SFHF', 'FFFH', 'HHFF', 'FFFG']"
1,74,0,1.0,0.9056079456455165,"['SFHF', 'FFFF', 'FFHF', 'FFHG']"
1,75,0,1.0,0.9445131481500655,"['SFFH', 'HFHF', 'HFFF', 'HFHG']"
1,25,0,0.0,0.0,"['SHHF', 'FFFH', 'HHFF', 'FFFG']"
1,29,0,1.0,0.93603800616986,"['SFFF', 'HHHF', 'HHFF', 'FHHG']"
