Temperature,Simulations,Return,Discounted Return,Map
1,87,0,1.0,0.7958514863018556,"['SHFF', 'FFFH', 'HHFF', 'HHHG']"
1,14,0,0.0,0.0,"['SHFH', 'FHFF', 'FFHH', 'FFFG']"
1,81,0,1.0,0.8921050870283477,"['SHFH', 'FFFH', 'FHFF', 'HFFG']"
1,63,0,1.0,0.78398512608332,"['SHFF', 'FFHH', 'FFHH', 'HFFG']"
1,35,0,1.0,0.93603800616986,"['SFHH', 'FFFH', 'HFFF', 'FHFG']"
1,54,0,1.0,0.9276389118674717,"['SFHH', 'FHFF', 'FHHH', 'FFFG']"
1,34,0,1.0,0.985089730404757,"['SFHF', 'FFFF', 'HFFF', 'HHHG']"
1,54,0,1.0,0.8631032605924442,"['SFHH', 'FFFF', 'FHHF', 'FFHG']"
1,45,0,0.0,0.0,"['SFHF', 'FHHF', 'FFFF', 'HHFG']"
1,4,0,0.0,0.0,"['SFFH', 'HFFF', 'HHFH', 'FFFG']"
1,72,0,1.0,0.9791880578299021,"['SHHF', 'FHFH', 'FFFF', 'FFFG']"
1,78,0,1.0,0.9674905716180701,"['SFHF', 'HFHH', 'FFFH', 'HFFG']"
1,32,0,1.0,0.93603800616986,"['SFFH', 'FHFH', 'FFFF', 'FFFG']"
1,9,0,0.0,0.0,"['SHFF', 'FFFF', 'FFFF', 'FFHG']"
1,100,0,1.0,0.9821344612135428,"['SFFH', 'HFHH', 'HFHH', 'FFFG']"
1,8,0,0.0,0.0,"['SHFF', 'FHHH', 'FFHF', 'HFFG']"
1,81,0,1.0,0.9674905716180701,"['SHFF', 'FHFF', 'FFFF', 'FHHG']"
1,33,0,1.0,0.837556937769312,"['SFFF', 'FHFH', 'HFFF', 'HHFG']"
1,22,0,1.0,0.9762504936564125,"['SFFH', 'HFFF', 'HHFF', 'FFFG']"
1,4,0,0.0,0.0,"['SFFF', 'FFFH', 'FHFF', 'FHHG']"
1,57,0,1.0,0.9220814271464737,"['SFFF', 'FFFH', 'HHFF', 'FHHG']"
1,27,0,0.0,0.0,"['SHHH', 'FHFH', 'FFFF', 'HFHG']"
1,47,0,1.0,0.9332298921513504,"['SFFF', 'FFFH', 'FFFF', 'HFFG']"
1,4,0,0.0,0.0,"['SFFF', 'HFFH', 'FHFH', 'HFFG']"
1,31,0,0.0,0.0,"['SFFH', 'HFHF', 'FFFH', 'FHFG']"
1,37,0,1.0,0.9445131481500655,"['SFFF', 'HFFH', 'FFFF', 'HFFG']"
1,46,0,1.0,0.9733217421754432,"['SHFH', 'FFHF', 'FFFH', 'FFFG']"
1,78,0,1.0,0.9645880999032158,"['SFFH', 'HFFH', 'FFFH', 'FHFG']"
1,8,0,0.0,0.0,"['SFFH', 'HFFH', 'FFHH', 'FFFG']"
1,43,0,0.0,0.0,"['SHFH', 'FFFF', 'FHHF', 'HHFG']"
1,93,0,1.0,0.9733217421754432,"['SHHF', 'FHFF', 'FFHF', 'FFFG']"
1,59,0,1.0,0.9791880578299021,"['SFFF', 'HFFF', 'FHFF', 'HHHG']"
1,94,0,1.0,0.9762504936564125,"['SHHF', 'FFFF', 'FFFF', 'HHHG']"
1,22,0,1.0,0.9056079456455165,"['SFHF', 'FFFF', 'HFFF', 'FHFG']"
1,89,0,0.0,0.0,"['SHFF', 'FFFH', 'HFHH', 'FFFG']"
1,26,0,1.0,0.9138075656044898,"['SFFF', 'HFHF', 'FFHF', 'HHHG']"
1,65,0,1.0,0.9530650263643888,"['SHFF', 'FFFF', 'HFHF', 'FFHG']"
1,3,0,1.0,0.8947894553945313,"['SFFF', 'FHHF', 'FFHF', 'FFFG']"
1,3,0,0.0,0.0,"['SFFH', 'HFHF', 'FFHH', 'FFFG']"
1,52,0,0.0,0.0,"['SHFH', 'FFFH', 'HFHF', 'HFFG']"
1,64,0,1.0,0.9821344612135428,"['SFHH', 'FFFH', 'FFFF', 'HFHG']"
1,70,0,1.0,0.9704017769489168,"['SFHF', 'HFFF', 'FFFH', 'FFFG']"
1,12,0,0.0,0.0,"['SHFF', 'FHHH', 'FHFF', 'FFFG']"
1,12,0,0.0,0.0,"['SFFH', 'FFFH', 'FHHH', 'FFFG']"
1,88,0,1.0,0.9704017769489168,"['SFHH', 'HFFF', 'FHHF', 'FFHG']"
1,75,0,0.0,0.0,"['SHHF', 'FFHF', 'HFFF', 'HFHG']"
