Temperature,Simulations,Return,Discounted Return,Map
1,23,0,1.0,0.9762504936564125,"['SFFF', 'HHHF', 'HHFF', 'HFHG']"
1,94,0,1.0,0.9791880578299021,"['SFFF', 'FHHF', 'HHHF', 'FHFG']"
1,57,0,1.0,0.9276389118674717,"['SFFH', 'HHFH', 'HHFH', 'FHFG']"
1,47,0,0.0,0.0,"['SHHF', 'FFHH', 'FFFH', 'HFFG']"
1,81,0,1.0,0.9193151828650342,"['SFFH', 'HFHH', 'FFFH', 'HFFG']"
1,67,0,1.0,0.9762504936564125,"['SFFF', 'FFFF', 'HHFF', 'FFFG']"
1,91,0,1.0,0.9674905716180701,"['SHFF', 'FHFF', 'FFFF', 'FFHG']"
1,87,0,1.0,0.9821344612135428,"['SHFH', 'FHFF', 'FFFF', 'FHFG']"
1,27,0,1.0,0.9588092525966956,"['SFFH', 'FFFH', 'FHFF', 'HFFG']"
1,34,0,0.0,0.0,"['SFHH', 'FFFH', 'FFFF', 'HHHG']"
1,80,0,1.0,0.8502341582884777,"['SHHF', 'FFFF', 'FHHF', 'HHFG']"
1,34,0,1.0,0.9791880578299021,"['SHHH', 'FFFF', 'HFFF', 'FFFG']"
1,1,0,0.0,0.0,"['SHHF', 'FFHF', 'HFFH', 'HFFG']"
1,47,0,1.0,0.9416796087056153,"['SFFH', 'HHFF', 'FFHF', 'HHFG']"
1,74,0,1.0,0.8947894553945313,"['SHFF', 'FFFH', 'FFFH', 'HHFG']"
1,3,0,0.0,0.0,"['SFFH', 'HHFH', 'FFFH', 'HHFG']"
1,20,0,1.0,0.7584982177744161,"['SFFH', 'FHHF', 'FFHH', 'FFFG']"
1,73,0,1.0,0.9704017769489168,"['SFFH', 'HFFF', 'FHHF', 'HFHG']"
1,94,0,1.0,0.837556937769312,"['SFHF', 'HFFH', 'HHFF', 'HFHG']"
1,37,0,1.0,0.9416796087056153,"['SFFH', 'FHFF', 'HHHF', 'FFFG']"
1,67,0,1.0,0.9821344612135428,"['SFHH', 'HFFF', 'HFFF', 'HFHG']"
1,48,0,1.0,0.7746195551602378,"['SFFH', 'HHFH', 'FHFH', 'HHFG']"
1,52,0,1.0,0.8814479033836181,"['SHFH', 'FFHH', 'HFFF', 'HFFG']"
1,5,0,0.0,0.0,"['SFHH', 'HFFF', 'HFFH', 'HFFG']"
1,49,0,1.0,0.8502341582884777,"['SHHF', 'FFHF', 'HFFH', 'FFFG']"
1,20,0,1.0,0.8947894553945313,"['SHHF', 'FHFH', 'FFHF', 'FFFG']"
1,91,0,1.0,0.9473552137914398,"['SFHH', 'FFFF', 'HHFF', 'FHHG']"
1,59,0,1.0,0.9821344612135428,"['SFFF', 'FHFF', 'FHHF', 'HFFG']"
1,8,0,1.0,0.7562227231210928,"['SFFH', 'HHFF', 'HFFF', 'HHFG']"
1,20,0,1.0,0.8426049842298329,"['SFFH', 'HHFH', 'HFFH', 'FFFG']"
1,19,0,0.0,0.0,"['SHFF', 'FFFH', 'HFFF', 'FHHG']"
1,92,0,0.0,0.0,"['SHHF', 'FFFH', 'HHFH', 'FFFG']"
1,89,0,1.0,0.93603800616986,"['SFHF', 'FFHH', 'FFFH', 'FHFG']"
1,36,0,0.0,0.0,"['SFHH', 'FFFF', 'FFHF', 'HHHG']"
1,13,0,1.0,0.8814479033836181,"['SFFF', 'FHHF', 'HHHF', 'HHHG']"
1,31,0,1.0,0.9588092525966956,"['SFFF', 'FFHF', 'FHHF', 'HHHG']"
1,55,0,1.0,0.9762504936564125,"['SFFF', 'FFFF', 'FFFF', 'FFHG']"
1,90,0,1.0,0.9502058312852957,"['SFHF', 'FFFF', 'FFHF', 'HHFG']"
1,97,0,1.0,0.985089730404757,"['SFFH', 'HFFF', 'HFHF', 'HFHG']"
1,84,0,1.0,0.9445131481500655,"['SFFH', 'HFFH', 'HHFF', 'HHHG']"
1,53,0,1.0,0.9762504936564125,"['SFFF', 'HHFF', 'HHHF', 'HHFG']"
1,15,0,1.0,0.9762504936564125,"['SHFH', 'FHFF', 'FFFF', 'FFFG']"
1,2,0,0.0,0.0,"['SFFF', 'HHFF', 'FFFH', 'HFFG']"
1,83,0,1.0,0.9821344612135428,"['SHHF', 'FFFH', 'FFHF', 'FFFG']"
1,31,0,0.0,0.0,"['SHFF', 'FFHH', 'HFHH', 'FFFG']"
1,90,0,1.0,0.9588092525966956,"['SHFF', 'FFFF', 'FHHF', 'HHHG']"
1,60,0,1.0,0.9791880578299021,"['SFFF', 'HFHF', 'FHFF', 'HFHG']"
1,90,0,1.0,0.9733217421754432,"['SHHF', 'FFHF', 'FHFH', 'FFFG']"
1,17,0,1.0,0.9821344612135428,"['SHHH', 'FHFH', 'FFFF', 'HFFG']"
