Temperature,Simulations,Return,Discounted Return,Map
1,37,0,1.0,0.9645880999032158,"['SFFH', 'FFFH', 'HFFF', 'FHHG']"
1,8,0,0.0,0.0,"['SFFF', 'HFHH', 'FFFH', 'HHFG']"
1,50,0,1.0,0.7816331707050701,"['SHFH', 'FFFF', 'HHHF', 'HHFG']"
1,41,0,1.0,0.8476834558136123,"['SHHH', 'FHFF', 'FFFF', 'HFFG']"
1,90,0,1.0,0.9762504936564125,"['SFFH', 'FFHF', 'FFFF', 'HHFG']"
1,23,0,0.0,0.0,"['SHFH', 'FFHH', 'FFFH', 'FHFG']"
1,48,0,1.0,0.9704017769489168,"['SHHH', 'FFFF', 'FHFF', 'FFFG']"
1,19,0,1.0,0.9416796087056153,"['SFFF', 'HHFF', 'FFFF', 'FHFG']"
1,21,0,0.0,0.0,"['SFFH', 'HFHH', 'HFFH', 'FHFG']"
1,96,0,1.0,0.9762504936564125,"['SFHH', 'FHFH', 'FHFH', 'FFFG']"
1,57,0,1.0,0.9791880578299021,"['SHFF', 'FHHF', 'FHFH', 'FFFG']"
1,67,0,1.0,0.9704017769489168,"['SHHH', 'FHFF', 'FFHH', 'FFFG']"
1,50,0,1.0,0.9762504936564125,"['SFFF', 'HFFF', 'FFHF', 'HFFG']"
1,98,0,1.0,0.9791880578299021,"['SFHF', 'FFFF', 'FHHF', 'FFHG']"
1,14,0,0.0,0.0,"['SFFF', 'HFHH', 'HFFH', 'FHFG']"
1,3,0,0.0,0.0,"['SFFH', 'FHHF', 'FFFH', 'FHFG']"
1,38,0,1.0,0.8683052775100066,"['SFHF', 'HFFF', 'FHHF', 'FHFG']"
1,36,0,0.0,0.0,"['SFHF', 'HFFH', 'HHFH', 'FFFG']"
1,13,0,1.0,0.8631032605924442,"['SFFH', 'HHFH', 'HHFF', 'FFFG']"
1,85,0,1.0,0.9674905716180701,"['SFFF', 'FHFF', 'HFHF', 'HFFG']"
1,4,0,0.0,0.0,"['SFHH', 'FFFF', 'FHFF', 'HFHG']"
1,100,0,1.0,0.9762504936564125,"['SFFH', 'FFFH', 'FFFF', 'HFFG']"
