Temperature,Simulations,Return,Discounted Return,Map
1,67,0,1.0,0.857932408958235,"['SFFF', 'FFHF', 'FFFH', 'HHFG']"
1,91,0,1.0,0.9733217421754432,"['SFHF', 'HFFF', 'HHFF', 'FHHG']"
1,37,0,1.0,0.9502058312852957,"['SFHF', 'FHFF', 'FFHF', 'FFFG']"
1,58,0,1.0,0.9616943356035061,"['SFHF', 'FFFF', 'HFHF', 'FFFG']"
1,31,0,1.0,0.9762504936564125,"['SFFF', 'HHFF', 'HFFF', 'HFFG']"
1,84,0,1.0,0.985089730404757,"['SFHH', 'FFFF', 'HHHF', 'HFHG']"
1,82,0,1.0,0.9502058312852957,"['SFHH', 'HFFF', 'HFHH', 'HFFG']"
1,58,0,1.0,0.8657003616774767,"['SFFH', 'FHFF', 'FHHH', 'FFFG']"
1,85,0,1.0,0.9821344612135428,"['SFFF', 'HHHF', 'FFHF', 'HFHG']"
1,65,0,1.0,0.9083329444789534,"['SFHH', 'HFHH', 'FFHF', 'HFFG']"
1,61,0,1.0,0.9220814271464737,"['SHFH', 'FFFH', 'HHFF', 'HFFG']"
1,52,0,1.0,0.8974819010978248,"['SFFH', 'HFHF', 'FFFF', 'HFHG']"
1,11,0,1.0,0.79346393184295,"['SFFF', 'HFFH', 'HHFH', 'FHFG']"
1,20,0,0.0,0.0,"['SFFH', 'FFFH', 'FHHH', 'FFFG']"
1,74,0,1.0,0.985089730404757,"['SFFF', 'HHHF', 'HFFF', 'FFHG']"
1,94,0,1.0,0.985089730404757,"['SFHH', 'FFHF', 'FHHH', 'FFFG']"
1,93,0,1.0,0.9821344612135428,"['SFHH', 'HFHF', 'FFFF', 'HFFG']"
1,61,0,1.0,0.9791880578299021,"['SFHF', 'FFHF', 'FFFF', 'HFFG']"
1,13,0,1.0,0.9416796087056153,"['SFFH', 'FHFH', 'HFFF', 'FHFG']"
1,26,0,1.0,0.9821344612135428,"['SHHH', 'FHFF', 'FFFH', 'FFFG']"
1,79,0,1.0,0.9388545698794984,"['SHHF', 'FFHF', 'FFFF', 'HFHG']"
1,74,0,1.0,0.9821344612135428,"['SHHF', 'FHFF', 'FHFH', 'FFFG']"
1,21,0,0.0,0.0,"['SHHH', 'FHFH', 'FFFF', 'HHFG']"
1,9,0,0.0,0.0,"['SHHF', 'FFHH', 'FFHH', 'FFFG']"
1,39,0,1.0,0.7427123967299725,"['SHFF', 'FFHF', 'FFFF', 'FFHG']"
1,58,0,0.0,0.0,"['SHHF', 'FFHF', 'FHHH', 'FFFG']"
1,67,0,1.0,0.9388545698794984,"['SFFH', 'FHFF', 'HFHF', 'FHFG']"
1,64,0,1.0,0.9473552137914398,"['SFHF', 'HFFH', 'FHFF', 'HHFG']"
1,15,0,0.0,0.0,"['SHHF', 'FFHF', 'FHHH', 'FFFG']"
1,50,0,1.0,0.9645880999032158,"['SFHH', 'FFFF', 'FHFF', 'FHFG']"
1,100,0,1.0,0.9674905716180701,"['SFHF', 'FFHH', 'FFHH', 'HFFG']"
1,81,0,1.0,0.9704017769489168,"['SFFF', 'HFHF', 'HFFF', 'FHHG']"
1,99,0,1.0,0.9473552137914398,"['SFFF', 'FFFH', 'FFFH', 'FHFG']"
1,26,0,1.0,0.8657003616774767,"['SFFH', 'HHFF', 'FFFH', 'HFFG']"
1,100,0,1.0,0.8476834558136123,"['SHHF', 'FHHF', 'FFFH', 'FHFG']"
1,71,0,1.0,0.9762504936564125,"['SHFF', 'FFFF', 'FFFH', 'FFFG']"
1,37,0,0.0,0.0,"['SHHF', 'FFHF', 'FFFH', 'FHFG']"
1,28,0,1.0,0.9616943356035061,"['SHFH', 'FHHF', 'FFHF', 'FFFG']"
1,73,0,1.0,0.9821344612135428,"['SHHH', 'FFFH', 'HFFF', 'FHHG']"
1,18,0,1.0,0.9138075656044898,"['SFFF', 'HFFH', 'FHFF', 'FFHG']"
1,54,0,1.0,0.8657003616774767,"['SFHH', 'HFFH', 'HHFF', 'FHFG']"
1,64,0,1.0,0.9762504936564125,"['SFFF', 'HFFF', 'FFHF', 'FHHG']"
1,47,0,1.0,0.9762504936564125,"['SFHH', 'FFFF', 'FFHH', 'FFFG']"
1,12,0,0.0,0.0,"['SHHF', 'FFFF', 'FFHF', 'FFFG']"
1,48,0,1.0,0.9559328248389055,"['SFFH', 'HFFF', 'FFHF', 'HFFG']"
1,59,0,1.0,0.8947894553945313,"['SFFH', 'HFFF', 'FFHF', 'HHHG']"
1,37,0,1.0,0.9445131481500655,"['SHHH', 'FHHF', 'FFFH', 'FFFG']"
1,94,0,1.0,0.9645880999032158,"['SFHH', 'FFFF', 'FHHF', 'FFHG']"
1,2,0,0.0,0.0,"['SHFH', 'FFFF', 'HHHF', 'HHHG']"
1,61,0,1.0,0.9530650263643888,"['SHHF', 'FFFF', 'FHHH', 'FFFG']"
1,87,0,0.0,0.0,"['SHFF', 'FFFH', 'HHFF', 'FHHG']"
1,78,0,0.0,0.0,"['SHFH', 'FHFF', 'FFFH', 'HHFG']"
1,14,0,0.0,0.0,"['SFFH', 'FHHF', 'FFFF', 'HHFG']"
1,99,0,0.0,0.0,"['SHFH', 'FFFF', 'FHFF', 'HHHG']"
1,59,0,0.0,0.0,"['SFHH', 'FFFF', 'FHHF', 'FHHG']"
1,49,0,1.0,0.985089730404757,"['SFFF', 'HHHF', 'HHFF', 'FFFG']"
1,76,0,1.0,0.9791880578299021,"['SHFF', 'FFHF', 'FFFF', 'HHFG']"
1,30,0,0.0,0.0,"['SFFH', 'FHHF', 'FHHH', 'FFFG']"
1,98,0,1.0,0.9821344612135428,"['SFFF', 'FFFF', 'HHHF', 'FHHG']"
1,9,0,0.0,0.0,"['SHFH', 'FFFF', 'HFFH', 'HHFG']"
1,14,0,0.0,0.0,"['SHHH', 'FFHF', 'HFHF', 'FFFG']"
1,78,0,1.0,0.9821344612135428,"['SFHF', 'FFFH', 'FFFF', 'FFFG']"
1,9,0,0.0,0.0,"['SFFH', 'HFHF', 'HFHH', 'FFFG']"
1,74,0,1.0,0.9821344612135428,"['SFFH', 'FFFF', 'FFFF', 'HFFG']"
1,96,0,1.0,0.9083329444789534,"['SFHF', 'FFHF', 'HFFH', 'FHFG']"
1,4,0,0.0,0.0,"['SHHH', 'FFFH', 'FFFF', 'FHHG']"
1,49,0,1.0,0.9502058312852957,"['SFHH', 'FFHH', 'FFFH', 'FHFG']"
