Temperature,Simulations,Return,Discounted Return,Map
1,80,0,0.0,0.0,"['SHHH', 'FFFH', 'HFHH', 'FFFG']"
1,69,0,1.0,0.8974819010978248,"['SFFH', 'HHFH', 'HFFF', 'HFHG']"
1,5,0,0.0,0.0,"['SFFH', 'HFFH', 'FFFF', 'FFHG']"
1,49,0,1.0,0.9704017769489168,"['SHHH', 'FHFF', 'FFFF', 'HFFG']"
1,80,0,1.0,0.9762504936564125,"['SFFF', 'HFHF', 'FFFF', 'HHHG']"
1,77,0,1.0,0.9473552137914398,"['SFFF', 'FFFH', 'FHFF', 'HHHG']"
1,97,0,1.0,0.9791880578299021,"['SHFF', 'FFFH', 'HFFF', 'HHFG']"
1,30,0,1.0,0.9645880999032158,"['SFHH', 'FFFF', 'HFHH', 'FFFG']"
1,87,0,1.0,0.9616943356035061,"['SHFH', 'FFFF', 'HFFH', 'HFFG']"
1,30,0,1.0,0.9616943356035061,"['SFFF', 'HHHF', 'HHFF', 'FFHG']"
1,20,0,0.0,0.0,"['SFHH', 'HFFH', 'HFFF', 'HFHG']"
1,63,0,1.0,0.9165572373164391,"['SFHF', 'FFHF', 'FFHF', 'HFFG']"
1,98,0,1.0,0.9704017769489168,"['SHHF', 'FFFF', 'HFFH', 'HHFG']"
1,20,0,1.0,0.8631032605924442,"['SFFH', 'FFFH', 'FFFF', 'HFHG']"
1,55,0,1.0,0.9616943356035061,"['SFFH', 'FFFF', 'FHFF', 'FFHG']"
1,51,0,1.0,0.9530650263643888,"['SHHH', 'FFFF', 'HFFF', 'FHHG']"
1,11,0,1.0,0.8275513922024125,"['SFFH', 'HHFH', 'HFFH', 'HFFG']"
1,33,0,1.0,0.9762504936564125,"['SFFH', 'HHFH', 'FFFF', 'FFHG']"
1,41,0,1.0,0.9332298921513504,"['SFFH', 'HFFF', 'HFHF', 'HFHG']"
1,86,0,1.0,0.9445131481500655,"['SFFH', 'HFFF', 'FFHF', 'FHHG']"
1,19,0,0.0,0.0,"['SFHH', 'HFFH', 'HFHF', 'FFFG']"
1,21,0,1.0,0.9473552137914398,"['SFFF', 'FFFF', 'HHFF', 'FHHG']"
1,78,0,1.0,0.985089730404757,"['SFFF', 'FHHF', 'HFFF', 'FHFG']"
1,38,0,1.0,0.8657003616774767,"['SFFF', 'FHFH', 'HFFH', 'HFFG']"
1,45,0,0.0,0.0,"['SFHF', 'FHHH', 'FFFF', 'HFHG']"
1,8,0,0.0,0.0,"['SFHF', 'HFFF', 'FHHF', 'HFFG']"
1,37,0,1.0,0.9473552137914398,"['SHFH', 'FFFH', 'HHFF', 'HHFG']"
1,6,0,1.0,0.8553586117313603,"['SFFF', 'HFHF', 'HHFF', 'HFHG']"
1,65,0,0.0,0.0,"['SHHH', 'FFFF', 'HHFH', 'FFFG']"
1,26,0,0.0,0.0,"['SHHH', 'FHHF', 'FFFF', 'FHFG']"
1,64,0,1.0,0.9220814271464737,"['SFFH', 'HFFH', 'HHFH', 'FHFG']"
1,99,0,1.0,0.9473552137914398,"['SHHF', 'FHHH', 'FFFF', 'FHFG']"
1,17,0,0.0,0.0,"['SFFH', 'HFHH', 'FFFH', 'FHFG']"
1,67,0,1.0,0.9588092525966956,"['SHHF', 'FFHH', 'HFHF', 'FFFG']"
1,17,0,1.0,0.9304302024748964,"['SFFF', 'FHFF', 'HFFF', 'HFFG']"
1,10,0,0.0,0.0,"['SHHF', 'FFFF', 'HFHH', 'FFFG']"
1,25,0,0.0,0.0,"['SFHH', 'HFFF', 'HFHF', 'HHHG']"
