Temperature,Simulations,Return,Discounted Return,Map
1,37,0,1.0,0.9001824484431542,"['SFFH', 'HHFH', 'HFFH', 'FFFG']"
1,71,0,1.0,0.9445131481500655,"['SFHH', 'HFFF', 'HFHF', 'FHFG']"
1,28,0,1.0,0.93603800616986,"['SFFH', 'HFFH', 'FHFH', 'HHFG']"
1,4,0,0.0,0.0,"['SHFF', 'FFFH', 'FFFH', 'HHFG']"
1,12,0,1.0,0.9388545698794984,"['SFFF', 'FFFF', 'HFHF', 'HFFG']"
1,73,0,1.0,0.93603800616986,"['SHFH', 'FHHF', 'FHHH', 'FFFG']"
1,25,0,1.0,0.8127667407072335,"['SFHF', 'FFFF', 'HFHF', 'HFHG']"
1,83,0,1.0,0.9645880999032158,"['SHFH', 'FFFF', 'HHHF', 'HHHG']"
1,85,0,1.0,0.9332298921513504,"['SFFF', 'HFHH', 'FFFF', 'FHFG']"
1,73,0,1.0,0.9616943356035061,"['SFHF', 'HFFH', 'FFFH', 'FHFG']"
1,80,0,1.0,0.9821344612135428,"['SFFF', 'HFFH', 'HFFF', 'HFHG']"
1,56,0,1.0,0.9588092525966956,"['SFHF', 'HFFF', 'FHFF', 'FFFG']"
1,94,0,1.0,0.9791880578299021,"['SFFH', 'FFFH', 'HFFF', 'FFFG']"
1,4,0,0.0,0.0,"['SFFH', 'FFFF', 'FHFF', 'FFHG']"
1,74,0,1.0,0.9502058312852957,"['SFHF', 'HFFF', 'HHFF', 'FFFG']"
1,45,0,1.0,0.9193151828650342,"['SHHF', 'FHFH', 'FFFH', 'HFFG']"
1,17,0,1.0,0.9616943356035061,"['SFFH', 'FFFF', 'FFFF', 'FHHG']"
1,69,0,1.0,0.9733217421754432,"['SFHH', 'FFFF', 'HFHH', 'FFFG']"
1,57,0,1.0,0.9791880578299021,"['SHFH', 'FFFH', 'FFHH', 'FFFG']"
1,61,0,1.0,0.90289112180858,"['SFFF', 'HHFH', 'FHFH', 'HFFG']"
1,89,0,1.0,0.9616943356035061,"['SFFF', 'FFHF', 'FFFF', 'FHFG']"
1,31,0,0.0,0.0,"['SHFH', 'FFHH', 'HFHF', 'HFFG']"
1,29,0,0.0,0.0,"['SHHH', 'FFFH', 'HHFH', 'HFFG']"
1,18,0,0.0,0.0,"['SFFH', 'HFFH', 'HFHH', 'HFFG']"
1,54,0,1.0,0.9445131481500655,"['SFFF', 'HHFH', 'FHFH', 'FHFG']"
1,9,0,0.0,0.0,"['SFHH', 'FFHF', 'HFFF', 'FFHG']"
1,98,0,1.0,0.985089730404757,"['SFFH', 'HHFH', 'HFFF', 'FHHG']"
1,76,0,1.0,0.78398512608332,"['SFFH', 'FFHF', 'HFFF', 'HHHG']"
1,95,0,1.0,0.9821344612135428,"['SFHF', 'FFFF', 'FFFF', 'FFHG']"
1,99,0,1.0,0.9530650263643888,"['SFFH', 'HHFF', 'FHHF', 'FFFG']"
1,59,0,1.0,0.985089730404757,"['SHFH', 'FFHH', 'FFFF', 'FFHG']"
1,1,0,0.0,0.0,"['SFFH', 'HFHH', 'HFHH', 'FFFG']"
1,69,0,1.0,0.767668872977057,"['SFHH', 'HFFH', 'FHFH', 'HHFG']"
1,18,0,0.0,0.0,"['SHFH', 'FHFH', 'FFFH', 'FHFG']"
1,81,0,1.0,0.9791880578299021,"['SFHF', 'FFHF', 'HFFF', 'HFFG']"
1,81,0,1.0,0.9733217421754432,"['SHHF', 'FFFH', 'FFFH', 'FHFG']"
1,67,0,1.0,0.9674905716180701,"['SFHF', 'FFFH', 'FHFH', 'FHFG']"
1,21,0,1.0,0.767668872977057,"['SFFH', 'FFFH', 'FFFH', 'HHFG']"
