Temperature,Simulations,Return,Discounted Return,Map
1,21,0,0.0,0.0,"['SHHH', 'FFFF', 'FFHF', 'HHHG']"
1,39,0,0.0,0.0,"['SHFF', 'FFHH', 'HFHF', 'HFFG']"
1,66,0,1.0,0.9165572373164391,"['SHFF', 'FFFH', 'HFHF', 'FFFG']"
1,8,0,1.0,0.9473552137914398,"['SHHH', 'FFFF', 'FFFF', 'HHFG']"
1,36,0,1.0,0.9674905716180701,"['SFFH', 'FFFF', 'FFFF', 'HFHG']"
1,10,0,0.0,0.0,"['SHFH', 'FFFF', 'HHHF', 'FHFG']"
1,23,0,1.0,0.9616943356035061,"['SHFF', 'FFHF', 'FFFF', 'FHFG']"
1,9,0,0.0,0.0,"['SFFF', 'HFFF', 'HHFH', 'HHFG']"
1,63,0,1.0,0.8078974551636565,"['SHFH', 'FFFH', 'HFFH', 'FHFG']"
1,75,0,1.0,0.985089730404757,"['SFFF', 'HFHH', 'FFFF', 'FFFG']"
1,38,0,1.0,0.9616943356035061,"['SFFH', 'HHFH', 'FHFF', 'HFHG']"
1,15,0,1.0,0.835044266956004,"['SFFH', 'HFFF', 'HFFF', 'HHHG']"
1,61,0,1.0,0.9791880578299021,"['SHHF', 'FHHF', 'FFFH', 'FFFG']"
1,65,0,1.0,0.9530650263643888,"['SFFF', 'FHHF', 'FFHF', 'HHHG']"
1,60,0,1.0,0.985089730404757,"['SHFH', 'FHFH', 'FFFH', 'HFFG']"
1,60,0,1.0,0.90289112180858,"['SFFH', 'HHFH', 'HHFF', 'HHFG']"
1,84,0,1.0,0.9674905716180701,"['SHFF', 'FFFF', 'HHHF', 'HFHG']"
1,86,0,1.0,0.9674905716180701,"['SFFF', 'HFHF', 'HFFH', 'HFFG']"
1,70,0,1.0,0.9821344612135428,"['SFFH', 'HFFF', 'FHHF', 'FFFG']"
1,47,0,1.0,0.9791880578299021,"['SFHF', 'FHFF', 'FFHH', 'FFFG']"
1,27,0,1.0,0.985089730404757,"['SFFF', 'HHFF', 'HFFF', 'FFFG']"
1,2,0,1.0,0.9588092525966956,"['SFFH', 'FFFH', 'HFFF', 'FFFG']"
1,34,0,1.0,0.8894287717672626,"['SFHF', 'FFFF', 'FHHH', 'FFFG']"
1,11,0,0.0,0.0,"['SFHH', 'FHHF', 'FFFH', 'FHFG']"
1,91,0,1.0,0.985089730404757,"['SFFF', 'HFFF', 'FHFF', 'FHHG']"
1,75,0,0.0,0.0,"['SHFF', 'FFFH', 'FHFF', 'HHHG']"
1,13,0,0.0,0.0,"['SHFF', 'FFFF', 'FFHF', 'FHFG']"
1,80,0,1.0,0.9821344612135428,"['SFFH', 'FFFF', 'HHFF', 'FFFG']"
1,93,0,0.0,0.0,"['SHHH', 'FFFH', 'HFHH', 'HFFG']"
1,83,0,1.0,0.8788035596734672,"['SHHH', 'FHHF', 'FFFF', 'FFHG']"
1,23,0,1.0,0.8894287717672626,"['SFFF', 'HFFH', 'HHFF', 'FHHG']"
