Temperature,Simulations,Return,Discounted Return,Map
1,64,0,1.0,0.9304302024748964,"['SFFH', 'FFFH', 'FHFF', 'HFFG']"
1,75,0,1.0,0.8921050870283477,"['SHFH', 'FFFF', 'HFHF', 'FFFG']"
1,18,0,1.0,0.9332298921513504,"['SFHH', 'HFHH', 'HFFF', 'HFFG']"
1,44,0,1.0,0.985089730404757,"['SFFF', 'FHFH', 'FFFF', 'HFFG']"
1,88,0,1.0,0.985089730404757,"['SFHF', 'HFHF', 'HFFF', 'FFFG']"
1,70,0,1.0,0.8867604854519608,"['SFHF', 'FFHH', 'FFFF', 'FHHG']"
1,35,0,1.0,0.9588092525966956,"['SFHF', 'FHFF', 'FHFH', 'FFFG']"
1,9,0,0.0,0.0,"['SHFH', 'FHFH', 'FHFH', 'FFFG']"
1,44,0,1.0,0.9733217421754432,"['SFFH', 'FHFF', 'HFFF', 'FFHG']"
1,58,0,1.0,0.9588092525966956,"['SFFF', 'HFHF', 'FHFF', 'FFHG']"
1,71,0,1.0,0.9791880578299021,"['SFFH', 'HFHH', 'FFFF', 'FHFG']"
1,53,0,1.0,0.8657003616774767,"['SFFF', 'HHFH', 'HFFF', 'FFHG']"
1,75,0,1.0,0.9821344612135428,"['SFFF', 'HHHF', 'FFFF', 'FFFG']"
1,78,0,1.0,0.9530650263643888,"['SFFF', 'FHHF', 'HFFF', 'HFFG']"
1,24,0,1.0,0.9530650263643888,"['SFFF', 'FFFH', 'FHFF', 'HFFG']"
1,23,0,0.0,0.0,"['SHFF', 'FFHF', 'HFFH', 'FFFG']"
1,84,0,1.0,0.9791880578299021,"['SFHF', 'FFFF', 'HFFF', 'FFFG']"
1,3,0,0.0,0.0,"['SFFH', 'FHHF', 'FFHF', 'HFFG']"
1,20,0,1.0,0.9588092525966956,"['SFFF', 'FHFF', 'FHFF', 'HFHG']"
1,43,0,0.0,0.0,"['SHFH', 'FFHF', 'FFHF', 'HFFG']"
1,81,0,1.0,0.9332298921513504,"['SHHH', 'FFHF', 'FFFH', 'FHFG']"
1,42,0,0.0,0.0,"['SFHH', 'HFFH', 'FHFH', 'HHFG']"
1,44,0,1.0,0.9559328248389055,"['SFFH', 'FHFH', 'HHFF', 'HFFG']"
1,77,0,1.0,0.9704017769489168,"['SFHH', 'HFHF', 'FFFF', 'HFFG']"
1,94,0,0.0,0.0,"['SHFF', 'FFFH', 'HFFF', 'HHHG']"
1,88,0,1.0,0.9645880999032158,"['SFFH', 'FFFF', 'FHHF', 'FHFG']"
1,1,0,0.0,0.0,"['SFFF', 'FFHF', 'HFHF', 'FHHG']"
1,74,0,1.0,0.9791880578299021,"['SFFF', 'HFFF', 'HHHF', 'FHFG']"
1,45,0,1.0,0.9733217421754432,"['SHFF', 'FFHH', 'HFFH', 'FFFG']"
1,57,0,1.0,0.837556937769312,"['SHHF', 'FFFF', 'FFHH', 'HFFG']"
1,99,0,1.0,0.985089730404757,"['SHHF', 'FFFF', 'HFFF', 'FFFG']"
1,44,0,1.0,0.9110661429076764,"['SFHF', 'FHFF', 'FFFF', 'HHFG']"
1,86,0,1.0,0.8867604854519608,"['SHHH', 'FFHF', 'HFFF', 'HHFG']"
1,36,0,1.0,0.985089730404757,"['SFFH', 'FFFH', 'FHFF', 'HHFG']"
1,72,0,1.0,0.9616943356035061,"['SFHF', 'FFFF', 'HHFF', 'FHFG']"
1,4,0,0.0,0.0,"['SFFH', 'FHFF', 'HFHF', 'FHHG']"
1,66,0,0.0,0.0,"['SHHH', 'FFFF', 'FHFF', 'HHHG']"
