Temperature,Simulations,Return,Discounted Return,Map
1,46,0,1.0,0.9193151828650342,"['SHFH', 'FFHH', 'FHFH', 'FFFG']"
1,65,0,1.0,0.9762504936564125,"['SHFF', 'FFFH', 'FFFF', 'HHFG']"
1,15,0,0.0,0.0,"['SFHF', 'HFFH', 'FHFF', 'FHHG']"
1,41,0,1.0,0.985089730404757,"['SFFF', 'HFHF', 'FFFH', 'FFFG']"
1,46,0,1.0,0.7816331707050701,"['SFHF', 'FFHF', 'HFFF', 'FHFG']"
1,38,0,1.0,0.9791880578299021,"['SFFF', 'FFFF', 'HFFF', 'HHFG']"
1,18,0,1.0,0.9791880578299021,"['SHFF', 'FFHF', 'FFFH', 'HFFG']"
1,28,0,1.0,0.9165572373164391,"['SHFH', 'FFFH', 'FFHF', 'HFFG']"
1,69,0,1.0,0.9821344612135428,"['SFFF', 'FFFH', 'HFFF', 'FHFG']"
1,50,0,1.0,0.9416796087056153,"['SFFH', 'HFFF', 'FFHF', 'HFFG']"
1,5,0,1.0,0.9220814271464737,"['SFFF', 'FFHF', 'FHHF', 'FFHG']"
1,83,0,1.0,0.9821344612135428,"['SFFF', 'HHHF', 'FFFF', 'FFFG']"
1,72,0,1.0,0.9388545698794984,"['SFHH', 'FHHH', 'FHFF', 'FFFG']"
1,32,0,1.0,0.776950406379376,"['SHFH', 'FHHH', 'FFFF', 'HFFG']"
1,19,0,1.0,0.9276389118674717,"['SFHH', 'FFHH', 'FFFH', 'FFFG']"
1,38,0,0.0,0.0,"['SHFF', 'FFFH', 'HHFH', 'HFFG']"
1,62,0,1.0,0.9821344612135428,"['SHHH', 'FFFF', 'HFFH', 'FFFG']"
1,66,0,1.0,0.8947894553945313,"['SFFH', 'FHHF', 'FHHF', 'FFFG']"
1,10,0,0.0,0.0,"['SFFF', 'HHFH', 'FHFF', 'FFFG']"
1,43,0,0.0,0.0,"['SHFF', 'FFFF', 'HFFH', 'HHFG']"
1,36,0,1.0,0.9674905716180701,"['SFFF', 'HHFF', 'FHFF', 'HHHG']"
1,35,0,1.0,0.8867604854519608,"['SFFF', 'HFHH', 'FFFH', 'FHFG']"
1,17,0,0.0,0.0,"['SHFF', 'FFHF', 'FFFF', 'HHFG']"
1,27,0,0.0,0.0,"['SHFF', 'FFFH', 'HFHF', 'HFFG']"
1,82,0,1.0,0.985089730404757,"['SFFF', 'HHFF', 'HFFF', 'FFHG']"
