Temperature,Simulations,Return,Discounted Return,Map
1,28,0,1.0,0.9674905716180701,"['SFFH', 'HHFF', 'FHFF', 'FFHG']"
1,19,0,1.0,0.9616943356035061,"['SFFH', 'FFFF', 'HFFF', 'HHFG']"
1,85,0,1.0,0.9616943356035061,"['SFFF', 'HFHF', 'HHFF', 'HFHG']"
1,17,0,1.0,0.9588092525966956,"['SFFF', 'FFFF', 'HHFF', 'FHHG']"
1,25,0,1.0,0.9445131481500655,"['SFHF', 'FFFH', 'FFFF', 'FHFG']"
1,73,0,1.0,0.9110661429076764,"['SFHF', 'FFFF', 'HFHF', 'FHFG']"
1,67,0,1.0,0.9821344612135428,"['SHHH', 'FFHF', 'FFFF', 'FFFG']"
1,25,0,1.0,0.9674905716180701,"['SFFF', 'HHHF', 'HFHF', 'FHFG']"
1,2,0,0.0,0.0,"['SFHH', 'FFFH', 'FHFF', 'FHHG']"
1,34,0,1.0,0.7427123967299725,"['SFHH', 'FHFF', 'FHHH', 'FFFG']"
1,37,0,1.0,0.9138075656044898,"['SFFF', 'FHFH', 'HHFF', 'FHFG']"
1,96,0,1.0,0.9821344612135428,"['SFFH', 'HHFF', 'HFFF', 'FFFG']"
1,23,0,1.0,0.9616943356035061,"['SFFF', 'HHFF', 'FFFF', 'HHHG']"
1,52,0,1.0,0.9559328248389055,"['SHFH', 'FFHF', 'FFFF', 'FFHG']"
1,86,0,1.0,0.9791880578299021,"['SFFF', 'FFFF', 'HFFF', 'FFHG']"
1,17,0,1.0,0.90289112180858,"['SHHH', 'FHFF', 'FFFF', 'HFFG']"
1,64,0,1.0,0.9733217421754432,"['SFHH', 'FFHH', 'FFFF', 'FFHG']"
1,92,0,1.0,0.9674905716180701,"['SFFF', 'HHHF', 'HFFF', 'FHFG']"
1,22,0,0.0,0.0,"['SHFF', 'FHHF', 'FHHH', 'FFFG']"
1,52,0,1.0,0.7539540549517295,"['SFFH', 'HFHH', 'FFFH', 'HHFG']"
1,63,0,1.0,0.93603800616986,"['SFFH', 'HFFH', 'HHFH', 'HHFG']"
1,49,0,1.0,0.8451404054461714,"['SFHF', 'FHFH', 'FFFF', 'HHHG']"
1,18,0,0.0,0.0,"['SFFH', 'HFFH', 'HFFH', 'FHFG']"
1,48,0,1.0,0.9559328248389055,"['SFFF', 'FHHF', 'HHHF', 'HHFG']"
1,45,0,0.0,0.0,"['SFHF', 'FHFH', 'FFFH', 'HHFG']"
1,40,0,1.0,0.9530650263643888,"['SFFF', 'FFFH', 'FFFH', 'FHFG']"
1,27,0,0.0,0.0,"['SHFH', 'FFFF', 'FHFF', 'FFHG']"
1,60,0,1.0,0.9588092525966956,"['SFFH', 'HHFH', 'HHFF', 'HFHG']"
1,38,0,0.0,0.0,"['SHHH', 'FFHF', 'FFFF', 'FHHG']"
1,49,0,1.0,0.9704017769489168,"['SFFF', 'HFHF', 'HHFF', 'FFFG']"
1,11,0,0.0,0.0,"['SHFH', 'FFFH', 'FHFF', 'HFHG']"
1,67,0,1.0,0.8657003616774767,"['SFHH', 'FFFF', 'FFHF', 'HFHG']"
1,80,0,1.0,0.9821344612135428,"['SFFF', 'HHFF', 'FFFF', 'HHHG']"
1,89,0,1.0,0.9762504936564125,"['SFFF', 'HFFF', 'FFHF', 'HFHG']"
1,93,0,1.0,0.985089730404757,"['SFHH', 'FFHF', 'FFFH', 'HFFG']"
1,66,0,1.0,0.9674905716180701,"['SFFF', 'HFFF', 'FFHF', 'FFFG']"
1,67,0,0.0,0.0,"['SHHH', 'FFFH', 'HHFH', 'HFFG']"
1,68,0,1.0,0.9388545698794984,"['SFHF', 'HFFH', 'HHFF', 'FHFG']"
1,57,0,1.0,0.9791880578299021,"['SFFF', 'HFFH', 'FHFF', 'FFHG']"
1,71,0,1.0,0.8867604854519608,"['SFHF', 'FFFF', 'FFFF', 'FFHG']"
1,75,0,1.0,0.9791880578299021,"['SHFF', 'FFHH', 'FFFF', 'FFFG']"
1,29,0,1.0,0.8683052775100066,"['SFFH', 'FHFH', 'FHFF', 'FHFG']"
1,12,0,1.0,0.8502341582884777,"['SFHH', 'FFFH', 'HHFF', 'FHFG']"
1,48,0,1.0,0.985089730404757,"['SFFH', 'FFFF', 'HHFF', 'FHFG']"
1,37,0,1.0,0.9416796087056153,"['SFHH', 'HFFF', 'HHFF', 'FHHG']"
1,46,0,1.0,0.985089730404757,"['SFHH', 'FFFF', 'FFFF', 'FHFG']"
1,93,0,1.0,0.8683052775100066,"['SFFH', 'HHFH', 'FHFH', 'HFFG']"
1,28,0,1.0,0.9559328248389055,"['SFFH', 'FFFH', 'FFHF', 'FFFG']"
1,81,0,1.0,0.9821344612135428,"['SFFF', 'HFFF', 'FHFF', 'HFHG']"
1,49,0,1.0,0.9616943356035061,"['SFFF', 'FFFH', 'FHFH', 'HHFG']"
1,18,0,0.0,0.0,"['SFFH', 'FHHH', 'FFFF', 'FHHG']"
1,86,0,1.0,0.9559328248389055,"['SFHF', 'HFFF', 'FHFF', 'HFFG']"
1,93,0,1.0,0.9616943356035061,"['SFHF', 'FFFF', 'FFHF', 'HFFG']"
1,96,0,1.0,0.9762504936564125,"['SFFF', 'HFFH', 'FHFF', 'FHFG']"
1,100,0,0.0,0.0,"['SHHH', 'FFFH', 'FHFF', 'FHHG']"
1,4,0,1.0,0.7863441585589971,"['SFFF', 'FHHF', 'HHHF', 'FHFG']"
1,46,0,1.0,0.8814479033836181,"['SFFH', 'HHFH', 'HHFF', 'FFFG']"
1,14,0,0.0,0.0,"['SFHF', 'FFFF', 'FFHF', 'HFFG']"
1,17,0,1.0,0.9733217421754432,"['SFHH', 'FFFF', 'FFHH', 'FFFG']"
1,57,0,1.0,0.7607805594527743,"['SHHH', 'FFFF', 'FHHF', 'FHFG']"
1,50,0,1.0,0.9530650263643888,"['SFFF', 'HFHF', 'HHHF', 'FFHG']"
1,58,0,0.0,0.0,"['SHFH', 'FFFF', 'FHFH', 'FHFG']"
1,95,0,1.0,0.9733217421754432,"['SFFH', 'HFFF', 'HHFH', 'FHFG']"
1,4,0,0.0,0.0,"['SHHF', 'FFHF', 'HFFF', 'FFFG']"
1,23,0,1.0,0.860513950810667,"['SFHH', 'FFHH', 'FFFH', 'HFFG']"
1,53,0,1.0,0.90289112180858,"['SFHF', 'HFHH', 'FFFF', 'HHFG']"
1,46,0,1.0,0.8476834558136123,"['SFHH', 'FFFF', 'HHFH', 'FFFG']"
1,66,0,1.0,0.9588092525966956,"['SHFH', 'FHFF', 'FHFF', 'FFFG']"
1,66,0,1.0,0.9674905716180701,"['SFHF', 'FFHF', 'FFFH', 'HHFG']"
1,72,0,1.0,0.985089730404757,"['SFFF', 'FFFH', 'HFFF', 'HFHG']"
1,66,0,1.0,0.9588092525966956,"['SFFH', 'FFFH', 'FHFF', 'HHFG']"
1,45,0,1.0,0.8814479033836181,"['SFFF', 'HHFH', 'HFFH', 'FHFG']"
1,76,0,1.0,0.9616943356035061,"['SFFF', 'FFHF', 'FHFF', 'HHFG']"
1,81,0,1.0,0.9762504936564125,"['SHHH', 'FHHH', 'FFHH', 'FFFG']"
1,30,0,1.0,0.9588092525966956,"['SFFH', 'HFHH', 'HFFF', 'FFFG']"
1,30,0,1.0,0.93603800616986,"['SFFH', 'FHFH', 'FFFF', 'FHHG']"
1,15,0,1.0,0.8527925358961662,"['SFHH', 'FHHF', 'FHFH', 'FFFG']"
1,13,0,0.0,0.0,"['SHHH', 'FFFF', 'FHFF', 'FFHG']"
1,5,0,0.0,0.0,"['SFFH', 'HFHF', 'FFFF', 'HFFG']"
1,12,0,0.0,0.0,"['SFHH', 'FFHH', 'HFFH', 'FHFG']"
1,12,0,0.0,0.0,"['SHFH', 'FHFF', 'FFFF', 'FFHG']"
1,43,0,1.0,0.9616943356035061,"['SFFF', 'HHFH', 'FHFF', 'HHFG']"
1,7,0,0.0,0.0,"['SFFH', 'HHFF', 'HHHF', 'HFHG']"
1,54,0,1.0,0.9645880999032158,"['SFHH', 'HFFF', 'HFFH', 'FHFG']"
1,93,0,1.0,0.985089730404757,"['SFHF', 'FFFF', 'FHFH', 'FFFG']"
1,6,0,0.0,0.0,"['SFHF', 'FFFF', 'HHFH', 'HFFG']"
1,61,0,1.0,0.8553586117313603,"['SFHF', 'FHHH', 'FFFH', 'FHFG']"
1,22,0,0.0,0.0,"['SHHH', 'FFHF', 'HFFH', 'FHFG']"
1,3,0,0.0,0.0,"['SFFF', 'FHFH', 'HHFH', 'FFFG']"
1,85,0,1.0,0.985089730404757,"['SFFF', 'FHHF', 'HFHF', 'HHFG']"
1,7,0,0.0,0.0,"['SFHF', 'HFFF', 'HFHF', 'HHFG']"
1,97,0,1.0,0.9445131481500655,"['SFHH', 'FFFF', 'HHHF', 'FFFG']"
1,73,0,0.0,0.0,"['SHFF', 'FFHH', 'HFHF', 'HFFG']"
1,84,0,1.0,0.9733217421754432,"['SFFF', 'FHHF', 'HHFF', 'HFHG']"
1,19,0,0.0,0.0,"['SFHF', 'FFFH', 'FHFF', 'FHFG']"
1,3,0,1.0,0.8527925358961662,"['SFFF', 'HHFF', 'FFFF', 'FHHG']"
1,52,0,1.0,0.9276389118674717,"['SFFH', 'FHFH', 'HHFF', 'HHHG']"
1,13,0,1.0,0.8735386475474635,"['SFFF', 'FFHF', 'HFHF', 'HFFG']"
