Temperature,Simulations,Return,Discounted Return,Map
1,35,0,1.0,0.9276389118674717,"['SFFH', 'FFFF', 'FFHF', 'HFFG']"
1,46,0,0.0,0.0,"['SFHH', 'HFHF', 'FFFH', 'FHFG']"
1,63,0,0.0,0.0,"['SHFH', 'FHHH', 'FFHH', 'HFFG']"
1,68,0,1.0,0.9674905716180701,"['SFFH', 'FFFH', 'FHFH', 'FFFG']"
1,5,0,0.0,0.0,"['SFHF', 'HFFF', 'HHFF', 'HFFG']"
1,7,0,0.0,0.0,"['SFHH', 'HFFF', 'FFHF', 'FFHG']"
1,81,0,1.0,0.9791880578299021,"['SFFF', 'FFHH', 'FFHH', 'FFFG']"
1,6,0,1.0,0.747188804859888,"['SFFF', 'FHHF', 'FFHF', 'FHFG']"
1,76,0,1.0,0.8921050870283477,"['SFFH', 'FFFF', 'HHFH', 'FHFG']"
1,65,0,0.0,0.0,"['SHHH', 'FHHF', 'FFFH', 'HHFG']"
1,25,0,0.0,0.0,"['SFFH', 'FHHH', 'FFFF', 'HHFG']"
1,76,0,1.0,0.9248559951318693,"['SFHF', 'HFHH', 'FFFH', 'FHFG']"
1,31,0,1.0,0.9502058312852957,"['SFHF', 'HFHF', 'HFFF', 'HFFG']"
1,27,0,1.0,0.9616943356035061,"['SFFF', 'HFHF', 'FFHF', 'FFFG']"
1,9,0,0.0,0.0,"['SFFH', 'FHHF', 'FFFH', 'HFFG']"
1,5,0,0.0,0.0,"['SHFH', 'FFFF', 'FHFF', 'FFHG']"
1,40,0,1.0,0.9138075656044898,"['SFFH', 'FHFH', 'FHHH', 'FFFG']"
1,87,0,1.0,0.9704017769489168,"['SFFF', 'HFFH', 'FFFF', 'HHFG']"
1,1,0,0.0,0.0,"['SFHF', 'FFFF', 'HHHF', 'FHHG']"
1,15,0,0.0,0.0,"['SFFF', 'FFHF', 'FFFH', 'HHFG']"
1,48,0,0.0,0.0,"['SFHH', 'HFFF', 'FHHF', 'HFFG']"
1,20,0,0.0,0.0,"['SHFF', 'FFFF', 'HHFF', 'HFHG']"
1,23,0,1.0,0.9645880999032158,"['SFFF', 'HFFH', 'HHFF', 'HFFG']"
1,21,0,0.0,0.0,"['SFFH', 'FHFH', 'FFHF', 'HFFG']"
1,42,0,1.0,0.9704017769489168,"['SFFF', 'HFFH', 'FFFF', 'FHFG']"
1,29,0,1.0,0.8225935318117279,"['SHHH', 'FFFH', 'FFFH', 'FHFG']"
1,34,0,1.0,0.9445131481500655,"['SFFH', 'HHFF', 'HHFF', 'FHHG']"
1,16,0,1.0,0.8761671489944468,"['SFFF', 'HHHF', 'HFHF', 'FFHG']"
1,38,0,1.0,0.9791880578299021,"['SFFH', 'FFFF', 'HHFF', 'FHHG']"
1,82,0,1.0,0.9762504936564125,"['SHFH', 'FFFF', 'HHFF', 'FHFG']"
1,31,0,1.0,0.9645880999032158,"['SHFH', 'FHHH', 'FFFH', 'HFFG']"
1,60,0,1.0,0.985089730404757,"['SFHF', 'FHFH', 'FFHH', 'FFFG']"
1,64,0,1.0,0.9248559951318693,"['SFHH', 'HFFH', 'HHFF', 'FFHG']"
1,24,0,1.0,0.7427123967299725,"['SFHF', 'HFFH', 'HHFF', 'HHFG']"
1,85,0,1.0,0.8683052775100066,"['SFHH', 'HFFF', 'FHFH', 'FHFG']"
1,44,0,0.0,0.0,"['SHHH', 'FFFF', 'HHFH', 'HFFG']"
1,1,0,0.0,0.0,"['SFHH', 'FHFF', 'FFFF', 'FHHG']"
1,15,0,0.0,0.0,"['SFFF', 'FHHH', 'FHFH', 'FFFG']"
1,18,0,0.0,0.0,"['SHHF', 'FHFF', 'FFFH', 'HHFG']"
1,54,0,0.0,0.0,"['SFHH', 'FFFF', 'FHFH', 'HFFG']"
1,39,0,1.0,0.9304302024748964,"['SFFF', 'FFFF', 'FHFH', 'FHFG']"
1,42,0,1.0,0.9530650263643888,"['SHFF', 'FFHF', 'FHFF', 'FFFG']"
1,73,0,1.0,0.9193151828650342,"['SFFF', 'HFHH', 'FFFF', 'HFHG']"
1,71,0,1.0,0.9332298921513504,"['SFFF', 'FHHH', 'FFFF', 'HFHG']"
1,94,0,1.0,0.985089730404757,"['SHFH', 'FFFF', 'HHHF', 'FFHG']"
1,32,0,1.0,0.8761671489944468,"['SFHF', 'HFFF', 'HHHF', 'HFFG']"
1,3,0,0.0,0.0,"['SHFH', 'FFFH', 'FHFH', 'FFFG']"
1,9,0,0.0,0.0,"['SHHH', 'FFFF', 'HFFF', 'FHFG']"
1,98,0,1.0,0.9733217421754432,"['SFHF', 'HFFF', 'HFFH', 'FHFG']"
1,98,0,0.0,0.0,"['SHHH', 'FFFF', 'HHHF', 'FFFG']"
1,18,0,0.0,0.0,"['SFFH', 'HFHF', 'FFHH', 'FFFG']"
1,94,0,1.0,0.9304302024748964,"['SFFF', 'FFHH', 'HFHF', 'FFFG']"
1,91,0,1.0,0.9762504936564125,"['SFHH', 'FFFH', 'FFHF', 'FFFG']"
1,23,0,1.0,0.9416796087056153,"['SFFH', 'FFFH', 'HFFH', 'HFFG']"
1,35,0,1.0,0.9304302024748964,"['SFHF', 'HFFH', 'FFFF', 'FHFG']"
1,72,0,1.0,0.9762504936564125,"['SHHF', 'FHHH', 'FFHH', 'FFFG']"
1,16,0,0.0,0.0,"['SHHH', 'FFHF', 'FFFH', 'HHFG']"
1,69,0,1.0,0.9530650263643888,"['SFFF', 'FFFF', 'HFHF', 'HFHG']"
1,12,0,0.0,0.0,"['SHHF', 'FFHF', 'FHHF', 'FFFG']"
1,41,0,1.0,0.8631032605924442,"['SFFF', 'FHHF', 'HHFF', 'FHHG']"
1,36,0,1.0,0.93603800616986,"['SFFF', 'FHFH', 'HFFH', 'HFFG']"
1,71,0,1.0,0.9645880999032158,"['SFFF', 'HFHF', 'FHHF', 'FFFG']"
1,95,0,1.0,0.9791880578299021,"['SFHH', 'FFFH', 'HHFF', 'HHHG']"
1,40,0,0.0,0.0,"['SFHH', 'FFHH', 'HFFF', 'HHFG']"
1,11,0,0.0,0.0,"['SHHH', 'FFFF', 'FHHF', 'FHFG']"
1,7,0,0.0,0.0,"['SFFH', 'FHFF', 'FHFF', 'HFFG']"
1,18,0,1.0,0.9220814271464737,"['SFFF', 'HFFF', 'FFHF', 'HHHG']"
1,17,0,0.0,0.0,"['SFHH', 'FFHF', 'HFHH', 'HFFG']"
1,35,0,0.0,0.0,"['SHHF', 'FFHF', 'FFFF', 'HFHG']"
1,73,0,1.0,0.9733217421754432,"['SFHF', 'FFFF', 'HFFF', 'HHFG']"
1,80,0,1.0,0.9616943356035061,"['SFFF', 'FHFH', 'HHFF', 'HFFG']"
1,81,0,1.0,0.9704017769489168,"['SFFH', 'HHFH', 'HFFH', 'FHFG']"
