Temperature,Simulations,Return,Discounted Return,Map
1,17,0,0.0,0.0,"['SFHH', 'HFFF', 'HHHF', 'FFHG']"
1,80,0,1.0,0.9762504936564125,"['SFHF', 'FFHF', 'FHHH', 'FFFG']"
1,88,0,1.0,0.9821344612135428,"['SFFH', 'FFFF', 'HHFF', 'FHHG']"
1,89,0,0.0,0.0,"['SFFF', 'HFFF', 'HFHH', 'FFFG']"
1,17,0,1.0,0.8127667407072335,"['SFFF', 'FFFH', 'HHFH', 'HHFG']"
1,24,0,0.0,0.0,"['SFHF', 'HFHF', 'FFFF', 'HHHG']"
1,50,0,1.0,0.9588092525966956,"['SHFF', 'FHFF', 'FFFF', 'FFFG']"
1,79,0,1.0,0.9791880578299021,"['SFHH', 'FHHH', 'FFFH', 'FFFG']"
1,100,0,1.0,0.9588092525966956,"['SHFH', 'FFHH', 'HFFF', 'FFHG']"
1,50,0,1.0,0.985089730404757,"['SFFF', 'FHFF', 'FFFF', 'FHFG']"
1,84,0,1.0,0.9791880578299021,"['SFFF', 'FHFF', 'HHFH', 'HFFG']"
1,19,0,1.0,0.9616943356035061,"['SFFH', 'HFFF', 'FFFH', 'FFFG']"
1,92,0,1.0,0.9821344612135428,"['SFHH', 'HFFH', 'FFFF', 'HFFG']"
1,19,0,1.0,0.7653658663581259,"['SFHH', 'HFFH', 'HFHH', 'HFFG']"
1,100,0,1.0,0.985089730404757,"['SFFH', 'FHFF', 'HFFH', 'FFFG']"
1,18,0,0.0,0.0,"['SHHF', 'FHHF', 'FFFH', 'FFFG']"
1,59,0,1.0,0.9559328248389055,"['SFFF', 'FFHF', 'HFFF', 'HHFG']"
1,27,0,1.0,0.8127667407072335,"['SFHH', 'HFFF', 'FHFF', 'FHHG']"
1,92,0,1.0,0.9416796087056153,"['SHHF', 'FFFF', 'FFHF', 'FHFG']"
1,67,0,1.0,0.9530650263643888,"['SFFH', 'HHFF', 'HFHF', 'FHHG']"
1,28,0,0.0,0.0,"['SFHF', 'HFHH', 'FFFF', 'HHHG']"
1,45,0,1.0,0.9220814271464737,"['SFFH', 'HFFF', 'HHHF', 'HHHG']"
1,20,0,0.0,0.0,"['SHFH', 'FFFH', 'HHFF', 'HHHG']"
1,49,0,1.0,0.9220814271464737,"['SFFF', 'HFHF', 'FFHF', 'HHFG']"
1,15,0,0.0,0.0,"['SFHH', 'FFHH', 'FFFF', 'FHHG']"
1,74,0,1.0,0.9674905716180701,"['SFFF', 'FHFH', 'HHFF', 'HHFG']"
1,99,0,1.0,0.985089730404757,"['SFHF', 'FFFF', 'HFHF', 'FFHG']"
1,60,0,1.0,0.9559328248389055,"['SFHF', 'HFFF', 'FHFF', 'HFHG']"
1,34,0,1.0,0.884100203995605,"['SFHF', 'FFHH', 'HFFH', 'FFFG']"
1,62,0,1.0,0.93603800616986,"['SFFH', 'FFHH', 'HFFF', 'HHHG']"
1,100,0,1.0,0.9674905716180701,"['SFFF', 'FFFH', 'HFFF', 'FFFG']"
1,29,0,1.0,0.9791880578299021,"['SFFH', 'HFFF', 'HFFF', 'FFHG']"
1,6,0,0.0,0.0,"['SFFH', 'FFHH', 'FFFF', 'FHFG']"
1,19,0,1.0,0.9616943356035061,"['SFFF', 'FHFF', 'FHHF', 'FFHG']"
1,93,0,1.0,0.8176653739626438,"['SFFF', 'FHFH', 'FHFH', 'FHFG']"
1,96,0,1.0,0.9821344612135428,"['SFFF', 'FHFH', 'FFFF', 'FFFG']"
1,58,0,0.0,0.0,"['SHFF', 'FFFF', 'HFFH', 'HHFG']"
1,76,0,1.0,0.985089730404757,"['SHHF', 'FFHF', 'FFFF', 'FFFG']"
1,98,0,1.0,0.9588092525966956,"['SFFH', 'FFHF', 'HFHH', 'FFFG']"
1,4,0,0.0,0.0,"['SFFF', 'HHHF', 'FFFF', 'FFFG']"
1,78,0,1.0,0.9588092525966956,"['SHFH', 'FFFF', 'HFFF', 'HHFG']"
1,17,0,0.0,0.0,"['SFHF', 'HFHH', 'FFFH', 'FHFG']"
1,20,0,1.0,0.9821344612135428,"['SFHF', 'FFHH', 'FFFF', 'HFFG']"
1,10,0,0.0,0.0,"['SFFH', 'FHFF', 'FHFH', 'HHFG']"
1,11,0,0.0,0.0,"['SFHH', 'FHHH', 'FFFF', 'FHFG']"
1,77,0,1.0,0.9304302024748964,"['SFFF', 'FHHF', 'FFFH', 'FHFG']"
1,78,0,1.0,0.9821344612135428,"['SFHH', 'FFFH', 'HFHF', 'HFFG']"
1,94,0,1.0,0.9674905716180701,"['SFFF', 'HFFF', 'FHFH', 'HFFG']"
1,87,0,1.0,0.9704017769489168,"['SHHF', 'FHHH', 'FHFH', 'FFFG']"
1,36,0,1.0,0.9762504936564125,"['SHFH', 'FFHF', 'FFHF', 'HFFG']"
1,18,0,0.0,0.0,"['SFHF', 'FHFH', 'FFHF', 'FFFG']"
1,58,0,1.0,0.9588092525966956,"['SFFF', 'FHHF', 'FFHF', 'FFFG']"
1,96,0,1.0,0.9733217421754432,"['SHHH', 'FFHH', 'FFFF', 'FHFG']"
1,76,0,1.0,0.9248559951318693,"['SFFH', 'FHFF', 'HFHF', 'HFHG']"
1,59,0,1.0,0.8250687380258053,"['SFFF', 'FFFH', 'HFHF', 'HFFG']"
1,93,0,1.0,0.9821344612135428,"['SFFF', 'HFFF', 'FFHF', 'HFHG']"
1,36,0,1.0,0.9704017769489168,"['SFFF', 'HFFF', 'FFHF', 'HFHG']"
1,100,0,1.0,0.9791880578299021,"['SFFH', 'FHFH', 'HFFF', 'FFFG']"
