Temperature,Simulations,Return,Discounted Return,Map
1,93,0,1.0,0.8735386475474635,"['SHHF', 'FHHF', 'FFFF', 'FHHG']"
1,11,0,0.0,0.0,"['SFFF', 'HFFF', 'FHFH', 'FHFG']"
1,45,0,1.0,0.9791880578299021,"['SFFF', 'FFHF', 'FHHF', 'HHFG']"
1,75,0,1.0,0.9821344612135428,"['SFFH', 'FFHH', 'FHFH', 'FFFG']"
1,87,0,1.0,0.9704017769489168,"['SFFF', 'HHFH', 'FHFH', 'HFFG']"
1,22,0,0.0,0.0,"['SHFH', 'FFFF', 'HFHF', 'HFFG']"
1,35,0,0.0,0.0,"['SHHH', 'FFFH', 'HHFH', 'HFFG']"
1,96,0,0.0,0.0,"['SHHH', 'FFFF', 'HFHF', 'FFHG']"
1,2,0,0.0,0.0,"['SFHF', 'HFFH', 'FFHH', 'HFFG']"
1,46,0,0.0,0.0,"['SHHH', 'FFHH', 'HFFF', 'FFFG']"
1,17,0,0.0,0.0,"['SFFH', 'FFFF', 'FHHF', 'FHFG']"
1,50,0,1.0,0.9791880578299021,"['SFHH', 'HFFF', 'HHFF', 'FFFG']"
1,88,0,1.0,0.8867604854519608,"['SHFH', 'FFHH', 'HFHH', 'HFFG']"
1,82,0,1.0,0.8426049842298329,"['SFFH', 'FFHH', 'HFFF', 'HHHG']"
1,7,0,0.0,0.0,"['SFFH', 'FFFF', 'HHHF', 'FFHG']"
1,1,0,0.0,0.0,"['SFFF', 'HFFH', 'FHFF', 'HFHG']"
1,41,0,0.0,0.0,"['SFFF', 'HFFF', 'HFHH', 'HFFG']"
1,29,0,0.0,0.0,"['SHHF', 'FHHF', 'FFFH', 'FHFG']"
1,18,0,0.0,0.0,"['SHFH', 'FFFH', 'HHFF', 'HHHG']"
1,36,0,0.0,0.0,"['SFHH', 'FFFH', 'FHFF', 'HHHG']"
1,7,0,0.0,0.0,"['SFHF', 'FFHF', 'FHHF', 'FFFG']"
1,16,0,0.0,0.0,"['SFFH', 'FFHH', 'HFHF', 'HFFG']"
1,31,0,1.0,0.7816331707050701,"['SFFH', 'FHFF', 'FFHF', 'HFFG']"
1,39,0,0.0,0.0,"['SFHH', 'HFHF', 'HFFF', 'FFHG']"
1,87,0,1.0,0.9704017769489168,"['SFFF', 'HFFF', 'HHFH', 'HHFG']"
1,74,0,1.0,0.9733217421754432,"['SFHH', 'FFFF', 'FHFF', 'HFHG']"
1,38,0,1.0,0.9304302024748964,"['SFHF', 'HFHF', 'HFHH', 'HFFG']"
1,59,0,1.0,0.9762504936564125,"['SFFF', 'FHHF', 'HHHF', 'FFHG']"
1,24,0,1.0,0.9165572373164391,"['SHFF', 'FFFF', 'HFHH', 'HFFG']"
1,59,0,0.0,0.0,"['SFHF', 'HFHF', 'HFFF', 'HHHG']"
1,53,0,1.0,0.9559328248389055,"['SFFH', 'HFHH', 'HFFH', 'HFFG']"
1,6,0,0.0,0.0,"['SFFH', 'FHFF', 'FHFH', 'HHFG']"
1,3,0,0.0,0.0,"['SFFH', 'HHFH', 'HHFF', 'HHHG']"
1,90,0,1.0,0.7699788094052729,"['SFHF', 'HFFH', 'FHFF', 'FHHG']"
1,84,0,1.0,0.9645880999032158,"['SFHF', 'FFHH', 'FHHH', 'FFFG']"
1,59,0,1.0,0.8735386475474635,"['SHHH', 'FHFH', 'FFFH', 'HFFG']"
1,1,0,0.0,0.0,"['SFFH', 'HHFF', 'HHHF', 'HHFG']"
1,88,0,0.0,0.0,"['SHHF', 'FFFH', 'HFHH', 'HFFG']"
1,88,0,1.0,0.9791880578299021,"['SFHF', 'FFFF', 'FFHH', 'FFFG']"
1,35,0,1.0,0.9733217421754432,"['SHHF', 'FHHF', 'FFFH', 'FFFG']"
1,36,0,1.0,0.9304302024748964,"['SFFH', 'FFFH', 'HFFH', 'FHFG']"
1,7,0,0.0,0.0,"['SHHF', 'FFHF', 'HFFH', 'HFFG']"
1,2,0,0.0,0.0,"['SHFH', 'FHHH', 'FFFF', 'FHHG']"
1,61,0,1.0,0.9674905716180701,"['SFHH', 'FHHF', 'FFHH', 'FFFG']"
1,58,0,1.0,0.9559328248389055,"['SFHH', 'FFFF', 'HHFF', 'HFFG']"
1,38,0,1.0,0.9502058312852957,"['SFHH', 'HFFF', 'HHHF', 'HFFG']"
1,37,0,1.0,0.857932408958235,"['SFFF', 'HFFH', 'FHFH', 'HHFG']"
