Temperature,Simulations,Return,Discounted Return,Map
1,88,0,1.0,0.78398512608332,"['SHHH', 'FFFH', 'FHFF', 'HFHG']"
1,43,0,1.0,0.7792882711929549,"['SFFH', 'FHFH', 'FFFH', 'HHFG']"
1,91,0,1.0,0.9733217421754432,"['SFFH', 'FFFF', 'HFFF', 'HHHG']"
1,33,0,1.0,0.7539540549517295,"['SFHH', 'FFFF', 'FHHF', 'HHHG']"
1,90,0,1.0,0.9704017769489168,"['SFFF', 'FFFH', 'FHFH', 'HHFG']"
1,34,0,0.0,0.0,"['SHHH', 'FHFF', 'FFHH', 'HFFG']"
1,9,0,0.0,0.0,"['SFFH', 'HHFF', 'FFHF', 'HFHG']"
1,25,0,1.0,0.9248559951318693,"['SHHH', 'FFFF', 'HHFF', 'HHFG']"
1,79,0,0.0,0.0,"['SFHH', 'FHFH', 'FFFF', 'FHHG']"
1,4,0,0.0,0.0,"['SFHH', 'HFFH', 'HHFF', 'FHFG']"
1,83,0,1.0,0.9821344612135428,"['SHFF', 'FFFF', 'FFFF', 'FFFG']"
1,67,0,1.0,0.9704017769489168,"['SHFF', 'FFHH', 'FFFF', 'HFFG']"
1,78,0,1.0,0.9762504936564125,"['SHFH', 'FFHH', 'FFFH', 'FFFG']"
1,6,0,0.0,0.0,"['SFFH', 'FHFH', 'FFFF', 'HFHG']"
1,65,0,1.0,0.9791880578299021,"['SHFH', 'FFFF', 'HHFF', 'HHFG']"
1,10,0,1.0,0.8867604854519608,"['SFFH', 'HFFH', 'HHFH', 'HFFG']"
1,32,0,1.0,0.8631032605924442,"['SFFF', 'FFHH', 'HFFF', 'FFHG']"
1,32,0,1.0,0.9821344612135428,"['SHFF', 'FFHH', 'FFFH', 'HFFG']"
1,69,0,1.0,0.985089730404757,"['SFHH', 'FFFF', 'HHFF', 'FFFG']"
1,61,0,1.0,0.9530650263643888,"['SHFH', 'FHFH', 'FFHH', 'HFFG']"
1,63,0,1.0,0.8921050870283477,"['SFFF', 'FHHH', 'FFFF', 'HHFG']"
1,64,0,1.0,0.985089730404757,"['SFHH', 'FFFF', 'FHFH', 'FFFG']"
1,90,0,0.0,0.0,"['SHFH', 'FFFH', 'HFHF', 'FFFG']"
1,54,0,0.0,0.0,"['SHFH', 'FFHF', 'FFFF', 'FHHG']"
1,51,0,0.0,0.0,"['SFFH', 'HFHH', 'HFFF', 'FFHG']"
1,29,0,0.0,0.0,"['SFHF', 'HFHH', 'HFFF', 'HHHG']"
1,54,0,1.0,0.9762504936564125,"['SHHF', 'FFFH', 'FFFH', 'FFFG']"
1,70,0,1.0,0.9616943356035061,"['SFFF', 'HHHF', 'HHFF', 'FHFG']"
1,50,0,1.0,0.9645880999032158,"['SHHH', 'FHFH', 'FFFH', 'HFFG']"
1,19,0,0.0,0.0,"['SFFH', 'FFHF', 'FFHF', 'HFFG']"
1,50,0,1.0,0.8921050870283477,"['SFHH', 'FFFF', 'FHFF', 'FHHG']"
1,37,0,1.0,0.9138075656044898,"['SHHH', 'FHFH', 'FFFF', 'FFHG']"
1,34,0,1.0,0.9502058312852957,"['SFFF', 'HHHF', 'FFFF', 'HFHG']"
1,97,0,1.0,0.9645880999032158,"['SHFF', 'FHHF', 'FFFH', 'FHFG']"
1,91,0,1.0,0.835044266956004,"['SHHH', 'FFHH', 'FFHH', 'HFFG']"
1,30,0,1.0,0.9138075656044898,"['SFFH', 'HFFH', 'FHFH', 'HHFG']"
1,87,0,1.0,0.9821344612135428,"['SFHF', 'FFFF', 'FFFF', 'FHHG']"
1,66,0,1.0,0.9821344612135428,"['SHFH', 'FFHF', 'FFFF', 'FFFG']"
1,22,0,1.0,0.9530650263643888,"['SFFH', 'FFFF', 'FHFH', 'HHFG']"
1,69,0,1.0,0.9445131481500655,"['SFHH', 'HFFF', 'FHFH', 'HFFG']"
1,55,0,1.0,0.9733217421754432,"['SFFF', 'HFHF', 'FFFF', 'HHFG']"
1,92,0,1.0,0.8657003616774767,"['SFHH', 'FHHF', 'FFFF', 'FHHG']"
1,80,0,1.0,0.9733217421754432,"['SHHF', 'FFHH', 'FHHF', 'FFFG']"
1,12,0,0.0,0.0,"['SHHF', 'FFHH', 'HFFH', 'FFFG']"
1,73,0,1.0,0.9821344612135428,"['SHFH', 'FFHH', 'FFFF', 'FHFG']"
1,98,0,1.0,0.9674905716180701,"['SFHH', 'FHFF', 'FFHF', 'FFFG']"
1,12,0,0.0,0.0,"['SHFH', 'FFFH', 'HHFH', 'FHFG']"
1,63,0,1.0,0.9001824484431542,"['SFFF', 'FFHF', 'FFHH', 'HFFG']"
1,45,0,1.0,0.8761671489944468,"['SFHH', 'HFHH', 'HFFF', 'HHFG']"
1,85,0,0.0,0.0,"['SFHF', 'FHHH', 'FFFH', 'HHFG']"
1,73,0,1.0,0.9674905716180701,"['SFFF', 'HFFH', 'FHFH', 'FHFG']"
1,50,0,1.0,0.884100203995605,"['SFFH', 'FHHH', 'FFHF', 'HFFG']"
1,24,0,1.0,0.9165572373164391,"['SFFH', 'FFFF', 'HFFH', 'HFFG']"
1,77,0,1.0,0.9304302024748964,"['SHFF', 'FFFH', 'FHFF', 'FFHG']"
1,96,0,1.0,0.9762504936564125,"['SFFH', 'HFFF', 'FHFH', 'FHFG']"
1,71,0,0.0,0.0,"['SHHF', 'FFFH', 'HHFF', 'FFHG']"
1,19,0,0.0,0.0,"['SHHF', 'FFFF', 'FHFF', 'HHFG']"
1,81,0,1.0,0.93603800616986,"['SFHH', 'HFFH', 'FHFH', 'FHFG']"
1,40,0,1.0,0.9733217421754432,"['SFFF', 'FFFH', 'FHFF', 'HFHG']"
1,66,0,0.0,0.0,"['SHFF', 'FHFH', 'FFFH', 'FHFG']"
1,78,0,1.0,0.9762504936564125,"['SHFH', 'FHFH', 'FFHH', 'FFFG']"
1,46,0,0.0,0.0,"['SHHF', 'FFFH', 'HFHH', 'FFFG']"
1,78,0,1.0,0.9559328248389055,"['SFHF', 'FFHH', 'HFHH', 'HFFG']"
1,44,0,1.0,0.9056079456455165,"['SFHH', 'HFFH', 'FHFF', 'FFFG']"
1,87,0,1.0,0.9762504936564125,"['SFFH', 'FFFH', 'HFFH', 'HFFG']"
1,46,0,1.0,0.9559328248389055,"['SHFF', 'FFFH', 'HFHH', 'FFFG']"
1,91,0,1.0,0.9791880578299021,"['SFHF', 'HFFH', 'HFFH', 'HHFG']"
1,94,0,1.0,0.93603800616986,"['SFHF', 'FFFH', 'HHFF', 'HFFG']"
1,31,0,0.0,0.0,"['SHHH', 'FHFF', 'FFFH', 'FHFG']"
1,50,0,1.0,0.93603800616986,"['SFFF', 'HHFF', 'FFFH', 'HHFG']"
1,40,0,0.0,0.0,"['SFFH', 'HHFH', 'FHFF', 'HHHG']"
1,5,0,0.0,0.0,"['SFHH', 'FFFF', 'HHFF', 'FHFG']"
1,89,0,1.0,0.9762504936564125,"['SFHH', 'FFFH', 'FFFF', 'FFHG']"
1,52,0,1.0,0.9616943356035061,"['SFHH', 'FFHH', 'FFHF', 'FFFG']"
1,71,0,1.0,0.9645880999032158,"['SHFF', 'FFHH', 'HFFH', 'FFFG']"
1,61,0,1.0,0.9530650263643888,"['SFFH', 'FFFH', 'FHFF', 'HHFG']"
1,60,0,0.0,0.0,"['SHHF', 'FFFF', 'HFHF', 'FFHG']"
1,91,0,1.0,0.9674905716180701,"['SFFF', 'HFHF', 'FHFF', 'FFHG']"
1,14,0,1.0,0.8683052775100066,"['SFFF', 'FFHF', 'FFHF', 'HFFG']"
1,61,0,0.0,0.0,"['SHFF', 'FFFH', 'HFFF', 'HHHG']"
1,98,0,1.0,0.9276389118674717,"['SFFH', 'FHFF', 'FFHF', 'FFHG']"
1,33,0,1.0,0.798246224976786,"['SFFH', 'FFFH', 'HFFF', 'FHFG']"
1,81,0,1.0,0.985089730404757,"['SFHH', 'FFHH', 'FFFH', 'HFFG']"
1,44,0,1.0,0.8250687380258053,"['SFFH', 'HFFH', 'FFHF', 'FFFG']"
1,32,0,1.0,0.837556937769312,"['SFFH', 'FHFF', 'FHHF', 'FFHG']"
1,88,0,1.0,0.9791880578299021,"['SHHF', 'FHHH', 'FFFF', 'HFFG']"
1,45,0,0.0,0.0,"['SFHF', 'HFFF', 'FFHF', 'FFHG']"
1,84,0,1.0,0.9645880999032158,"['SFFF', 'FHHF', 'FHFF', 'FHHG']"
1,3,0,0.0,0.0,"['SFFH', 'HFFF', 'FFHF', 'HHFG']"
1,27,0,1.0,0.9416796087056153,"['SFHH', 'HFFF', 'FHFF', 'HFFG']"
1,64,0,1.0,0.9791880578299021,"['SFFF', 'FHFF', 'FHFF', 'HFFG']"
1,93,0,1.0,0.9821344612135428,"['SFFF', 'FFFF', 'HFFH', 'FHFG']"
1,25,0,1.0,0.8631032605924442,"['SFHH', 'FHFF', 'FFFF', 'FHFG']"
1,39,0,0.0,0.0,"['SHHH', 'FFHH', 'FFFF', 'HFHG']"
1,60,0,1.0,0.9502058312852957,"['SFFH', 'FFFF', 'HFFF', 'FFHG']"
1,55,0,1.0,0.9304302024748964,"['SFHH', 'HFFF', 'FFFH', 'HFFG']"
1,34,0,0.0,0.0,"['SHHF', 'FFHF', 'HFFF', 'HHFG']"
1,100,0,1.0,0.9733217421754432,"['SFHH', 'FFFF', 'HFFF', 'HHHG']"
1,61,0,1.0,0.985089730404757,"['SFFF', 'HHFH', 'HHFF', 'FFFG']"
1,50,0,1.0,0.9248559951318693,"['SFHF', 'HFFF', 'HHHF', 'HFFG']"
1,43,0,0.0,0.0,"['SFHH', 'HFFH', 'FHFH', 'FHFG']"
1,17,0,0.0,0.0,"['SHHH', 'FHFH', 'FFFF', 'HHHG']"
1,97,0,1.0,0.9674905716180701,"['SFHH', 'FFFF', 'FFHF', 'HHFG']"
1,81,0,1.0,0.9733217421754432,"['SFFF', 'HHFF', 'FHFF', 'HFHG']"
1,31,0,1.0,0.8709180316048211,"['SFHF', 'HFFH', 'HHFF', 'HHFG']"
1,12,0,0.0,0.0,"['SHHF', 'FFHH', 'FFFF', 'FHHG']"
