Temperature,Simulations,Return,Discounted Return,Map
1,36,0,1.0,0.8476834558136123,"['SHFH', 'FFHF', 'FFHH', 'HFFG']"
1,25,0,0.0,0.0,"['SFFF', 'FHFH', 'FFHF', 'FFFG']"
1,45,0,1.0,0.9388545698794984,"['SFFH', 'HHFF', 'HFFF', 'FHHG']"
1,13,0,1.0,0.8631032605924442,"['SFFH', 'HHFF', 'HFFF', 'FFHG']"
1,57,0,1.0,0.9733217421754432,"['SFFF', 'FFFF', 'FHFF', 'FHFG']"
1,99,0,1.0,0.9733217421754432,"['SFFF', 'HFHF', 'FHHF', 'HFHG']"
1,14,0,1.0,0.9588092525966956,"['SFHF', 'HFFF', 'FFFH', 'FFFG']"
1,40,0,1.0,0.8921050870283477,"['SFHF', 'HFFH', 'FHFH', 'FFFG']"
1,72,0,1.0,0.9821344612135428,"['SFHH', 'FFFF', 'FFFF', 'HFFG']"
1,84,0,1.0,0.9762504936564125,"['SFFH', 'HFFF', 'HFFF', 'HFHG']"
1,50,0,1.0,0.8103284404851119,"['SFFH', 'FFHF', 'HFHH', 'HFFG']"
1,75,0,1.0,0.9388545698794984,"['SFFH', 'FHFF', 'HFHF', 'FHFG']"
1,88,0,1.0,0.9791880578299021,"['SFFH', 'HFHH', 'FFFF', 'HHFG']"
1,62,0,1.0,0.8250687380258053,"['SFHH', 'HFFH', 'FHFH', 'FFFG']"
1,80,0,1.0,0.9502058312852957,"['SHHH', 'FFHH', 'FFHF', 'FFFG']"
1,89,0,1.0,0.9791880578299021,"['SFFF', 'FFHF', 'HHFF', 'FFHG']"
1,62,0,1.0,0.93603800616986,"['SFFF', 'HHFH', 'HFFF', 'HFHG']"
1,75,0,1.0,0.9083329444789534,"['SHFF', 'FFFF', 'HHHF', 'FFHG']"
1,28,0,1.0,0.8325391341551359,"['SFHF', 'FFHF', 'FFFF', 'FHHG']"
1,62,0,1.0,0.8735386475474635,"['SFHF', 'FFHH', 'HFHF', 'HFFG']"
1,53,0,1.0,0.9530650263643888,"['SFFF', 'FHFH', 'FFFF', 'HHFG']"
1,64,0,1.0,0.9645880999032158,"['SHHF', 'FFFF', 'FHFH', 'HHFG']"
1,1,0,0.0,0.0,"['SFFF', 'FFHH', 'FFFF', 'FFHG']"
1,82,0,1.0,0.9645880999032158,"['SHHF', 'FHFH', 'FFFH', 'HHFG']"
1,43,0,1.0,0.9248559951318693,"['SHHF', 'FFFH', 'HFFH', 'HFFG']"
1,35,0,1.0,0.9473552137914398,"['SHFF', 'FFFH', 'FHFF', 'FHFG']"
1,14,0,1.0,0.9530650263643888,"['SFHF', 'FFHF', 'HFFH', 'FFFG']"
1,68,0,1.0,0.9821344612135428,"['SFHF', 'FFFF', 'FFFF', 'FFHG']"
1,74,0,1.0,0.8735386475474635,"['SFFH', 'HHFF', 'HHHF', 'FHFG']"
1,65,0,1.0,0.8947894553945313,"['SFHH', 'FFHF', 'HFHF', 'FFFG']"
1,23,0,1.0,0.9530650263643888,"['SHHF', 'FFFH', 'FHHF', 'FFFG']"
1,46,0,1.0,0.9704017769489168,"['SFFF', 'HFHF', 'FHFF', 'FHFG']"
1,45,0,0.0,0.0,"['SHHF', 'FHFH', 'FFFF', 'HFHG']"
1,63,0,1.0,0.9733217421754432,"['SFFH', 'FHFF', 'HHFH', 'FHFG']"
1,64,0,0.0,0.0,"['SHHF', 'FFFH', 'FFHH', 'HFFG']"
1,46,0,0.0,0.0,"['SFFF', 'HFHH', 'HFFF', 'FHHG']"
1,48,0,0.0,0.0,"['SHFF', 'FFFF', 'HHHF', 'HFFG']"
1,2,0,0.0,0.0,"['SFHF', 'FFHF', 'HFHH', 'HFFG']"
1,74,0,1.0,0.9791880578299021,"['SHHF', 'FFFF', 'FFFF', 'FHHG']"
1,79,0,1.0,0.90289112180858,"['SFHF', 'HFHF', 'FFFF', 'HFHG']"
1,24,0,0.0,0.0,"['SHFF', 'FFFF', 'HFFF', 'FHHG']"
1,80,0,1.0,0.9502058312852957,"['SFFH', 'HHFF', 'HFFH', 'FHFG']"
1,91,0,1.0,0.985089730404757,"['SHHF', 'FFFF', 'FFFF', 'FFFG']"
1,40,0,1.0,0.9445131481500655,"['SFHH', 'HFFF', 'FHFF', 'HFFG']"
1,55,0,1.0,0.9616943356035061,"['SHFF', 'FHFF', 'FFFF', 'FFFG']"
1,94,0,1.0,0.985089730404757,"['SFFF', 'FFHH', 'FHFF', 'FFFG']"
1,20,0,0.0,0.0,"['SHFH', 'FHFF', 'FFFF', 'FHHG']"
1,30,0,0.0,0.0,"['SFFH', 'HHFH', 'FHFF', 'FFHG']"
1,15,0,0.0,0.0,"['SHHH', 'FFFH', 'FFFH', 'FHFG']"
1,7,0,0.0,0.0,"['SHHF', 'FFHH', 'FFFF', 'FHHG']"
1,56,0,0.0,0.0,"['SHHF', 'FFHH', 'HFFF', 'HHHG']"
1,53,0,1.0,0.9445131481500655,"['SHFH', 'FFFH', 'FFFH', 'FHFG']"
1,87,0,1.0,0.9616943356035061,"['SHFH', 'FFFF', 'HHHF', 'HHFG']"
1,92,0,1.0,0.9821344612135428,"['SHFF', 'FFFF', 'HFFF', 'FHFG']"
1,21,0,0.0,0.0,"['SHFH', 'FFFF', 'FHFF', 'HFFG']"
1,92,0,1.0,0.985089730404757,"['SFHF', 'HFHH', 'FFFF', 'HFFG']"
1,65,0,1.0,0.9248559951318693,"['SFFH', 'FFHH', 'FFFH', 'FHFG']"
1,7,0,0.0,0.0,"['SHHH', 'FFHF', 'FFFF', 'HFHG']"
1,75,0,1.0,0.9616943356035061,"['SHFH', 'FHFF', 'FHFF', 'FFFG']"
1,35,0,0.0,0.0,"['SHHF', 'FFFH', 'HHFH', 'FFFG']"
1,66,0,1.0,0.9530650263643888,"['SFHH', 'FFFF', 'FFHF', 'FHFG']"
1,98,0,1.0,0.9220814271464737,"['SFFH', 'FFFF', 'FHHF', 'FFHG']"
1,97,0,1.0,0.9762504936564125,"['SFFH', 'HFFH', 'FFFH', 'HHFG']"
1,89,0,1.0,0.9530650263643888,"['SFHH', 'FHFF', 'FFFF', 'FHFG']"
1,81,0,1.0,0.9645880999032158,"['SFFH', 'FFFF', 'HFHF', 'FHHG']"
1,37,0,1.0,0.8657003616774767,"['SFFH', 'HHFH', 'FHFF', 'FHHG']"
1,77,0,1.0,0.9445131481500655,"['SFFH', 'FFFF', 'HFHF', 'FHFG']"
1,43,0,1.0,0.9588092525966956,"['SFHH', 'FFFF', 'HFFF', 'FHHG']"
1,39,0,1.0,0.9733217421754432,"['SFFF', 'FFFF', 'HHHF', 'FFHG']"
1,35,0,0.0,0.0,"['SHHF', 'FFHF', 'HFFH', 'FFFG']"
1,18,0,1.0,0.9704017769489168,"['SFFH', 'HFFF', 'HHFF', 'HFFG']"
1,21,0,0.0,0.0,"['SHFH', 'FFHH', 'HFFF', 'HFHG']"
1,10,0,0.0,0.0,"['SFFH', 'HFHF', 'FFFH', 'HHFG']"
1,42,0,1.0,0.9276389118674717,"['SFFH', 'HFFH', 'FHFH', 'HFFG']"
1,12,0,0.0,0.0,"['SHHH', 'FFFF', 'HHHF', 'FHHG']"
1,35,0,1.0,0.8709180316048211,"['SFHF', 'HFHH', 'HFHH', 'HFFG']"
1,32,0,1.0,0.9001824484431542,"['SHFF', 'FFFF', 'HHHF', 'FFHG']"
1,69,0,1.0,0.9588092525966956,"['SHFH', 'FFFH', 'FHHH', 'FFFG']"
1,83,0,1.0,0.9821344612135428,"['SHFF', 'FHFF', 'FFFF', 'FFFG']"
1,72,0,1.0,0.9110661429076764,"['SFFH', 'HHFF', 'HFHF', 'FHHG']"
1,59,0,1.0,0.8451404054461714,"['SHHH', 'FFHH', 'HFFH', 'HFFG']"
1,87,0,1.0,0.837556937769312,"['SHHF', 'FHHH', 'FFFF', 'FFHG']"
1,81,0,1.0,0.9332298921513504,"['SFHF', 'FFFH', 'HHFH', 'FHFG']"
1,93,0,1.0,0.90289112180858,"['SFHH', 'FFFH', 'HFFF', 'FFHG']"
1,31,0,0.0,0.0,"['SHFH', 'FFFF', 'FFFH', 'HFFG']"
1,58,0,1.0,0.9388545698794984,"['SFFH', 'HFFF', 'HFHF', 'FFHG']"
1,95,0,1.0,0.9704017769489168,"['SFHF', 'HFHH', 'FFHH', 'FFFG']"
1,91,0,1.0,0.985089730404757,"['SFFH', 'FHFH', 'FFFF', 'HFFG']"
1,18,0,1.0,0.9821344612135428,"['SFFF', 'FHFF', 'HFFF', 'HHHG']"
1,91,0,1.0,0.9821344612135428,"['SFFF', 'HFFF', 'HHFF', 'HHFG']"
1,75,0,1.0,0.9762504936564125,"['SFFF', 'FFFH', 'FHFH', 'HFFG']"
1,2,0,0.0,0.0,"['SFFF', 'FFFH', 'HHFH', 'HHFG']"
1,32,0,1.0,0.9588092525966956,"['SFFF', 'FFHH', 'HFFF', 'FFFG']"
1,21,0,1.0,0.9616943356035061,"['SFFH', 'FFFH', 'FFFF', 'HHHG']"
1,97,0,1.0,0.9559328248389055,"['SFFH', 'HFHF', 'HFHH', 'HFFG']"
1,74,0,1.0,0.9704017769489168,"['SHHH', 'FFHF', 'FFFH', 'HFFG']"
1,71,0,0.0,0.0,"['SHHH', 'FFHF', 'HFFF', 'HHHG']"
1,90,0,1.0,0.8867604854519608,"['SHHH', 'FFHH', 'FHHH', 'FFFG']"
1,59,0,1.0,0.9248559951318693,"['SFHF', 'HFFF', 'HHHF', 'HHHG']"
1,75,0,1.0,0.9588092525966956,"['SFFF', 'HHHF', 'FHHF', 'FFHG']"
1,90,0,1.0,0.9791880578299021,"['SFHF', 'HFFH', 'HFFF', 'FHFG']"
1,28,0,0.0,0.0,"['SHHH', 'FFHF', 'FHFF', 'FFFG']"
1,69,0,1.0,0.7816331707050701,"['SFFH', 'HFHF', 'HFFF', 'HFHG']"
1,49,0,1.0,0.8426049842298329,"['SFFH', 'HHFF', 'HFHF', 'FFFG']"
1,31,0,0.0,0.0,"['SHFH', 'FFFH', 'HHFF', 'HHHG']"
1,9,0,0.0,0.0,"['SFFH', 'FFHH', 'HFFH', 'FFFG']"
1,40,0,0.0,0.0,"['SFHH', 'FHFH', 'FFFF', 'FFHG']"
1,89,0,1.0,0.985089730404757,"['SHFH', 'FFHH', 'FFFH', 'FFFG']"
1,17,0,0.0,0.0,"['SHHH', 'FFHF', 'FHHF', 'FFFG']"
1,47,0,1.0,0.9733217421754432,"['SFFF', 'HHFF', 'FHHF', 'HHHG']"
1,28,0,1.0,0.8921050870283477,"['SFHH', 'FFFH', 'HFFF', 'HFHG']"
1,92,0,1.0,0.9821344612135428,"['SHFF', 'FFFF', 'HHFF', 'FFHG']"
1,13,0,0.0,0.0,"['SFHF', 'FFFF', 'FHHF', 'FFFG']"
1,6,0,0.0,0.0,"['SFFH', 'HHFH', 'FHFH', 'FFFG']"
1,6,0,0.0,0.0,"['SFFF', 'FHFH', 'FFFF', 'HHHG']"
1,1,0,0.0,0.0,"['SHHH', 'FFFH', 'HHFF', 'HHFG']"
1,33,0,1.0,0.8867604854519608,"['SFFF', 'FFHF', 'FHFF', 'HHFG']"
1,10,0,0.0,0.0,"['SFHF', 'HFFF', 'HHFF', 'HHHG']"
1,52,0,1.0,0.8867604854519608,"['SFHH', 'FFHF', 'FFFF', 'HHHG']"
1,44,0,1.0,0.9502058312852957,"['SFFF', 'FHFH', 'FHFH', 'HHFG']"
1,88,0,1.0,0.8527925358961662,"['SFHH', 'FFHF', 'HFFH', 'FHFG']"
1,49,0,1.0,0.8225935318117279,"['SFFH', 'FFFH', 'HHFH', 'HHFG']"
1,76,0,1.0,0.9220814271464737,"['SFFH', 'FFHF', 'FFFF', 'HFHG']"
1,2,0,0.0,0.0,"['SFFF', 'FFHF', 'HHFF', 'HFFG']"
1,85,0,1.0,0.9674905716180701,"['SFFH', 'HFFH', 'FFFH', 'FHFG']"
1,79,0,1.0,0.985089730404757,"['SFFF', 'FHFH', 'FFHF', 'FFFG']"
1,27,0,1.0,0.9530650263643888,"['SFFF', 'HFFH', 'HFFF', 'FHFG']"
1,49,0,1.0,0.93603800616986,"['SHHF', 'FFHF', 'FFHF', 'HFFG']"
1,13,0,1.0,0.9332298921513504,"['SFFF', 'HFFF', 'FFFF', 'FFHG']"
1,73,0,1.0,0.9588092525966956,"['SFHH', 'HFFF', 'HFHH', 'FFFG']"
1,86,0,1.0,0.985089730404757,"['SFHF', 'FFFF', 'HHFF', 'FHFG']"
1,18,0,1.0,0.9530650263643888,"['SFFF', 'FHFF', 'FFFF', 'FHFG']"
1,29,0,1.0,0.9220814271464737,"['SFFH', 'HHFH', 'HFFF', 'FFHG']"
1,12,0,1.0,0.9138075656044898,"['SFFH', 'HHFF', 'HHHF', 'HFFG']"
1,1,0,0.0,0.0,"['SFFF', 'FHFF', 'FHFH', 'HFFG']"
1,14,0,0.0,0.0,"['SFHF', 'FFFH', 'HFHF', 'FFFG']"
1,66,0,1.0,0.8974819010978248,"['SFFH', 'HFHF', 'HFFH', 'HHFG']"
1,63,0,1.0,0.9416796087056153,"['SFHH', 'HFFH', 'FFFH', 'FHFG']"
1,46,0,0.0,0.0,"['SHHF', 'FFFH', 'FHFH', 'HFFG']"
1,44,0,0.0,0.0,"['SHFF', 'FFFF', 'HFFH', 'FHFG']"
1,31,0,1.0,0.9588092525966956,"['SFHH', 'FFFF', 'FFFF', 'HFFG']"
1,80,0,1.0,0.9530650263643888,"['SHHF', 'FHHF', 'FFFF', 'HHFG']"
1,57,0,0.0,0.0,"['SHFH', 'FHFF', 'FFFF', 'HHHG']"
1,7,0,0.0,0.0,"['SHFF', 'FHFF', 'FHHF', 'FFFG']"
1,22,0,0.0,0.0,"['SHFF', 'FFFF', 'HHFH', 'HHFG']"
1,28,0,1.0,0.8761671489944468,"['SHHH', 'FFFF', 'FFFF', 'FHHG']"
1,96,0,0.0,0.0,"['SHFH', 'FFHH', 'HFFH', 'FHFG']"
1,80,0,1.0,0.985089730404757,"['SFFF', 'FHHF', 'FFHF', 'HHHG']"
1,35,0,1.0,0.9645880999032158,"['SFFF', 'HHFH', 'HFFF', 'HFFG']"
