Temperature,Simulations,Return,Discounted Return,Map
1,100,0,1.0,0.9733217421754432,"['SHFF', 'FHFH', 'FHFH', 'FFFG']"
1,17,0,0.0,0.0,"['SFFH', 'HHFF', 'FFFH', 'FFFG']"
1,63,0,1.0,0.9762504936564125,"['SFHH', 'FFHH', 'FFHF', 'FFFG']"
1,95,0,1.0,0.8761671489944468,"['SFFH', 'FHFH', 'FHHH', 'FFFG']"
1,95,0,1.0,0.9304302024748964,"['SFHF', 'FFFF', 'FFHF', 'FHHG']"
1,16,0,1.0,0.9704017769489168,"['SFHF', 'FHHH', 'FFFF', 'HFFG']"
1,18,0,1.0,0.9674905716180701,"['SFHF', 'FFHH', 'FFFF', 'HFFG']"
1,35,0,1.0,0.9248559951318693,"['SFFH', 'FFFF', 'FFHF', 'FHFG']"
1,38,0,1.0,0.985089730404757,"['SFFH', 'FHHH', 'FFHF', 'FFFG']"
1,88,0,1.0,0.9530650263643888,"['SFFH', 'FHFF', 'FFHF', 'HHFG']"
1,21,0,1.0,0.9056079456455165,"['SFFF', 'FHFF', 'FFHF', 'HFFG']"
1,87,0,1.0,0.9762504936564125,"['SHHF', 'FFHH', 'FFFF', 'FFFG']"
1,50,0,1.0,0.78398512608332,"['SHHH', 'FFHH', 'FFFH', 'HHFG']"
1,19,0,1.0,0.9530650263643888,"['SFFH', 'HFHH', 'HFFF', 'HFFG']"
1,49,0,1.0,0.9821344612135428,"['SHHH', 'FHFF', 'FFFH', 'FFFG']"
1,57,0,0.0,0.0,"['SHFF', 'FFFH', 'HFFF', 'HHHG']"
1,73,0,1.0,0.9791880578299021,"['SFHF', 'FHFH', 'FFFF', 'HFFG']"
1,79,0,1.0,0.9733217421754432,"['SFFF', 'HFFH', 'HHFH', 'FFFG']"
1,32,0,1.0,0.8974819010978248,"['SFHH', 'HFFF', 'FFHF', 'FHFG']"
1,34,0,1.0,0.9762504936564125,"['SHFH', 'FFHH', 'HFFF', 'HFFG']"
1,62,0,1.0,0.9733217421754432,"['SFFF', 'HHHF', 'HHHF', 'FFHG']"
1,61,0,1.0,0.9704017769489168,"['SFFH', 'FHFF', 'HFFH', 'HFFG']"
1,28,0,1.0,0.9332298921513504,"['SFFF', 'FFFF', 'HFHF', 'HHFG']"
1,77,0,1.0,0.9674905716180701,"['SFFH', 'HFFF', 'FHFF', 'HFFG']"
1,29,0,1.0,0.9645880999032158,"['SFFH', 'FFFF', 'HFFF', 'FFFG']"
1,85,0,1.0,0.9704017769489168,"['SFHF', 'FFFF', 'FFFH', 'FHFG']"
1,58,0,1.0,0.9056079456455165,"['SFHH', 'HFHH', 'HFFH', 'HFFG']"
1,90,0,1.0,0.9704017769489168,"['SFFH', 'FFHF', 'FFFH', 'FFFG']"
1,49,0,1.0,0.8054737627981655,"['SFHH', 'FFFH', 'FHHH', 'FFFG']"
1,15,0,0.0,0.0,"['SHFF', 'FFFF', 'FHHF', 'FHFG']"
1,44,0,1.0,0.985089730404757,"['SHHH', 'FFFF', 'FHFF', 'FHFG']"
1,73,0,1.0,0.9416796087056153,"['SFFF', 'FHFH', 'FHFF', 'FHFG']"
1,64,0,1.0,0.9473552137914398,"['SFFH', 'FHFH', 'HFFF', 'HFFG']"
1,56,0,0.0,0.0,"['SFHF', 'HFFH', 'HHFH', 'HFFG']"
1,12,0,1.0,0.9416796087056153,"['SFHF', 'HFFH', 'FFFF', 'HFFG']"
1,92,0,0.0,0.0,"['SHFH', 'FFFH', 'FFFF', 'HFHG']"
1,82,0,1.0,0.9559328248389055,"['SFFH', 'HFFH', 'FFFF', 'FFHG']"
1,22,0,0.0,0.0,"['SHHH', 'FFHH', 'HFFF', 'FHFG']"
1,74,0,1.0,0.8761671489944468,"['SFHH', 'FHHF', 'FFFF', 'FHFG']"
