Temperature,Simulations,Return,Discounted Return,Map
1,91,0,1.0,0.8814479033836181,"['SHHH', 'FFHH', 'FFHH', 'HFFG']"
1,11,0,0.0,0.0,"['SHHF', 'FFFH', 'HHFH', 'HHFG']"
1,53,0,1.0,0.9193151828650342,"['SFFH', 'HFHF', 'HFFF', 'HHFG']"
1,97,0,1.0,0.9616943356035061,"['SFFF', 'FHFH', 'FHFH', 'FFFG']"
1,69,0,1.0,0.9165572373164391,"['SFFF', 'FFFH', 'HFHF', 'FFFG']"
1,90,0,1.0,0.985089730404757,"['SFHH', 'FFFF', 'FFFF', 'FFHG']"
1,87,0,1.0,0.8921050870283477,"['SFFH', 'FHFF', 'FHFH', 'FHFG']"
1,87,0,1.0,0.9220814271464737,"['SFFF', 'FFHH', 'HFFH', 'HFFG']"
1,82,0,1.0,0.9588092525966956,"['SFFF', 'FFHH', 'HFHH', 'FFFG']"
1,53,0,1.0,0.9791880578299021,"['SFFF', 'FFFF', 'FFHF', 'FHFG']"
1,36,0,1.0,0.9332298921513504,"['SFHF', 'FFFF', 'HFHF', 'HFFG']"
1,2,0,0.0,0.0,"['SFFF', 'HHFF', 'HHFH', 'FHFG']"
1,67,0,1.0,0.9762504936564125,"['SFFH', 'HFHH', 'FFHH', 'HFFG']"
1,74,0,1.0,0.9056079456455165,"['SHHF', 'FHHF', 'FFHH', 'HFFG']"
1,64,0,1.0,0.9530650263643888,"['SHFF', 'FFHF', 'FFFF', 'HHHG']"
1,45,0,1.0,0.8974819010978248,"['SFHH', 'HFHH', 'HFFF', 'FHFG']"
1,88,0,1.0,0.8553586117313603,"['SFHH', 'HFFH', 'FHFF', 'HHHG']"
1,97,0,1.0,0.9616943356035061,"['SFFH', 'FHFF', 'FHHF', 'FHFG']"
1,16,0,0.0,0.0,"['SHHF', 'FFHH', 'HFFH', 'HHFG']"
1,23,0,1.0,0.9530650263643888,"['SFFF', 'FFHH', 'FFHH', 'FFFG']"
1,69,0,1.0,0.9674905716180701,"['SFFF', 'HFHF', 'FHHF', 'HHHG']"
1,20,0,1.0,0.9674905716180701,"['SFFF', 'FHHF', 'FFFF', 'FFHG']"
1,91,0,1.0,0.8788035596734672,"['SHFH', 'FFFH', 'HHFF', 'FFFG']"
1,6,0,0.0,0.0,"['SHHF', 'FFFF', 'FFHH', 'HFFG']"
1,36,0,1.0,0.9220814271464737,"['SFFF', 'FFHF', 'FFHF', 'HFHG']"
1,74,0,1.0,0.9821344612135428,"['SFFF', 'FFFH', 'HFFF', 'HFFG']"
1,80,0,1.0,0.9588092525966956,"['SFFF', 'FHFH', 'HFFF', 'FHHG']"
1,96,0,1.0,0.9704017769489168,"['SHFF', 'FFHF', 'HFFF', 'HHFG']"
1,93,0,1.0,0.7494371162085136,"['SHHH', 'FFFH', 'HHFH', 'FHFG']"
1,97,0,1.0,0.7816331707050701,"['SHHF', 'FFFF', 'HHHF', 'HHFG']"
1,44,0,1.0,0.8657003616774767,"['SFFH', 'FFHF', 'FFFH', 'HHFG']"
1,47,0,1.0,0.9001824484431542,"['SFFF', 'FHFH', 'HHFF', 'FHHG']"
1,81,0,0.0,0.0,"['SHFH', 'FFFF', 'HHHF', 'FFHG']"
1,7,0,0.0,0.0,"['SFHF', 'FFFH', 'FFFF', 'HFFG']"
1,79,0,1.0,0.9220814271464737,"['SFFF', 'FHFF', 'HHFH', 'HHFG']"
1,62,0,1.0,0.93603800616986,"['SFFH', 'FFHF', 'FFFH', 'HFFG']"
1,59,0,1.0,0.9733217421754432,"['SFFF', 'FHHF', 'HFFF', 'FFHG']"
1,28,0,1.0,0.9704017769489168,"['SFFF', 'HFHH', 'HFFF', 'FHFG']"
1,86,0,1.0,0.7863441585589971,"['SHFF', 'FHFF', 'FFFF', 'HHHG']"
1,49,0,1.0,0.9733217421754432,"['SFFF', 'HFFF', 'FHFH', 'FHFG']"
1,77,0,0.0,0.0,"['SHFH', 'FFFH', 'HFHF', 'HFFG']"
1,8,0,1.0,0.9083329444789534,"['SFFH', 'FHFF', 'FHFF', 'HHFG']"
1,53,0,1.0,0.9110661429076764,"['SFHF', 'FFHF', 'HFHH', 'FFFG']"
1,82,0,1.0,0.9762504936564125,"['SFFF', 'FFFF', 'FFFH', 'HHFG']"
1,53,0,0.0,0.0,"['SFFH', 'FHHF', 'FFFF', 'HHHG']"
1,22,0,0.0,0.0,"['SHHF', 'FFFF', 'FFFF', 'HFFG']"
1,43,0,0.0,0.0,"['SHHF', 'FFHH', 'FFFH', 'HFFG']"
1,56,0,1.0,0.9530650263643888,"['SHFF', 'FFHH', 'FFFF', 'FFHG']"
1,18,0,0.0,0.0,"['SFFH', 'FFFH', 'HFFF', 'FFHG']"
1,1,0,0.0,0.0,"['SFFF', 'HFFF', 'HHFF', 'FFFG']"
1,33,0,0.0,0.0,"['SHFH', 'FFHH', 'HFFF', 'FFFG']"
1,16,0,1.0,0.9733217421754432,"['SFFH', 'FHFF', 'FHFF', 'HHFG']"
1,4,0,0.0,0.0,"['SFHH', 'FFFH', 'HFFH', 'FFFG']"
1,89,0,1.0,0.9733217421754432,"['SFHF', 'FFFH', 'FHFF', 'FHFG']"
1,83,0,1.0,0.985089730404757,"['SFHH', 'FHFF', 'FFHF', 'FFFG']"
1,19,0,1.0,0.9733217421754432,"['SFFH', 'FFFH', 'FHFH', 'FFFG']"
1,80,0,1.0,0.9762504936564125,"['SHFF', 'FHFH', 'FFFF', 'FFHG']"
1,33,0,1.0,0.9276389118674717,"['SFFH', 'HHFF', 'HHHF', 'HFFG']"
1,87,0,1.0,0.9821344612135428,"['SHHF', 'FFHH', 'FHFH', 'FFFG']"
1,21,0,0.0,0.0,"['SHHH', 'FFFH', 'HFFF', 'FHHG']"
1,18,0,1.0,0.9445131481500655,"['SFFF', 'HFFH', 'HFFH', 'HHFG']"
1,100,0,1.0,0.9674905716180701,"['SFFH', 'FFFF', 'FHFH', 'FHFG']"
1,20,0,0.0,0.0,"['SFFF', 'FFHF', 'FFHH', 'HFFG']"
1,59,0,1.0,0.9791880578299021,"['SFHF', 'FFFH', 'FHFF', 'FHFG']"
1,18,0,0.0,0.0,"['SFHF', 'HFFF', 'HHHF', 'FHFG']"
1,36,0,1.0,0.93603800616986,"['SFFF', 'HFHF', 'HHFF', 'HHHG']"
1,48,0,1.0,0.9645880999032158,"['SFFF', 'FFHF', 'HHHF', 'HHFG']"
1,76,0,1.0,0.985089730404757,"['SFFF', 'HFFH', 'FFFF', 'HFFG']"
1,15,0,0.0,0.0,"['SFFH', 'FFFH', 'FHHF', 'FFFG']"
1,44,0,1.0,0.9821344612135428,"['SFFF', 'FHFF', 'HFHF', 'HHHG']"
1,54,0,1.0,0.7887102894272789,"['SHHH', 'FFFF', 'FFHF', 'FHFG']"
1,10,0,0.0,0.0,"['SHFH', 'FFFH', 'FHFF', 'FHHG']"
1,61,0,1.0,0.9530650263643888,"['SFHF', 'FFFF', 'HFFF', 'FHHG']"
1,39,0,1.0,0.9276389118674717,"['SFHH', 'HFHH', 'FFHH', 'HFFG']"
1,41,0,0.0,0.0,"['SHHF', 'FFFH', 'HFHH', 'HFFG']"
1,99,0,1.0,0.9588092525966956,"['SFHF', 'FHHF', 'FHFF', 'FFFG']"
1,68,0,1.0,0.9588092525966956,"['SHHF', 'FFFH', 'FFHF', 'FFFG']"
1,9,0,0.0,0.0,"['SHHH', 'FFFF', 'FFFF', 'HFFG']"
1,100,0,1.0,0.9762504936564125,"['SHHF', 'FFHF', 'FFFF', 'FHFG']"
1,11,0,0.0,0.0,"['SFHH', 'FHFF', 'FHHF', 'FFFG']"
1,14,0,0.0,0.0,"['SHFF', 'FFHH', 'FFHF', 'HFFG']"
1,48,0,0.0,0.0,"['SHHF', 'FHHF', 'FFFH', 'FHFG']"
1,90,0,1.0,0.8761671489944468,"['SHFH', 'FFFF', 'FHHF', 'FHHG']"
1,95,0,1.0,0.985089730404757,"['SFHH', 'FFFH', 'FFFF', 'HFFG']"
1,52,0,1.0,0.9762504936564125,"['SFFF', 'FFHF', 'FHHF', 'HFHG']"
1,63,0,1.0,0.9733217421754432,"['SHHH', 'FFFH', 'HFFF', 'HFFG']"
1,60,0,1.0,0.9220814271464737,"['SFFF', 'FFHH', 'FFHH', 'FFFG']"
1,94,0,1.0,0.9502058312852957,"['SFFF', 'FHFF', 'HHFH', 'HHFG']"
1,93,0,1.0,0.8921050870283477,"['SHFF', 'FFFF', 'FHHF', 'FHFG']"
1,88,0,1.0,0.9704017769489168,"['SFFH', 'HFFH', 'HHFF', 'FFFG']"
1,22,0,0.0,0.0,"['SHHH', 'FFHH', 'FFFH', 'HFFG']"
1,94,0,1.0,0.985089730404757,"['SFFF', 'HHFF', 'HFFF', 'HFHG']"
1,34,0,1.0,0.8709180316048211,"['SFHF', 'FHFF', 'FHFH', 'FFFG']"
1,69,0,1.0,0.9248559951318693,"['SFFH', 'HHFF', 'FHHF', 'HFFG']"
1,19,0,0.0,0.0,"['SFHH', 'FHFF', 'FFFF', 'FFHG']"
1,28,0,1.0,0.985089730404757,"['SFHH', 'FFFF', 'FFHF', 'FFFG']"
1,61,0,1.0,0.9473552137914398,"['SFFF', 'FFFH', 'FFFF', 'FFHG']"
1,36,0,1.0,0.9791880578299021,"['SFHF', 'FHHH', 'FFFF', 'HFFG']"
1,24,0,0.0,0.0,"['SFFF', 'FFHH', 'FFFF', 'HHFG']"
1,81,0,1.0,0.9388545698794984,"['SFFH', 'HHFF', 'FHHF', 'HHFG']"
1,98,0,1.0,0.8300415167526705,"['SHFH', 'FHHH', 'FFFF', 'HFHG']"
