Temperature,Simulations,Return,Discounted Return,Map
1,25,0,0.0,0.0,"['SHHF', 'FFHF', 'FHHF', 'FFFG']"
1,88,0,1.0,0.9821344612135428,"['SFFF', 'HHHF', 'FHFF', 'FFHG']"
1,99,0,1.0,0.9704017769489168,"['SFFF', 'FFHH', 'HFHF', 'HFFG']"
1,60,0,0.0,0.0,"['SHHH', 'FHHH', 'FFFF', 'FFHG']"
1,86,0,1.0,0.9416796087056153,"['SFFH', 'FFFF', 'FHHF', 'HHFG']"
1,95,0,1.0,0.9821344612135428,"['SFHH', 'FFFH', 'FFFF', 'HFFG']"
1,53,0,1.0,0.9220814271464737,"['SFHH', 'FHHF', 'FHHF', 'FFFG']"
1,21,0,1.0,0.9473552137914398,"['SFFF', 'FFFF', 'HHHF', 'FFHG']"
1,90,0,1.0,0.9791880578299021,"['SHFH', 'FFFF', 'HFFF', 'HHFG']"
1,46,0,1.0,0.9821344612135428,"['SHHH', 'FHHH', 'FFFH', 'FFFG']"
1,18,0,0.0,0.0,"['SFFH', 'FHHF', 'FFFF', 'HHHG']"
1,61,0,1.0,0.9674905716180701,"['SHFH', 'FFFF', 'FHFH', 'FFFG']"
1,50,0,1.0,0.9791880578299021,"['SFFH', 'HFFF', 'HHFF', 'HFFG']"
1,84,0,1.0,0.9445131481500655,"['SHHH', 'FFHH', 'HFFF', 'HFFG']"
1,54,0,0.0,0.0,"['SHFF', 'FFFF', 'FHHF', 'FHFG']"
1,80,0,1.0,0.9445131481500655,"['SFFH', 'HHFF', 'HFHF', 'HHFG']"
1,32,0,0.0,0.0,"['SHHF', 'FFHF', 'FFFF', 'HFHG']"
1,26,0,1.0,0.9616943356035061,"['SFFH', 'FHFH', 'FFFF', 'FFFG']"
1,12,0,0.0,0.0,"['SHHH', 'FFFH', 'FFFF', 'FHHG']"
1,15,0,0.0,0.0,"['SFFH', 'HHFF', 'HFHF', 'HFHG']"
1,4,0,0.0,0.0,"['SFHH', 'FFFF', 'HHFF', 'FFHG']"
1,58,0,1.0,0.9473552137914398,"['SHFH', 'FHHF', 'FHFF', 'FFFG']"
1,85,0,1.0,0.9645880999032158,"['SFFH', 'FHFH', 'FHFF', 'FFFG']"
1,78,0,0.0,0.0,"['SHHF', 'FFHF', 'HFFH', 'FFFG']"
1,65,0,1.0,0.9821344612135428,"['SFFF', 'HFFH', 'FFFF', 'HFFG']"
