Temperature,Simulations,Return,Discounted Return,Map
1,48,0,1.0,0.9530650263643888,"['SFHH', 'FHFF', 'FHHH', 'FFFG']"
1,27,0,0.0,0.0,"['SFHH', 'FFFF', 'FHHF', 'FHHG']"
1,42,0,1.0,0.9821344612135428,"['SFFH', 'HHFF', 'FFFF', 'HFFG']"
1,44,0,1.0,0.9559328248389055,"['SFFH', 'HFFF', 'FHFF', 'FHHG']"
1,43,0,1.0,0.9001824484431542,"['SFFH', 'FFFF', 'HFFH', 'HHFG']"
1,43,0,1.0,0.79346393184295,"['SFHF', 'HFFH', 'HFHH', 'HFFG']"
1,60,0,1.0,0.9821344612135428,"['SFHF', 'FFHH', 'FFFF', 'FHFG']"
1,4,0,0.0,0.0,"['SHFF', 'FFFF', 'FHFF', 'HFFG']"
1,37,0,1.0,0.9704017769489168,"['SHFH', 'FHFH', 'FFFF', 'HFFG']"
1,51,0,1.0,0.9674905716180701,"['SFFF', 'HFFF', 'HFFF', 'FHFG']"
1,50,0,1.0,0.9388545698794984,"['SFHF', 'FFFH', 'FHFF', 'HHFG']"
1,89,0,1.0,0.985089730404757,"['SHHH', 'FHHH', 'FFFF', 'FHFG']"
1,70,0,1.0,0.9704017769489168,"['SFFH', 'FHFF', 'FFFH', 'HFFG']"
1,5,0,0.0,0.0,"['SFHF', 'FFFF', 'HHHF', 'FHFG']"
1,100,0,1.0,0.985089730404757,"['SFHH', 'FHFH', 'FFFF', 'FFFG']"
1,43,0,1.0,0.9733217421754432,"['SHFH', 'FFFF', 'HFFF', 'HFHG']"
1,15,0,1.0,0.8788035596734672,"['SFFH', 'FHFF', 'HHFF', 'FFFG']"
1,33,0,0.0,0.0,"['SFFF', 'FFHH', 'HFFF', 'HHFG']"
1,31,0,1.0,0.8974819010978248,"['SFHH', 'HFFF', 'FHFF', 'HHFG']"
1,80,0,0.0,0.0,"['SHFF', 'FHHH', 'FFFF', 'HHHG']"
1,90,0,1.0,0.9473552137914398,"['SHFF', 'FFHF', 'FFFF', 'FHHG']"
1,90,0,0.0,0.0,"['SHFH', 'FFFF', 'HHFH', 'HHFG']"
1,39,0,1.0,0.8947894553945313,"['SFFH', 'FFFH', 'FFHH', 'HFFG']"
1,40,0,1.0,0.9704017769489168,"['SHFF', 'FFFF', 'FFFF', 'HFHG']"
1,90,0,1.0,0.9762504936564125,"['SFFH', 'FFHF', 'FHFH', 'FFFG']"
1,94,0,1.0,0.9791880578299021,"['SFFF', 'FFFH', 'HHFF', 'FHFG']"
1,1,0,0.0,0.0,"['SHFF', 'FHHF', 'FFFF', 'HHHG']"
1,11,0,0.0,0.0,"['SFHF', 'FFHF', 'HFFF', 'FHHG']"
1,77,0,1.0,0.9276389118674717,"['SFHF', 'FFFF', 'FHFF', 'FHFG']"
1,34,0,1.0,0.9530650263643888,"['SFFF', 'HHHF', 'FFFF', 'HFFG']"
1,34,0,1.0,0.9559328248389055,"['SFFF', 'FFHF', 'FFHF', 'FFFG']"
1,33,0,1.0,0.835044266956004,"['SHFF', 'FHFF', 'FFFF', 'FFHG']"
1,96,0,1.0,0.9821344612135428,"['SFFF', 'HFFF', 'FHHF', 'HFHG']"
1,89,0,1.0,0.9704017769489168,"['SHHH', 'FHHF', 'FFHH', 'FFFG']"
1,61,0,1.0,0.9733217421754432,"['SHHF', 'FFFH', 'HFFF', 'HFHG']"
1,47,0,1.0,0.9762504936564125,"['SFHF', 'HFFF', 'FHFF', 'HHFG']"
