Temperature,Simulations,Return,Discounted Return,Map
1,12,0,1.0,0.8325391341551359,"['SFFF', 'HFHF', 'HFHF', 'HHFG']"
1,19,0,1.0,0.9220814271464737,"['SFFH', 'FFFF', 'HFHF', 'HHFG']"
1,23,0,0.0,0.0,"['SHHF', 'FFHF', 'HFFF', 'FFHG']"
1,7,0,0.0,0.0,"['SHHF', 'FFFH', 'HHFF', 'FFHG']"
1,26,0,1.0,0.8103284404851119,"['SFFF', 'FHHH', 'FHHF', 'FFFG']"
1,2,0,0.0,0.0,"['SFFH', 'FHFF', 'HHFH', 'HFFG']"
1,32,0,0.0,0.0,"['SFFH', 'FFHF', 'FFFF', 'HHHG']"
1,77,0,1.0,0.9616943356035061,"['SHHH', 'FFFF', 'FFFF', 'HHFG']"
1,31,0,0.0,0.0,"['SFHF', 'FFHH', 'FFFF', 'HFHG']"
1,79,0,1.0,0.9332298921513504,"['SFFH', 'FHFF', 'FHHF', 'HHFG']"
1,76,0,1.0,0.985089730404757,"['SFFH', 'FHHF', 'FFFF', 'HFFG']"
1,77,0,1.0,0.9791880578299021,"['SHHH', 'FFFF', 'HFFF', 'FHHG']"
1,6,0,0.0,0.0,"['SHHF', 'FFFF', 'FHHH', 'FFFG']"
1,35,0,1.0,0.9645880999032158,"['SFFF', 'HFHF', 'FFFF', 'HFFG']"
1,36,0,1.0,0.9445131481500655,"['SFFF', 'FFFF', 'FFFF', 'FHHG']"
1,62,0,1.0,0.9110661429076764,"['SFHF', 'HFFH', 'FHFF', 'HFFG']"
1,51,0,1.0,0.8894287717672626,"['SFHH', 'FFFH', 'HFHF', 'HFFG']"
1,26,0,1.0,0.9502058312852957,"['SFFH', 'HHFH', 'FFFH', 'HFFG']"
1,59,0,1.0,0.7816331707050701,"['SFFH', 'FFHF', 'HFHF', 'FFFG']"
1,1,0,0.0,0.0,"['SFHF', 'FFHH', 'FFHH', 'HFFG']"
1,46,0,0.0,0.0,"['SHFF', 'FFFF', 'HHHF', 'FHHG']"
1,14,0,0.0,0.0,"['SFFH', 'HHFF', 'FHHF', 'HFHG']"
1,82,0,1.0,0.9530650263643888,"['SHFH', 'FFHF', 'HFFH', 'FHFG']"
1,63,0,1.0,0.9821344612135428,"['SFHH', 'FFHF', 'HFFF', 'FHFG']"
1,9,0,0.0,0.0,"['SHHF', 'FHFH', 'FFFF', 'HFFG']"
1,22,0,1.0,0.9559328248389055,"['SFHH', 'HFFF', 'FFFH', 'FFFG']"
1,48,0,1.0,0.7792882711929549,"['SFFH', 'HHFF', 'FHHF', 'FHFG']"
1,6,0,1.0,0.8476834558136123,"['SFFF', 'HHFF', 'HHHF', 'HFFG']"
1,93,0,1.0,0.9821344612135428,"['SFFH', 'FFHH', 'HFFH', 'HFFG']"
1,18,0,0.0,0.0,"['SFFH', 'FFHF', 'HFFF', 'FFHG']"
1,86,0,1.0,0.9791880578299021,"['SHHH', 'FHHH', 'FFFF', 'HFFG']"
1,55,0,1.0,0.9791880578299021,"['SHHH', 'FHHH', 'FFFH', 'FFFG']"
1,36,0,1.0,0.9220814271464737,"['SFFH', 'FFFH', 'HFFF', 'HFHG']"
1,20,0,0.0,0.0,"['SHHH', 'FFFF', 'HHFF', 'HFFG']"
1,31,0,0.0,0.0,"['SHFH', 'FHHF', 'FFFF', 'FHHG']"
1,47,0,1.0,0.9762504936564125,"['SFHF', 'FFFF', 'FFFF', 'FFHG']"
1,76,0,1.0,0.9733217421754432,"['SFFF', 'HHFH', 'FFFF', 'HFFG']"
1,48,0,1.0,0.9138075656044898,"['SHHH', 'FFFF', 'FHHH', 'FFFG']"
1,99,0,1.0,0.9388545698794984,"['SFFH', 'FFFF', 'FHHF', 'HFFG']"
1,33,0,1.0,0.9616943356035061,"['SFHF', 'HFFF', 'HHFF', 'HHHG']"
1,19,0,1.0,0.9416796087056153,"['SFFF', 'HHHF', 'HHHF', 'HFHG']"
1,51,0,1.0,0.9821344612135428,"['SFFH', 'FFFH', 'FFFF', 'FFFG']"
1,25,0,0.0,0.0,"['SHHF', 'FFHF', 'HFFF', 'FHFG']"
1,96,0,1.0,0.9733217421754432,"['SFHF', 'FFFF', 'HHFF', 'FFFG']"
1,51,0,1.0,0.8814479033836181,"['SHFH', 'FFHF', 'HFFH', 'FFFG']"
1,75,0,1.0,0.9791880578299021,"['SFFH', 'HFFF', 'FFHF', 'HFFG']"
1,21,0,1.0,0.8127667407072335,"['SFFH', 'HFFF', 'HHFH', 'HHFG']"
1,32,0,0.0,0.0,"['SHHF', 'FFFF', 'FFHF', 'HHFG']"
1,68,0,1.0,0.9762504936564125,"['SHHH', 'FFFF', 'HFFF', 'FHFG']"
1,82,0,1.0,0.9791880578299021,"['SFFF', 'HFHF', 'FFHF', 'HFHG']"
1,83,0,1.0,0.9530650263643888,"['SFHF', 'FFHH', 'FFFF', 'FHHG']"
1,61,0,0.0,0.0,"['SFFF', 'FFHH', 'HFHF', 'HFFG']"
1,47,0,1.0,0.9138075656044898,"['SHFF', 'FHFH', 'FFFF', 'FHHG']"
1,17,0,1.0,0.8300415167526705,"['SFFF', 'HHFH', 'HFFF', 'FHFG']"
1,81,0,1.0,0.9165572373164391,"['SFFH', 'HHFF', 'HHFH', 'HHFG']"
1,23,0,1.0,0.8735386475474635,"['SFFH', 'HFHH', 'HFFH', 'FFFG']"
1,87,0,1.0,0.9674905716180701,"['SFHF', 'FFFF', 'FFHH', 'FFFG']"
1,68,0,1.0,0.985089730404757,"['SFHH', 'FHFH', 'FFFH', 'FFFG']"
1,51,0,1.0,0.9821344612135428,"['SFFH', 'HFFH', 'FHFF', 'FHHG']"
1,14,0,0.0,0.0,"['SHHH', 'FFFH', 'FFHH', 'FFFG']"
1,1,0,0.0,0.0,"['SFFH', 'FHFH', 'FFHF', 'FFFG']"
1,38,0,1.0,0.8788035596734672,"['SFHF', 'HFFF', 'FFHF', 'HFFG']"
1,15,0,0.0,0.0,"['SHFH', 'FFHH', 'FHFF', 'FFFG']"
1,17,0,1.0,0.9821344612135428,"['SFFF', 'HFFF', 'HHFF', 'HHFG']"
1,67,0,1.0,0.9220814271464737,"['SFFH', 'HFFH', 'HHFF', 'FHHG']"
1,97,0,1.0,0.9276389118674717,"['SHFF', 'FHHF', 'FFHH', 'HFFG']"
1,45,0,0.0,0.0,"['SHFH', 'FFFH', 'HHFH', 'HHFG']"
