Temperature,Simulations,Return,Discounted Return,Map
1,10,0,1.0,0.7607805594527743,"['SFFF', 'HHHF', 'HHHF', 'FHHG']"
1,59,0,1.0,0.9821344612135428,"['SFHH', 'FFFF', 'HFFF', 'HFFG']"
1,18,0,0.0,0.0,"['SHFH', 'FFFF', 'HHFH', 'HHFG']"
1,79,0,1.0,0.9674905716180701,"['SFFF', 'HFHF', 'HFHF', 'FFHG']"
1,40,0,1.0,0.8426049842298329,"['SFFH', 'HFFH', 'FHFH', 'HHFG']"
1,65,0,1.0,0.9559328248389055,"['SFFH', 'FFHH', 'HFFF', 'HFFG']"
1,7,0,0.0,0.0,"['SHFH', 'FFHF', 'HFFF', 'FHFG']"
1,34,0,1.0,0.9530650263643888,"['SFFH', 'HFHH', 'FFFH', 'HFFG']"
1,28,0,1.0,0.9762504936564125,"['SFFF', 'FHHF', 'HFHF', 'HHFG']"
1,50,0,1.0,0.9733217421754432,"['SFFF', 'FHHF', 'HFFF', 'FHHG']"
1,8,0,0.0,0.0,"['SFFH', 'FFHF', 'FFHH', 'HFFG']"
1,1,0,0.0,0.0,"['SFFF', 'FFHH', 'HFFF', 'FFFG']"
1,25,0,1.0,0.860513950810667,"['SFFH', 'HHFF', 'HFFH', 'FHFG']"
1,43,0,0.0,0.0,"['SHFH', 'FFHF', 'HFHF', 'HFFG']"
1,52,0,0.0,0.0,"['SHFH', 'FFHH', 'HFFH', 'FHFG']"
1,98,0,1.0,0.8127667407072335,"['SHHF', 'FHHF', 'FFHF', 'HFFG']"
1,18,0,1.0,0.9502058312852957,"['SFFF', 'FFFF', 'HFHF', 'FHHG']"
1,97,0,1.0,0.9304302024748964,"['SFHF', 'FFFF', 'FFHF', 'FHFG']"
1,93,0,0.0,0.0,"['SFHH', 'FFFF', 'HHHF', 'HHHG']"
1,79,0,1.0,0.9791880578299021,"['SHFF', 'FFHF', 'FFHF', 'FFFG']"
1,26,0,1.0,0.798246224976786,"['SFHH', 'HFFF', 'FFHH', 'FFFG']"
1,15,0,1.0,0.8325391341551359,"['SFFH', 'HFFF', 'HHHF', 'HHHG']"
1,10,0,0.0,0.0,"['SHHH', 'FFFH', 'HFFF', 'HHHG']"
1,7,0,1.0,0.8300415167526705,"['SFFH', 'FFHF', 'FFFF', 'HFFG']"
1,98,0,1.0,0.8426049842298329,"['SHHH', 'FFFH', 'HFFF', 'HHHG']"
1,22,0,0.0,0.0,"['SHHF', 'FHHF', 'FFHF', 'HFFG']"
1,92,0,1.0,0.8788035596734672,"['SHFH', 'FHFF', 'FFFH', 'FHFG']"
1,68,0,1.0,0.9588092525966956,"['SFFF', 'FHHF', 'HHFF', 'FFFG']"
1,66,0,1.0,0.7958514863018556,"['SHHH', 'FHHF', 'FFHF', 'HFFG']"
