Temperature,Simulations,Return,Discounted Return,Map
1,92,0,1.0,0.9821344612135428,"['SHFH', 'FFHH', 'FFHF', 'FFFG']"
1,45,0,1.0,0.7539540549517295,"['SFHH', 'HFFH', 'FHFF', 'FHFG']"
1,99,0,1.0,0.9616943356035061,"['SHHH', 'FFHF', 'HFFF', 'FHFG']"
1,36,0,1.0,0.8054737627981655,"['SFFF', 'FHFH', 'HHFH', 'HHFG']"
1,84,0,1.0,0.9616943356035061,"['SFFF', 'FHFH', 'FFFF', 'FHFG']"
1,71,0,1.0,0.9001824484431542,"['SFHF', 'FFFH', 'FHFH', 'FFFG']"
1,24,0,1.0,0.9791880578299021,"['SFFF', 'FHFF', 'FHFF', 'FFHG']"
1,83,0,1.0,0.9530650263643888,"['SFHH', 'HFHF', 'FFFH', 'HFFG']"
1,19,0,1.0,0.798246224976786,"['SFFH', 'HHFH', 'HHFF', 'HFFG']"
1,27,0,0.0,0.0,"['SHFF', 'FFFF', 'HFHH', 'FFFG']"
1,60,0,1.0,0.9276389118674717,"['SHHH', 'FFFH', 'FFHF', 'HFFG']"
1,75,0,0.0,0.0,"['SHHH', 'FFHH', 'HFHH', 'FFFG']"
1,100,0,1.0,0.9791880578299021,"['SFHH', 'FFHF', 'FHHF', 'FFFG']"
1,58,0,0.0,0.0,"['SHFF', 'FFFF', 'FFHF', 'FHFG']"
1,42,0,0.0,0.0,"['SFHH', 'FFHH', 'HFHF', 'HFFG']"
1,70,0,1.0,0.985089730404757,"['SHFF', 'FFFF', 'HFHF', 'FFHG']"
1,50,0,1.0,0.9821344612135428,"['SFFF', 'HFFF', 'HHFF', 'HFFG']"
1,56,0,1.0,0.8761671489944468,"['SFFH', 'FHHH', 'FFFF', 'FHFG']"
1,57,0,1.0,0.9762504936564125,"['SFFF', 'HFFF', 'FFHF', 'FFFG']"
1,71,0,1.0,0.9530650263643888,"['SFFF', 'FHHF', 'HFFF', 'FHHG']"
1,60,0,1.0,0.9704017769489168,"['SFFF', 'HHHF', 'HFHF', 'HFFG']"
1,79,0,0.0,0.0,"['SHFF', 'FFFH', 'HHFH', 'HFFG']"
1,77,0,1.0,0.985089730404757,"['SFFF', 'HHFF', 'FHHF', 'FFHG']"
1,51,0,1.0,0.9645880999032158,"['SFHH', 'HFFF', 'FFFF', 'FHHG']"
1,69,0,1.0,0.985089730404757,"['SHFF', 'FHHH', 'FFFF', 'FFFG']"
1,10,0,1.0,0.9502058312852957,"['SHFF', 'FFFH', 'FFFF', 'FFFG']"
1,24,0,1.0,0.7863441585589971,"['SFFF', 'FFFH', 'HHFH', 'HFFG']"
1,86,0,1.0,0.9616943356035061,"['SHFH', 'FFFF', 'HFHF', 'FFFG']"
1,69,0,1.0,0.9110661429076764,"['SFFH', 'HHFH', 'HFFF', 'FFHG']"
1,17,0,0.0,0.0,"['SHHH', 'FFFH', 'FFFF', 'HHHG']"
1,34,0,1.0,0.9733217421754432,"['SFFF', 'HFFH', 'FHFF', 'HFFG']"
1,11,0,0.0,0.0,"['SFFH', 'FHFF', 'FFHF', 'FHHG']"
1,60,0,1.0,0.9762504936564125,"['SFFF', 'HHFH', 'HFFH', 'FFFG']"
1,91,0,1.0,0.7958514863018556,"['SHHH', 'FFFH', 'FHFH', 'HFFG']"
1,26,0,0.0,0.0,"['SFHH', 'FFFF', 'FHHF', 'FHFG']"
1,8,0,0.0,0.0,"['SFHF', 'HFFH', 'FFFH', 'HFFG']"
1,74,0,1.0,0.9616943356035061,"['SFHH', 'FFFF', 'HHFF', 'HHFG']"
