Temperature,Simulations,Return,Discounted Return,Map
1,85,0,1.0,0.9645880999032158,"['SFFH', 'HHFF', 'HFHF', 'FHFG']"
1,75,0,1.0,0.8103284404851119,"['SFFH', 'HFHH', 'HFFF', 'HFHG']"
1,34,0,0.0,0.0,"['SHHH', 'FFFH', 'HFHH', 'HFFG']"
1,37,0,1.0,0.9762504936564125,"['SFFF', 'FFFF', 'HHFF', 'FFHG']"
1,40,0,1.0,0.9762504936564125,"['SFFF', 'FFFF', 'HHHF', 'HHHG']"
1,54,0,0.0,0.0,"['SHFH', 'FHFF', 'FFHH', 'HFFG']"
1,77,0,1.0,0.9083329444789534,"['SFFH', 'FHFF', 'FFHF', 'HFHG']"
1,62,0,1.0,0.9645880999032158,"['SHFF', 'FFFF', 'HFFF', 'HFHG']"
1,55,0,1.0,0.857932408958235,"['SFFH', 'FHHF', 'FFFF', 'HHFG']"
1,5,0,0.0,0.0,"['SHHF', 'FHHF', 'FFFF', 'FFHG']"
1,36,0,1.0,0.9704017769489168,"['SFFH', 'FFFF', 'HHHF', 'FHFG']"
1,98,0,1.0,0.9704017769489168,"['SFFF', 'HFFH', 'FFFF', 'HFHG']"
1,41,0,1.0,0.9588092525966956,"['SFFH', 'FHHH', 'FFHF', 'FFFG']"
1,62,0,1.0,0.9704017769489168,"['SFFF', 'FFHF', 'HFHF', 'HHFG']"
1,37,0,0.0,0.0,"['SFHF', 'HFHH', 'HFFH', 'HHFG']"
1,83,0,1.0,0.9473552137914398,"['SFFF', 'FHHF', 'HFFF', 'HHHG']"
1,13,0,1.0,0.9645880999032158,"['SFHH', 'HFFF', 'HFFF', 'FFFG']"
1,52,0,1.0,0.7516921927868743,"['SFHH', 'FHHF', 'FFFH', 'HFFG']"
1,38,0,1.0,0.9416796087056153,"['SFFF', 'HFFF', 'HFFH', 'HFFG']"
1,66,0,0.0,0.0,"['SFFH', 'FHHH', 'FFFF', 'HHHG']"
1,19,0,1.0,0.9674905716180701,"['SFHH', 'HFFF', 'FFFH', 'HFFG']"
1,77,0,1.0,0.9416796087056153,"['SFHF', 'HFFF', 'FHFF', 'HHFG']"
1,35,0,1.0,0.9674905716180701,"['SHFH', 'FFHF', 'FFHF', 'FFFG']"
1,15,0,1.0,0.9388545698794984,"['SFFF', 'HHHF', 'FHFF', 'FFFG']"
1,59,0,1.0,0.8201257512162927,"['SFHH', 'FFHH', 'HFFF', 'HHHG']"
1,33,0,1.0,0.9559328248389055,"['SFFH', 'FFFH', 'HFFF', 'FFFG']"
1,74,0,1.0,0.8201257512162927,"['SHHH', 'FFFH', 'HFHF', 'HFFG']"
1,49,0,0.0,0.0,"['SHFH', 'FHHF', 'FFFH', 'HHFG']"
1,78,0,1.0,0.9616943356035061,"['SFFH', 'FHFF', 'HFFF', 'FFHG']"
1,30,0,1.0,0.9762504936564125,"['SFFH', 'HHFF', 'FHFF', 'HHHG']"
1,73,0,1.0,0.9616943356035061,"['SFHH', 'FHHF', 'FFFF', 'HFFG']"
1,80,0,1.0,0.9821344612135428,"['SHFF', 'FFHH', 'FFFF', 'FHFG']"
1,61,0,0.0,0.0,"['SHHF', 'FHFH', 'FFFH', 'FHFG']"
1,71,0,1.0,0.9674905716180701,"['SFHH', 'FHFH', 'FFFH', 'FFFG']"
1,40,0,1.0,0.9588092525966956,"['SFHH', 'FFHH', 'FFHF', 'HFFG']"
1,51,0,0.0,0.0,"['SHFF', 'FFFF', 'HHHF', 'FHFG']"
1,40,0,1.0,0.7516921927868743,"['SHFH', 'FFFF', 'FFHF', 'FHHG']"
