Temperature,Simulations,Return,Discounted Return,Map
1,33,0,1.0,0.9056079456455165,"['SFHF', 'HFFH', 'HHFF', 'FHFG']"
1,97,0,1.0,0.9674905716180701,"['SHFH', 'FHFH', 'FFHH', 'FFFG']"
1,63,0,1.0,0.9616943356035061,"['SFHH', 'HFHH', 'HFFF', 'FFFG']"
1,55,0,1.0,0.8225935318117279,"['SFHF', 'HFHF', 'FFFF', 'FFHG']"
1,83,0,1.0,0.9616943356035061,"['SFFH', 'FFFH', 'FFFH', 'HHFG']"
1,18,0,1.0,0.9502058312852957,"['SFFH', 'HFFF', 'FHFF', 'FHHG']"
1,69,0,1.0,0.9645880999032158,"['SHHF', 'FHHF', 'FHFF', 'FFFG']"
1,63,0,1.0,0.9588092525966956,"['SFFF', 'HHHF', 'FHHF', 'FFFG']"
1,87,0,1.0,0.9220814271464737,"['SHHF', 'FFFF', 'FHHF', 'HFFG']"
1,68,0,1.0,0.9762504936564125,"['SFFF', 'HFFF', 'HFFH', 'FHFG']"
1,59,0,1.0,0.9165572373164391,"['SFFF', 'HFHH', 'FFFF', 'HHHG']"
1,34,0,1.0,0.9821344612135428,"['SHFF', 'FFFF', 'HHHF', 'FHHG']"
1,65,0,1.0,0.7449472384453084,"['SHFF', 'FFHF', 'HFFF', 'FHFG']"
1,78,0,1.0,0.985089730404757,"['SFHH', 'FFFF', 'FHFF', 'HFFG']"
1,25,0,1.0,0.985089730404757,"['SFFF', 'FHFF', 'HHFF', 'FHHG']"
1,89,0,1.0,0.9762504936564125,"['SFHH', 'HFHF', 'HFFF', 'FHFG']"
1,69,0,1.0,0.9645880999032158,"['SFHF', 'FFHF', 'FFHH', 'FFFG']"
1,96,0,1.0,0.9220814271464737,"['SHFF', 'FFFF', 'HFFH', 'FHFG']"
1,61,0,1.0,0.9388545698794984,"['SFHH', 'HFHH', 'HFHF', 'HFFG']"
1,47,0,0.0,0.0,"['SHHH', 'FFFF', 'HFHF', 'FHHG']"
1,86,0,1.0,0.9821344612135428,"['SFHF', 'FFHF', 'HFFH', 'FFFG']"
1,81,0,1.0,0.9473552137914398,"['SHFH', 'FFHF', 'HFHH', 'FFFG']"
1,76,0,0.0,0.0,"['SHHH', 'FFFF', 'HHHF', 'HFFG']"
1,20,0,0.0,0.0,"['SFFH', 'FHHH', 'FFFH', 'FHFG']"
1,29,0,1.0,0.9791880578299021,"['SFHF', 'FFFH', 'FFFF', 'FFFG']"
1,7,0,0.0,0.0,"['SHFH', 'FFFF', 'HHFF', 'FFFG']"
1,58,0,1.0,0.9791880578299021,"['SHHH', 'FFFF', 'FFFF', 'HFFG']"
1,48,0,1.0,0.9304302024748964,"['SFHH', 'FFFH', 'HFFF', 'FFHG']"
1,87,0,1.0,0.9762504936564125,"['SFFF', 'HHFF', 'HHHF', 'FFHG']"
1,19,0,1.0,0.9276389118674717,"['SFFF', 'HFHF', 'HFFF', 'FHFG']"
1,5,0,0.0,0.0,"['SFFH', 'HHFH', 'HHFF', 'FFFG']"
1,83,0,1.0,0.9193151828650342,"['SHFH', 'FHFF', 'FFFF', 'HHFG']"
1,19,0,0.0,0.0,"['SFHH', 'HFHF', 'HFFF', 'HFHG']"
1,46,0,1.0,0.9733217421754432,"['SHFH', 'FFHF', 'FFFF', 'HFHG']"
1,27,0,1.0,0.8400771692771434,"['SFFH', 'FFFH', 'FHFF', 'HHHG']"
1,15,0,0.0,0.0,"['SHFF', 'FFHH', 'HFFH', 'FFFG']"
1,71,0,1.0,0.9674905716180701,"['SFFH', 'HHFF', 'FFFF', 'HHFG']"
1,69,0,0.0,0.0,"['SHHF', 'FFFH', 'HFHF', 'FFFG']"
1,54,0,1.0,0.8400771692771434,"['SHHF', 'FHFF', 'FFFF', 'HHHG']"
1,34,0,1.0,0.9165572373164391,"['SFFH', 'HHFF', 'HHHF', 'FFHG']"
1,31,0,0.0,0.0,"['SHHF', 'FFFF', 'HHFH', 'HFFG']"
1,43,0,1.0,0.9588092525966956,"['SFFF', 'HHFF', 'FFFH', 'HFFG']"
1,44,0,1.0,0.9674905716180701,"['SFFF', 'FHHF', 'HHHF', 'FHFG']"
1,40,0,1.0,0.9645880999032158,"['SFFF', 'FHHF', 'HHHF', 'HFHG']"
1,29,0,1.0,0.9704017769489168,"['SHHH', 'FHFH', 'FFHF', 'FFFG']"
1,71,0,1.0,0.9193151828650342,"['SFHH', 'HFFF', 'HFHF', 'FHFG']"
1,2,0,0.0,0.0,"['SFHF', 'HFHF', 'HFFF', 'HFFG']"
1,80,0,1.0,0.8451404054461714,"['SFHH', 'HFHF', 'FFFF', 'HFHG']"
1,27,0,0.0,0.0,"['SHFF', 'FFFF', 'HHHF', 'FFHG']"
1,85,0,1.0,0.9616943356035061,"['SFFH', 'FHFH', 'FFFH', 'HHFG']"
1,64,0,1.0,0.90289112180858,"['SHHF', 'FHFF', 'FFFF', 'HHFG']"
1,11,0,1.0,0.9645880999032158,"['SFFH', 'FHHF', 'FFFH', 'FFFG']"
1,88,0,1.0,0.9821344612135428,"['SFFH', 'HHFF', 'FFFF', 'HFHG']"
1,94,0,1.0,0.9791880578299021,"['SHHH', 'FHFH', 'FFHF', 'FFFG']"
1,15,0,0.0,0.0,"['SFHF', 'FFFF', 'FHHF', 'FFHG']"
1,61,0,1.0,0.9588092525966956,"['SFFH', 'HHFF', 'HHFF', 'HFHG']"
1,93,0,1.0,0.8152123778407558,"['SFHH', 'FHHH', 'FFFF', 'FFHG']"
1,90,0,0.0,0.0,"['SHHF', 'FHFH', 'FFFF', 'HHHG']"
1,60,0,0.0,0.0,"['SHFH', 'FFFH', 'FHFF', 'FHHG']"
1,54,0,1.0,0.9762504936564125,"['SFFF', 'HHFH', 'HFFF', 'FFHG']"
1,30,0,0.0,0.0,"['SHFF', 'FHFH', 'FHFH', 'FFFG']"
1,97,0,1.0,0.9733217421754432,"['SFHF', 'FHHH', 'FFFF', 'HHFG']"
1,64,0,1.0,0.9762504936564125,"['SFFH', 'FHFF', 'HFHF', 'FHFG']"
1,18,0,1.0,0.767668872977057,"['SHHF', 'FHFF', 'FFHF', 'FFFG']"
1,71,0,1.0,0.9791880578299021,"['SHFH', 'FFFF', 'HFFF', 'FHFG']"
1,23,0,1.0,0.93603800616986,"['SHFF', 'FFFH', 'FFHH', 'FFFG']"
1,69,0,0.0,0.0,"['SHHH', 'FFFH', 'HFFF', 'HHHG']"
1,31,0,1.0,0.9762504936564125,"['SHFH', 'FFHF', 'FFHH', 'FFFG']"
1,39,0,1.0,0.9248559951318693,"['SFFH', 'HFFH', 'FFFF', 'FFHG']"
1,22,0,1.0,0.9445131481500655,"['SFFH', 'HHFF', 'HHHF', 'HHHG']"
1,51,0,1.0,0.9645880999032158,"['SHFF', 'FHHH', 'FFFH', 'FFFG']"
1,74,0,1.0,0.8709180316048211,"['SFHH', 'HFFF', 'HHFH', 'HHFG']"
1,22,0,0.0,0.0,"['SHHF', 'FFFF', 'FHHF', 'HFFG']"
1,66,0,1.0,0.9791880578299021,"['SFFH', 'FFFF', 'HHHF', 'HHFG']"
1,9,0,0.0,0.0,"['SFFH', 'HHFF', 'FFFH', 'HFFG']"
1,16,0,1.0,0.9674905716180701,"['SFHF', 'FFFF', 'FFFF', 'HHFG']"
1,80,0,1.0,0.985089730404757,"['SFFF', 'HFHF', 'HFFF', 'FHHG']"
1,11,0,0.0,0.0,"['SFFH', 'FFHH', 'FFHH', 'HFFG']"
1,14,0,0.0,0.0,"['SFHF', 'FFFH', 'FHFF', 'HFHG']"
1,14,0,0.0,0.0,"['SHHF', 'FFFF', 'FFFH', 'HHFG']"
1,37,0,1.0,0.9704017769489168,"['SFFF', 'HFFF', 'HFFF', 'FHHG']"
1,58,0,0.0,0.0,"['SHHF', 'FFHF', 'HFHH', 'HFFG']"
1,31,0,1.0,0.9332298921513504,"['SFFH', 'HHFF', 'FFHF', 'FFHG']"
1,59,0,1.0,0.9138075656044898,"['SFFF', 'FHHF', 'FHFF', 'FHHG']"
1,17,0,1.0,0.9588092525966956,"['SFFH', 'FFFF', 'FHFF', 'FFHG']"
1,95,0,1.0,0.90289112180858,"['SFFH', 'FHHF', 'FFHF', 'HFFG']"
1,2,0,0.0,0.0,"['SFFF', 'HFFH', 'FFHF', 'HFFG']"
1,11,0,0.0,0.0,"['SHHH', 'FHHF', 'FFFF', 'HFHG']"
1,42,0,1.0,0.9821344612135428,"['SHFF', 'FFFF', 'HHFF', 'FHFG']"
1,27,0,1.0,0.8103284404851119,"['SFHH', 'HFHF', 'HFFH', 'HHFG']"
1,23,0,0.0,0.0,"['SHFH', 'FFHH', 'FHFH', 'FFFG']"
1,21,0,0.0,0.0,"['SFFH', 'FHHH', 'FHHF', 'FFFG']"
1,84,0,1.0,0.985089730404757,"['SFFH', 'HFFF', 'HHFF', 'FFFG']"
1,97,0,1.0,0.884100203995605,"['SFFH', 'FHFH', 'FHFF', 'FFHG']"
1,2,0,0.0,0.0,"['SHHH', 'FFFH', 'FHFF', 'HFFG']"
1,75,0,1.0,0.93603800616986,"['SFFF', 'FFHH', 'FFFH', 'FHFG']"
1,33,0,0.0,0.0,"['SHFH', 'FHFH', 'FFFF', 'HFHG']"
1,26,0,1.0,0.9674905716180701,"['SFFF', 'FFHF', 'FFFF', 'FFHG']"
1,26,0,1.0,0.8553586117313603,"['SFHF', 'FFFF', 'HHFH', 'FHFG']"
1,35,0,1.0,0.9821344612135428,"['SHHF', 'FFFF', 'FFFH', 'FFFG']"
1,18,0,0.0,0.0,"['SFFH', 'FHFH', 'HHFH', 'FFFG']"
1,22,0,1.0,0.90289112180858,"['SFHF', 'FFHF', 'FFFH', 'HFFG']"
1,96,0,1.0,0.985089730404757,"['SFFF', 'FHFF', 'HHFF', 'HHFG']"
1,80,0,1.0,0.9473552137914398,"['SFHF', 'FFHF', 'HFFF', 'FFHG']"
1,81,0,1.0,0.9733217421754432,"['SFHH', 'FFFH', 'FFHF', 'HFFG']"
1,44,0,0.0,0.0,"['SHHH', 'FHFF', 'FFFH', 'FHFG']"
1,46,0,1.0,0.9588092525966956,"['SFFH', 'FFFF', 'HHHF', 'FHHG']"
1,56,0,1.0,0.9056079456455165,"['SFFH', 'FHFH', 'FHFH', 'HFFG']"
1,1,0,0.0,0.0,"['SHHH', 'FFHF', 'HFFF', 'HHFG']"
