Temperature,Simulations,Return,Discounted Return,Map
1,11,0,0.0,0.0,"['SFHF', 'FFFF', 'HFHF', 'HHHG']"
1,38,0,0.0,0.0,"['SHHF', 'FFFH', 'FHFF', 'HFHG']"
1,57,0,1.0,0.857932408958235,"['SFHH', 'FFHF', 'FFFH', 'HHFG']"
1,77,0,1.0,0.9332298921513504,"['SFFH', 'FFFH', 'HFFF', 'FHHG']"
1,94,0,1.0,0.8974819010978248,"['SFFH', 'FFFH', 'FFHF', 'HFFG']"
1,6,0,1.0,0.9110661429076764,"['SFHF', 'FFFF', 'HHHF', 'FFHG']"
1,67,0,0.0,0.0,"['SHFH', 'FFFH', 'HHFH', 'HFFG']"
1,66,0,1.0,0.985089730404757,"['SFFF', 'FFFF', 'HHHF', 'FFFG']"
1,26,0,0.0,0.0,"['SHHF', 'FFFF', 'HFFF', 'FHHG']"
1,14,0,1.0,0.7494371162085136,"['SHHF', 'FHFF', 'FFHH', 'FFFG']"
1,30,0,1.0,0.8553586117313603,"['SFHF', 'FHHF', 'FHFH', 'FFFG']"
1,53,0,1.0,0.9733217421754432,"['SFHH', 'FFHF', 'HFFH', 'HFFG']"
1,42,0,1.0,0.9616943356035061,"['SHFH', 'FFHF', 'FFFF', 'FFFG']"
1,95,0,1.0,0.9616943356035061,"['SHHH', 'FHHH', 'FHFH', 'FFFG']"
1,26,0,1.0,0.9821344612135428,"['SFHF', 'FFFH', 'FFHF', 'FFFG']"
1,76,0,1.0,0.9645880999032158,"['SFFH', 'FHHH', 'FFFF', 'HFFG']"
1,29,0,1.0,0.8476834558136123,"['SFHF', 'HFHF', 'HFFF', 'HFHG']"
1,95,0,1.0,0.9530650263643888,"['SFFH', 'HFFF', 'HHHF', 'HFFG']"
1,55,0,1.0,0.9821344612135428,"['SFFF', 'FHHF', 'FHFF', 'HHFG']"
1,43,0,0.0,0.0,"['SHHF', 'FFFF', 'HFHF', 'FHFG']"
1,78,0,1.0,0.9645880999032158,"['SFHH', 'FFFH', 'FFFF', 'HFHG']"
1,66,0,1.0,0.9645880999032158,"['SHFF', 'FHFH', 'FFFF', 'FHHG']"
1,52,0,1.0,0.9791880578299021,"['SHHF', 'FFFH', 'HHFF', 'HHFG']"
1,5,0,0.0,0.0,"['SFHF', 'HFFF', 'FHFF', 'HHHG']"
1,60,0,1.0,0.9416796087056153,"['SFFH', 'HHFH', 'HFFF', 'FFHG']"
1,12,0,1.0,0.8476834558136123,"['SFFH', 'FHFF', 'HFFF', 'FFHG']"
1,31,0,1.0,0.9110661429076764,"['SFHH', 'HFFF', 'HHFF', 'HHFG']"
1,60,0,1.0,0.8152123778407558,"['SHFF', 'FFHH', 'FFFH', 'FHFG']"
1,70,0,1.0,0.9674905716180701,"['SFFF', 'HFHF', 'FFHH', 'FFFG']"
1,34,0,1.0,0.9559328248389055,"['SFHF', 'HFFF', 'FFFH', 'HHFG']"
1,61,0,1.0,0.8451404054461714,"['SFHH', 'FHFH', 'FFFF', 'HHHG']"
1,38,0,0.0,0.0,"['SHHF', 'FHFF', 'FFFF', 'HFHG']"
1,61,0,1.0,0.9588092525966956,"['SFFH', 'HFFH', 'HFHH', 'FFFG']"
1,18,0,1.0,0.9821344612135428,"['SFFF', 'FFFF', 'FFFF', 'HHFG']"
1,44,0,1.0,0.9083329444789534,"['SHFF', 'FFFF', 'FFHF', 'HHFG']"
1,87,0,1.0,0.985089730404757,"['SFFF', 'FHFF', 'FFHF', 'HHHG']"
1,45,0,1.0,0.8974819010978248,"['SFHH', 'FFFF', 'HHHF', 'HFFG']"
1,89,0,1.0,0.9416796087056153,"['SFFH', 'HFFH', 'FFFF', 'HFHG']"
1,35,0,0.0,0.0,"['SFHH', 'FHFH', 'FFFF', 'FHHG']"
1,89,0,1.0,0.9559328248389055,"['SHFH', 'FFHH', 'FFFH', 'FHFG']"
1,10,0,0.0,0.0,"['SHFF', 'FFHH', 'FHHF', 'FFFG']"
1,89,0,1.0,0.9559328248389055,"['SHHH', 'FFHH', 'FFFF', 'HHHG']"
1,66,0,1.0,0.9791880578299021,"['SHHF', 'FFFF', 'HFHH', 'HFFG']"
1,3,0,0.0,0.0,"['SFFF', 'FFHH', 'FFFH', 'HHFG']"
1,38,0,0.0,0.0,"['SHHH', 'FFHH', 'FFHH', 'HFFG']"
