Temperature,Simulations,Return,Discounted Return,Map
1,15,0,1.0,0.9530650263643888,"['SFFF', 'FFFF', 'FHHF', 'HFHG']"
1,77,0,1.0,0.9588092525966956,"['SFFH', 'HHFF', 'HFHF', 'FFHG']"
1,48,0,1.0,0.9674905716180701,"['SHHH', 'FFHF', 'FFFF', 'HHHG']"
1,28,0,1.0,0.9473552137914398,"['SFFH', 'FHFF', 'HHFH', 'FFFG']"
1,99,0,1.0,0.985089730404757,"['SHFF', 'FFHH', 'FHHF', 'FFFG']"
1,7,0,0.0,0.0,"['SFHF', 'FFFF', 'FHHF', 'FHFG']"
1,34,0,1.0,0.8709180316048211,"['SFFH', 'FFHF', 'HFHF', 'FFFG']"
1,43,0,1.0,0.9616943356035061,"['SFFF', 'HHFF', 'FHHF', 'HHHG']"
1,50,0,1.0,0.9083329444789534,"['SFFH', 'HHFF', 'HHFF', 'HFHG']"
1,88,0,1.0,0.9502058312852957,"['SFFH', 'FFHF', 'HFFH', 'FHFG']"
1,47,0,1.0,0.9704017769489168,"['SFHH', 'FHFH', 'FHHH', 'FFFG']"
1,41,0,1.0,0.8974819010978248,"['SFHF', 'FFFF', 'HHFF', 'FHFG']"
1,80,0,1.0,0.9530650263643888,"['SHHH', 'FFFH', 'FHFH', 'FFFG']"
1,66,0,1.0,0.9588092525966956,"['SFFH', 'HHFH', 'FHFF', 'FHHG']"
1,24,0,1.0,0.8867604854519608,"['SFHF', 'HFFH', 'FHFF', 'HFFG']"
1,66,0,1.0,0.9762504936564125,"['SFFF', 'HFFH', 'HFFF', 'HFHG']"
1,43,0,1.0,0.985089730404757,"['SHHF', 'FFFH', 'FFFF', 'HFFG']"
1,25,0,0.0,0.0,"['SHFH', 'FFFH', 'HHFF', 'FHHG']"
1,77,0,1.0,0.90289112180858,"['SFFH', 'FFHF', 'HFFH', 'FHFG']"
1,80,0,1.0,0.9733217421754432,"['SFFH', 'HFFF', 'FFHF', 'FFHG']"
1,26,0,0.0,0.0,"['SHFH', 'FFFF', 'FFHF', 'FFHG']"
1,82,0,1.0,0.9762504936564125,"['SFFF', 'FFFF', 'HHHF', 'FHHG']"
1,91,0,1.0,0.8426049842298329,"['SHHF', 'FHHH', 'FFHH', 'HFFG']"
1,37,0,1.0,0.9001824484431542,"['SFFF', 'HHHF', 'FHFF', 'HHHG']"
1,99,0,1.0,0.8761671489944468,"['SFFF', 'FHFH', 'HHFF', 'FHFG']"
1,12,0,0.0,0.0,"['SFHF', 'FHFF', 'FFFF', 'FHFG']"
1,65,0,1.0,0.9704017769489168,"['SFHF', 'FFFF', 'HFFH', 'HHFG']"
1,51,0,1.0,0.9791880578299021,"['SFFH', 'HHFH', 'HHFF', 'HFFG']"
1,12,0,0.0,0.0,"['SHHF', 'FFFH', 'FHFH', 'HFFG']"
1,56,0,1.0,0.985089730404757,"['SHHF', 'FFFH', 'FFFF', 'HFFG']"
1,82,0,1.0,0.985089730404757,"['SFHH', 'FFFH', 'FFFF', 'HFFG']"
1,1,0,0.0,0.0,"['SHFH', 'FFHH', 'HFHF', 'FFFG']"
1,84,0,1.0,0.9616943356035061,"['SFHF', 'FFHF', 'FHFH', 'FFFG']"
1,90,0,1.0,0.9733217421754432,"['SFFH', 'FFHF', 'FFFH', 'FHFG']"
1,37,0,1.0,0.9674905716180701,"['SFHH', 'FFHF', 'FFFH', 'FHFG']"
1,33,0,1.0,0.8788035596734672,"['SFFF', 'FFHF', 'FFHF', 'HFHG']"
