Temperature,Simulations,Initial State,Return,Discounted Return
1,59,8,1.0,0.991026973
1,31,1,1.0,0.860513950810667
1,48,6,1.0,0.994009
1,97,0,1.0,0.985089730404757
1,72,10,1.0,0.997
1,95,2,1.0,0.988053892081
1,11,9,1.0,0.994009
1,16,3,1.0,0.8709180316048211
1,31,0,1.0,0.8631032605924442
1,83,13,1.0,0.997
1,75,13,1.0,0.997
1,56,10,1.0,0.997
1,87,6,1.0,0.994009
1,80,0,1.0,0.9791880578299021
1,7,1,1.0,0.7653658663581259
1,63,4,1.0,0.988053892081
1,21,6,1.0,0.994009
1,7,9,0.0,0.0
1,51,1,1.0,0.9559328248389055
1,43,13,1.0,0.997
1,97,8,1.0,0.991026973
1,75,14,1.0,1.0
1,55,0,1.0,0.8657003616774767
1,19,6,0.0,0.0
1,53,3,1.0,0.9821344612135428
1,4,14,1.0,1.0
1,9,8,1.0,0.8225935318117279
1,52,0,1.0,0.8974819010978248
1,70,2,1.0,0.988053892081
1,30,4,1.0,0.985089730404757
1,21,4,1.0,0.78398512608332
1,45,1,1.0,0.9502058312852957
1,54,14,1.0,1.0
1,49,3,1.0,0.8788035596734672
1,54,10,1.0,0.997
1,67,4,1.0,0.988053892081
1,64,4,1.0,0.9559328248389055
1,79,3,1.0,0.9733217421754432
1,29,14,1.0,1.0
1,84,10,1.0,0.997
1,96,2,1.0,0.988053892081
1,40,0,1.0,0.9559328248389055
1,37,14,1.0,1.0
1,4,9,0.0,0.0
1,46,14,1.0,1.0
1,31,6,1.0,0.994009
1,78,2,1.0,0.9791880578299021
1,19,1,1.0,0.9502058312852957
1,59,8,1.0,0.991026973
1,81,1,1.0,0.9791880578299021
1,71,9,1.0,0.994009
1,40,10,1.0,0.997
1,97,0,1.0,0.9416796087056153
1,85,8,1.0,0.991026973
1,86,13,1.0,0.997
1,31,13,1.0,0.997
1,21,6,1.0,0.8400771692771434
1,63,0,1.0,0.985089730404757
1,85,6,1.0,0.994009
1,91,6,1.0,0.994009
1,46,10,1.0,0.997
1,2,6,0.0,0.0
1,57,3,1.0,0.9674905716180701
1,25,1,1.0,0.8426049842298329
1,99,4,1.0,0.9733217421754432
1,92,0,1.0,0.9704017769489168
1,17,3,1.0,0.9220814271464737
1,92,13,1.0,0.997
1,58,0,1.0,0.9674905716180701
1,74,13,1.0,0.997
1,71,13,1.0,0.997
1,36,10,1.0,0.997
1,41,10,1.0,0.997
1,41,0,1.0,0.8502341582884777
1,76,0,1.0,0.9704017769489168
1,84,6,1.0,0.994009
1,30,14,1.0,1.0
1,66,10,1.0,0.997
1,10,13,1.0,0.997
1,51,1,1.0,0.9110661429076764
1,99,2,1.0,0.991026973
1,98,2,1.0,0.9704017769489168
1,54,6,1.0,0.994009
1,49,0,1.0,0.90289112180858
1,55,1,1.0,0.988053892081
1,73,6,1.0,0.994009
1,39,3,1.0,0.9276389118674717
1,78,6,1.0,0.994009
1,56,6,1.0,0.994009
